shobi_code,fragrantica_id,fragrantica_perfume,verification_source,status
1644-DRC,68415,Sauvage Elixir,https://www.fragrantica.it/perfume/Dior/Sauvage-Elixir-68415.html,VERIFIED_WEB_V2
2133-FRE,2799,Lipstick Rose,https://www.fragrantica.com/perfume/Frederic-Malle/Lipstick-Rose-2799.html,VERIFIED_WEB_V2
2282-DRC,81847,Dioriviera,https://www.fragrantica.com/perfume/Dior/Dioriviera-81847.html,VERIFIED_WEB_V2
2514-DRC,95863,Sauvage Eau Forte,https://www.fragrantica.com/perfume/Dior/Sauvage-Eau-Forte-95863.html,VERIFIED_WEB_V2
2106-MARC,46802,B683,https://www.fragrantica.com/perfume/Marc-Antoine-Barrois/B683-46802.html,VERIFIED_WEB_V2
2189-ARM,76171,Emporio Armani Stronger With You Oud,https://www.fragrantica.com/perfume/Giorgio-Armani/Emporio-Armani-Stronger-With-You-Oud-76171.html,VERIFIED_WEB_V2
1767-LTN,51016,Attrape-Reves,https://www.fragrantica.com/perfume/Louis-Vuitton/Attrape-Reves-51016.html,VERIFIED_WEB_V2
1808-LTN,40497,Mille Feux,https://www.fragrantica.com/perfume/Louis-Vuitton/Mille-Feux-40497.html,VERIFIED_WEB_V2
2438-KYLJE,90957,Cosmic Kylie Jenner,https://www.fragrantica.com/perfume/Kylie-Cosmetics/Cosmic-Kylie-Jenner-90957.html,VERIFIED_WEB_V2
2331-DOL,50207,The One Mysterious Night,https://www.fragrantica.com/perfume/Dolce-Gabbana/The-One-Mysterious-Night-50207.html,VERIFIED_WEB_V2
420-BRB,29562,Brit Rhythm for Her Floral,https://www.fragrantica.com/perfume/Burberry/Brit-Rhythm-for-Her-Floral-29562.html,VERIFIED_WEB_V2
876-PRA,31044,Infusion d'Amande,https://www.fragrantica.com/perfume/Prada/Infusion-d-Amande-31044.html,VERIFIED_WEB_V2
456-CAC,12764,Amor Amor Forbidden Kiss,https://www.fragrantica.com/perfume/Cacharel/Amor-Amor-Forbidden-Kiss-12764.html,VERIFIED_WEB_V2
202-CLIV,4653,No. 1,https://www.fragrantica.com/perfume/Clive-Christian/No-1-4653.html,VERIFIED_WEB_V2
362-TMFO,38650,Orchid Soleil,https://www.fragrantica.com/perfume/Tom-Ford/Orchid-Soleil-38650.html,VERIFIED_WEB_V2
491-CRT,32436,Must de Cartier Gold,https://www.fragrantica.com/perfume/Cartier/Must-de-Cartier-Gold-32436.html,VERIFIED_WEB_V2
1001-ANT,26412,King of Seduction,https://www.fragrantica.com/perfume/Antonio-Banderas/King-of-Seduction-26412.html,VERIFIED_WEB_V2
1000-ADO,9783,Agua Fresca,https://www.fragrantica.com/perfume/Adolfo-Dominguez/Adolfo-Dominguez-Agua-Fresca-9783.html,VERIFIED_WEB_V2
1489-DAV,35819,Horizon,https://www.fragrantica.com/perfume/Davidoff/Horizon-35819.html,VERIFIED_WEB_V2
1491-CAL,45709,Obsessed for Men,https://www.fragrantica.com/perfume/Calvin-Klein/Obsessed-for-Men-45709.html,VERIFIED_WEB_V2
1220-MOS,28805,Toy,https://www.fragrantica.com/perfume/Moschino/Toy-28805.html,VERIFIED_WEB_V2
1244-PRA,1044,Prada Amber Pour Homme (Prada Man),https://www.fragrantica.com/perfume/Prada/Prada-Amber-Pour-Homme-Prada-Man--1044.html,VERIFIED_WEB_V2
1494-BOD,31568,Red Musk Oud,https://www.fragrantica.com/perfume/The-Body-Shop/Red-Musk-Oud-31568.html,VERIFIED_WEB_V2
1636-KIL,31395,Pearl Oud,https://www.fragrantica.com/perfume/By-Kilian/Pearl-Oud-31395.html,VERIFIED_WEB_V2
848-NRO,53441,Pure Musc For Her,https://www.fragrantica.com/perfume/Narciso-Rodriguez/Pure-Musc-For-Her-53441.html,VERIFIED_WEB_V2
1043-CAL,275,CK be,https://www.fragrantica.com/perfume/Calvin-Klein/CK-be-275.html,VERIFIED_WEB_V2
2194-ORT,69923,Cuoium,https://www.fragrantica.com/perfume/Orto-Parisi/Cuoium-69923.html,VERIFIED_WEB_V2
735-JIM,27431,Stars,https://www.fragrantica.com/perfume/Jimmy-Choo/Stars-27431.html,VERIFIED_WEB_V2
