prestashop_product_id,shobi_code,inspired_by,original_brand,original_perfume,identity_status,fragrantica_status,fragrantica_id,fragrantica_url,evidence_note
5117,2849-STE,HARRODS RUBY NAGA,Stephane Humbert Lucas 777,Harrods Ruby Naga,CONFIRMED,FOUND,74594,https://www.fragrantica.com/perfume/Stephane-Humbert-Lucas-777/Harrods-Ruby-Naga-74594.html,Harrods è il distributore esclusivo: la scheda Ruby Naga (2022) identifica lo stesso profumo. | Sources: https://leparfum.com.gr/en/niche-perfumes/2849-ste-n | https://www.fragrantica.com/perfume/Stephane-Humbert-Lucas-777/Harrods-Ruby-Naga-74594.html | https://www.parfumo.com/Perfumes/Stephane_Humbert_Lucas/ruby-naga | https://www.parfumo.com/Perfumes/Montale/rendez-vous-chez-harrods | https://www.parfumo.com/Perfumes/Widian/london-harrods-exclusive | https://www.parfumo.com/Perfumes/casamorati/harrods | https://www.parfumo.com/Perfumes/Roja_Parfums/harrods-pour-homme | https://www.parfumo.com/Perfumes/Roja_Parfums/harrods-aoud
5116,2848-PRFRO,VANITAS,Profumum Roma,Vanitas,CONFIRMED,FOUND,11220,https://www.fragrantica.com/p/11220,"Nome coincidente dopo normalizzazione di accenti e punteggiatura; marchio coerente con il codice Shobi PRFRO. Associazione del codice desunta dalle altre righe del catalogo, Non verificata online per questa riga. | Sources: https://leparfum.com.gr/en/niche-perfumes/2848-prfro-n | https://www.parfumo.com/Perfumes/Profumum_Roma/Vanitas"
5115,2847-NISH,HUNDRED SILENT WAYS X,Nishane,Hundred Silent Ways X,CONFIRMED,FOUND,80463,https://www.fragrantica.com/perfume/Nishane/Hundred-Silent-Ways-X-80463.html,"Nome coincidente dopo normalizzazione di accenti e punteggiatura; marchio coerente con il codice Shobi NISH. Associazione del codice desunta dalle altre righe del catalogo, Non verificata online per questa riga. | Sources: https://leparfum.com.gr/en/niche-perfumes/2847-nish-n | https://www.parfumo.com/Perfumes/Nishane/hundred-silent-ways-x"
5114,2846-MIN,COUNTER PLAY,Mind Games,Counterplay,CONFIRMED,FOUND,114442,https://www.fragrantica.com/perfume/Mind-Games/Counterplay-114442.html,"Counter Play è scritto separato nella ricerca; nome catalogato Counterplay, marchio coerente. | Sources: https://leparfum.com.gr/en/niche-perfumes/2846-min-n | https://www.parfumo.com/Perfumes/mind-games/counterplay | https://www.parfumo.com/Perfumes/mind-games/en-prise | https://www.parfumo.com/Perfumes/mind-games/playmate | https://www.parfumo.com/Perfumes/mind-games/checkmate | https://www.parfumo.com/Perfumes/mind-games/blockade | https://www.parfumo.com/Perfumes/mind-games/the-forward"
5113,2845-LUS,WE BELIEVE IN GLINDA,Lush,We Believe in Glinda,CONFIRMED,FOUND,117589,https://www.fragrantica.com/perfume/Lush/We-Believe-in-Glinda-117589.html,"Nome coincidente dopo normalizzazione di accenti e punteggiatura; marchio coerente con il codice Shobi LUS. Associazione del codice desunta dalle altre righe del catalogo, Non verificata online per questa riga. | Sources: https://leparfum.com.gr/en/elegants-fragrances/2845-lus | https://www.parfumo.com/Perfumes/Lush/we-believe-in-glinda"
5112,2844-LUS,BLACK PEARL,Lush,Black Pearl,CONFIRMED,FOUND,10802,https://www.fragrantica.com/perfume/Lush/Black-Pearl-10802.html,"Nome coincidente dopo normalizzazione di accenti e punteggiatura; marchio coerente con il codice Shobi LUS. Associazione del codice desunta dalle altre righe del catalogo, Non verificata online per questa riga. | Sources: https://leparfum.com.gr/en/elegants-fragrances/2844-lus | https://www.parfumo.com/Perfumes/Lush/Black_Pearl"
5111,2843-LEL,LABDANUM 18,Le Labo,Labdanum 18,CONFIRMED,FOUND,7848,https://www.fragrantica.com/perfume/Le-Labo/Labdanum-18-7848.html,Match approvato dopo verifica mirata della denominazione e del marchio su fonte esterna autorevole. | Sources: https://leparfum.com.gr/en/niche-perfumes/2843-lel-n | https://www.lelabofragrances.com/labdanum-18.html
5110,2842-KYLJ,VANILLA DEW,kylie-cosmetics,Vanilla-dew,CONFIRMED,FOUND,117345,https://www.fragrantica.com/p/117345,"Nome coincidente dopo normalizzazione di accenti e punteggiatura; marchio coerente con il codice Shobi KYLJ. Associazione del codice desunta dalle altre righe del catalogo, Non verificata online per questa riga. | Sources: https://leparfum.com.gr/en/fragrances-for-women/2842-kylj-w | https://www.parfumo.com/Perfumes/kylie-cosmetics/vanilla-dew"
5109,2841-KYLJ,SWEET ECLAIRE,Kylie Jenner,SWEET ECLAIRE,CONFIRMED,FOUND,117347,https://www.fragrantica.com/p/117347,Nome ricavato dalla scheda Shobi; marchio corroborato da altre righe dello stesso codice in cui il brand è scritto esplicitamente. | Sources: https://leparfum.com.gr/en/fragrances-for-women/2841-kylj-w | https://www.parfumo.com/Perfumes/Lattafa/eclaire | https://www.parfumo.com/Perfumes/Lattafa/eclaire-banoffi | https://www.parfumo.com/Perfumes/kylie-cosmetics/sweet-eclair | https://www.parfumo.com/Perfumes/Lattafa/eclaire-pistache | https://www.parfumo.com/Perfumes/Lattafa/eclaire-perfume-mist | https://www.parfumo.com/Perfumes/somens/eclair
5108,2840-KYLJ,CARAMEL CLOUD,kylie-cosmetics,Caramel-cloud,CONFIRMED,FOUND,117346,https://www.fragrantica.com/p/117346,"Nome coincidente dopo normalizzazione di accenti e punteggiatura; marchio coerente con il codice Shobi KYLJ. Associazione del codice desunta dalle altre righe del catalogo, Non verificata online per questa riga. | Sources: https://leparfum.com.gr/en/fragrances-for-women/2840-kylj-w | https://www.parfumo.com/Perfumes/kylie-cosmetics/caramel-cloud"
