prestashop_product_id,shobi_code,inspired_by,original_brand,original_perfume,identity_status,fragrantica_status,fragrantica_id,fragrantica_url,evidence_note
4651,2691-SOL,Cheirosa '39 Sol de Janeiro,Sol de Janeiro,Cheirosa 39,CONFIRMED,FOUND,56681,https://www.fragrantica.com/perfume/Sol-de-Janeiro/Cheirosa-39-56681.html,verified from Fragrantica + Parfumo + official Sol de Janeiro
4649,2696-AMG,Decision Amouage,Amouage,Decision,CONFIRMED,FOUND,103892,https://www.fragrantica.com/perfume/Amouage/Decision-103892.html,verified from Fragrantica + Parfumo + official Amouage
4647,2690-NISH,Oudous Lux Solis Nishane,Nishane,Oudous Lux Solis,CONFIRMED,FOUND,111174,https://www.fragrantica.com/perfume/Nishane/Oudous-Lux-Solis-111174.html,verified from Fragrantica + Parfumo
4644,2687-GRIT,Mango Aoud Gritti,Gritti,Mango Aoud,CONFIRMED,FOUND,86927,https://www.fragrantica.com/perfume/Gritti/Mango-Aoud-86927.html,verified from Fragrantica + Parfumo + official Gritti
4638,2685-FRAG,Rude Cherry Fragrance Du Bois,Fragrance Du Bois,Rude Cherry,CONFIRMED,FOUND,110478,https://www.fragrantica.com/perfume/Fragrance-Du-Bois/Rude-Cherry-110478.html,verified from Fragrantica + Parfumo + official Fragrance Du Bois
4240,2492-ETLR,You Or Someone Like You Etat Libre d'Orange,Etat Libre d'Orange,You Or Someone Like You,CONFIRMED,FOUND,43531,https://www.fragrantica.com/perfume/Etat-Libre-d-Orange/You-Or-Someone-Like-You-43531.html,verified from Fragrantica + Parfumo + official Etat Libre d'Orange
2109,143-MAN,RED TOBACCO - MANCERA,Mancera,Red Tobacco,CONFIRMED,FOUND,46663,https://www.fragrantica.com/perfume/Mancera/Red-Tobacco-46663.html,verified from Fragrantica + official Mancera
583,487-CRT,BAISER VOLE - CARTIER,Cartier,Baiser Volé,CONFIRMED,FOUND,12878,https://www.fragrantica.com/perfume/Cartier/Baiser-Vole-12878.html,verified from Fragrantica + Parfumo + official Cartier
569,470-CAL,ETERNITY - CALVIN KLEIN,Calvin Klein,Eternity,CONFIRMED,FOUND,257,https://www.fragrantica.com/perfume/Calvin-Klein/Eternity-257.html,verified from Fragrantica + Parfumo + official Calvin Klein
317,1240-PRA,LUNA ROSSA - PRADA,Prada,Luna Rossa,CONFIRMED,FOUND,15754,https://www.fragrantica.com/perfume/Prada/Luna-Rossa-15754.html,verified from Fragrantica + Parfumo
763,693-GUR,SHALIMAR PARFUM - GUERLAIN,Guerlain,Shalimar Parfum,CONFIRMED,FOUND,33557,https://www.fragrantica.com/perfume/Guerlain/Shalimar-Parfum-33557.html,verified exact Shalimar Parfum identity; corrected from Eau de Parfum candidate
4639,2686-GIV,L'Interdit Tubéreuse Noire,Givenchy,L'Interdit Tubéreuse Noire,CONFIRMED,FOUND,90200,https://www.fragrantica.com/perfume/Givenchy/L-Interdit-Tubereuse-Noire-90200.html,verified from Fragrantica + Parfumo + official Givenchy
633,542-DRC,PURE POISON,Dior,Pure Poison,CONFIRMED,FOUND,214,https://www.fragrantica.com/perfume/Dior/Pure-Poison-214.html,verified from Fragrantica + Parfumo
2658,1796-SERG,Jeux de Peau Serge Lutens,Serge Lutens,Jeux de Peau,CONFIRMED,FOUND,11350,https://www.fragrantica.com/perfume/Serge-Lutens/Jeux-de-Peau-11350.html,verified from Fragrantica + official Serge Lutens
1158,251-JOM,ENGLISH PEAR & FREESIA - JO MALONE,Jo Malone London,English Pear & Freesia,CONFIRMED,FOUND,10314,https://www.fragrantica.com/perfume/Jo-Malone-London/English-Pear-Freesia-10314.html,verified from Fragrantica + official Jo Malone London
2450,1720-LEL,VETIVER 46 - LE LABO,Le Labo,Vetiver 46,CONFIRMED,FOUND,6328,https://www.fragrantica.com/perfume/Le-Labo/Vetiver-46-6328.html,verified from Fragrantica + official Le Labo
737,661-ARM,SUN DI GIOIA,Giorgio Armani,Sun di Gioia,CONFIRMED,FOUND,36600,https://www.fragrantica.com/perfume/Giorgio-Armani/Sun-di-Gioia-36600.html,verified from Fragrantica + Parfumo
582,485-CAR,GOOD GIRL,Carolina Herrera,Good Girl,CONFIRMED,FOUND,39681,https://www.fragrantica.com/perfume/Carolina-Herrera/Good-Girl-39681.html,verified from Fragrantica + Parfumo
2084,172-SHALM,MOROCCAN MUSK - SCENT SALIM,Scent Salim,Moroccan Musk,CONFIRMED,FOUND,47982,https://www.fragrantica.com/perfume/Scent-Salim/Moroccan-Musk-47982.html,verified exact brand/perfume identity on Fragrantica
266,1179-GUL,LE MALE,Jean Paul Gaultier,Le Male,CONFIRMED,FOUND,430,https://www.fragrantica.com/perfume/Jean-Paul-Gaultier/Le-Male-430.html,verified exact Le Male identity; corrected from Le Male Le Parfum candidate
2448,1723-TMFO,VERT DES BOIS,Tom Ford,Vert des Bois,CONFIRMED,FOUND,40089,https://www.fragrantica.com/perfume/Tom-Ford/Vert-des-Bois-40089.html,verified exact Tom Ford identity on Fragrantica
1907,269-JOM,Nashi Blossom Jo Malone,Jo Malone London,Nashi Blossom,AMBIGUOUS,NOT_FOUND,,,two Fragrantica releases with same name (2016 id 37551; 2021 id 66482); Shobi does not specify version
