shobi_code,brand_query,name_query,candidate_brand,candidate_name,fid,url
570-DOL,dolce gabbana,,dolce gabbana,sicily,486,https://www.fragrantica.com/perfume/Dolce-Gabbana/Sicily-486.html
570-DOL,dolce gabbana,,dolce gabbana,by,489,https://www.fragrantica.com/perfume/Dolce-Gabbana/By-489.html
570-DOL,dolce gabbana,,dolce gabbana,by,490,https://www.fragrantica.com/perfume/Dolce-Gabbana/By-490.html
570-DOL,dolce gabbana,,dolce gabbana,dolce gabbana,484,https://www.fragrantica.com/perfume/Dolce-Gabbana/Dolce-Gabbana-484.html
570-DOL,dolce gabbana,,dolce gabbana,dolce gabbana perfume for babies,23597,https://www.fragrantica.com/perfume/Dolce-Gabbana/Dolce-Gabbana-Perfume-for-Babies-23597.html
570-DOL,dolce gabbana,,dolce gabbana,dolce gabbana pour femme,15335,https://www.fragrantica.com/perfume/Dolce-Gabbana/Dolce-Gabbana-Pour-Femme-15335.html
570-DOL,dolce gabbana,,dolce gabbana,dolce gabbana pour femme intense,18837,https://www.fragrantica.com/perfume/Dolce-Gabbana/Dolce-Gabbana-Pour-Femme-Intense-18837.html
570-DOL,dolce gabbana,,dolce gabbana,dolce gabbana pour homme 1994,483,https://www.fragrantica.com/perfume/Dolce-Gabbana/Dolce-Gabbana-pour-Homme-1994-483.html
570-DOL,dolce gabbana,,dolce gabbana,dolce gabbana pour homme 2012,15336,https://www.fragrantica.com/perfume/Dolce-Gabbana/Dolce-Gabbana-Pour-Homme-2012-15336.html
570-DOL,dolce gabbana,,dolce gabbana,dolce gabbana pour homme intenso,28935,https://www.fragrantica.com/perfume/Dolce-Gabbana/Dolce-Gabbana-Pour-Homme-Intenso-28935.html
570-DOL,dolce gabbana,,dolce gabbana,d g feminine,487,https://www.fragrantica.com/perfume/Dolce-Gabbana/D-G-Feminine-487.html
570-DOL,dolce gabbana,,dolce gabbana,d g masculine,488,https://www.fragrantica.com/perfume/Dolce-Gabbana/D-G-Masculine-488.html
570-DOL,dolce gabbana,,dolce gabbana,d g anthology l amoureux 6,6087,https://www.fragrantica.com/perfume/Dolce-Gabbana/D-G-Anthology-L-Amoureux-6-6087.html
570-DOL,dolce gabbana,,dolce gabbana,d g anthology l empereur 4,14407,https://www.fragrantica.com/perfume/Dolce-Gabbana/D-G-Anthology-L-Empereur-4-14407.html
570-DOL,dolce gabbana,,dolce gabbana,d g anthology l imperatrice 3,6086,https://www.fragrantica.com/perfume/Dolce-Gabbana/D-G-Anthology-L-Imperatrice-3-6086.html
570-DOL,dolce gabbana,,dolce gabbana,d g anthology la force 11,6842,https://www.fragrantica.com/perfume/Dolce-Gabbana/D-G-Anthology-La-Force-11-6842.html
570-DOL,dolce gabbana,,dolce gabbana,d g anthology la lune 18,6089,https://www.fragrantica.com/perfume/Dolce-Gabbana/D-G-Anthology-La-Lune-18-6089.html
570-DOL,dolce gabbana,,dolce gabbana,d g anthology la roue de la fortune 10,6088,https://www.fragrantica.com/perfume/Dolce-Gabbana/D-G-Anthology-La-Roue-de-La-Fortune-10-6088.html
570-DOL,dolce gabbana,,dolce gabbana,d g anthology la temperance 14,12483,https://www.fragrantica.com/perfume/Dolce-Gabbana/D-G-Anthology-La-Temperance-14-12483.html
570-DOL,dolce gabbana,,dolce gabbana,d g anthology le bateleur 1,6085,https://www.fragrantica.com/perfume/Dolce-Gabbana/D-G-Anthology-Le-Bateleur-1-6085.html
570-DOL,dolce gabbana,,dolce gabbana,d g anthology le fou 21,12484,https://www.fragrantica.com/perfume/Dolce-Gabbana/D-G-Anthology-Le-Fou-21-12484.html
570-DOL,dolce gabbana,,dolce gabbana,l imperatrice limited edition,63485,https://www.fragrantica.com/perfume/Dolce-Gabbana/L-Imperatrice-Limited-Edition-63485.html
570-DOL,dolce gabbana,,dolce gabbana,l imperatrice royale,102672,https://www.fragrantica.com/perfume/Dolce-Gabbana/L-Imperatrice-Royale-102672.html
570-DOL,dolce gabbana,,dolce gabbana,devotion,84951,https://www.fragrantica.com/perfume/Dolce-Gabbana/Devotion-84951.html
570-DOL,dolce gabbana,,dolce gabbana,devotion intense,96028,https://www.fragrantica.com/perfume/Dolce-Gabbana/Devotion-Intense-96028.html
570-DOL,dolce gabbana,,dolce gabbana,devotion pour homme,101353,https://www.fragrantica.com/perfume/Dolce-Gabbana/Devotion-Pour-Homme-101353.html
570-DOL,dolce gabbana,,dolce gabbana,devotion pour homme parfum,112765,https://www.fragrantica.com/perfume/Dolce-Gabbana/Devotion-Pour-Homme-Parfum-112765.html
570-DOL,dolce gabbana,,dolce gabbana,devotion sacred heart limited edition,113726,https://www.fragrantica.com/perfume/Dolce-Gabbana/Devotion-Sacred-Heart-Limited-Edition-113726.html
570-DOL,dolce gabbana,,dolce gabbana,my devotion eau de parfum intense,113886,https://www.fragrantica.com/perfume/Dolce-Gabbana/My-Devotion-Eau-de-Parfum-Intense-113886.html
570-DOL,dolce gabbana,,dolce gabbana,dgvib3 eau de parfum,87434,https://www.fragrantica.com/perfume/Dolce-Gabbana/DGVIB3-Eau-de-Parfum-87434.html
570-DOL,dolce gabbana,,dolce gabbana,dolce,22955,https://www.fragrantica.com/perfume/Dolce-Gabbana/Dolce-22955.html
570-DOL,dolce gabbana,,dolce gabbana,dolce blue jasmine,90660,https://www.fragrantica.com/perfume/Dolce-Gabbana/Dolce-Blue-Jasmine-90660.html
570-DOL,dolce gabbana,,dolce gabbana,dolce floral drops,29524,https://www.fragrantica.com/perfume/Dolce-Gabbana/Dolce-Floral-Drops-29524.html
570-DOL,dolce gabbana,,dolce gabbana,dolce garden,48151,https://www.fragrantica.com/perfume/Dolce-Gabbana/Dolce-Garden-48151.html
570-DOL,dolce gabbana,,dolce gabbana,dolce lily,72055,https://www.fragrantica.com/perfume/Dolce-Gabbana/Dolce-Lily-72055.html
