shobi_code,prestashop_product_id,shobi_inspired_by,classification,reason,match_type,corpus_status,candidate_count,candidate_fids,candidate_urls
130-LEL,1949,SANTAL 26 - LE LABO,NOT_FOUND,NO_FOUND_ID_FOR_CODE,EXACT_NAME_MULTIPLE_CANDIDATES,NO_MATCH,0,,
184-YAS,,HUBOOB,NOT_FOUND,NO_CORPUS_CODE_MATCH,,NO_MATCH,0,,
185-AL HAR,2111,Red African,NOT_FOUND,NO_CORPUS_CODE_MATCH,,UNIQUE_EXACT,1,61372,https://www.fragrantica.com/perfume/Al-Haramain-Perfumes/Red-African-61372.html
200-CIR,,ERNESTO CHE GUEVARA,NOT_FOUND,NO_FOUND_ID_FOR_CODE,,NO_MATCH,0,,
202-CLIV,,No. 1 FOR WOMEN,NOT_FOUND,NO_CORPUS_CODE_MATCH,,BRAND_TOKEN_MATCH,1,29025,https://www.fragrantica.com/perfume/Clive-Christian/No-1-Imperial-For-Women-29025.html
222-DIP,1125,AMBRE,NOT_FOUND,NO_FOUND_ID_FOR_CODE,EXACT_NAME_MULTIPLE_CANDIDATES,NO_MATCH,0,,
223-DIP,1126,BAIES,NOT_FOUND,NO_FOUND_ID_FOR_CODE,,NO_MATCH,0,,
227-DIP,1130,FEU DE BOIS / WOOD FIRE,NOT_FOUND,NO_FOUND_ID_FOR_CODE,,NO_MATCH,0,,
228-DIP,1131,FEUILLE DE LAVANDE,NOT_FOUND,NO_FOUND_ID_FOR_CODE,,NO_MATCH,0,,
230-DIP,1133,OPOPANAX,NOT_FOUND,NO_FOUND_ID_FOR_CODE,,NO_MATCH,0,,
258-JOM,1164,GREEN TOMATO LEAF - JO MALONE,NOT_FOUND,NO_FOUND_ID_FOR_CODE,,NO_MATCH,0,,
261-JOM,1167,INCENSE & EMBERS - JO MALONE,NOT_FOUND,NO_FOUND_ID_FOR_CODE,,NO_MATCH,0,,
289-JOM,1190,SWEET ALMON & MACARRON - JO MALONE,NOT_FOUND,NO_FOUND_ID_FOR_CODE,,NO_MATCH,0,,
310-MIL,,FEUILLES DE TABAC,NOT_FOUND,NO_CORPUS_CODE_MATCH,,NO_MATCH,0,,
311-MOL,1208,amber cocoon-mol,NOT_FOUND,NO_FOUND_ID_FOR_CODE,,NO_MATCH,0,,
313-MOL,1210,thai vert-mol,NOT_FOUND,NO_FOUND_ID_FOR_CODE,,NO_MATCH,0,,
314-MOL,1904,ZIAO JAO - MOLTON BROWN,NOT_FOUND,NO_FOUND_ID_FOR_CODE,,NO_MATCH,0,,
326-PECK,1221,CALM - PECKSNIFF'S,NOT_FOUND,NO_FOUND_ID_FOR_CODE,,NO_MATCH,0,,
330-PG,,ORIENTAL BLOSSOM,NOT_FOUND,NO_FOUND_ID_FOR_CODE,,NO_MATCH,0,,
331-PG,,CRYSTAL WATER & WATER LILY,NOT_FOUND,NO_FOUND_ID_FOR_CODE,,NO_MATCH,0,,
334-SHI,,SHIRLEY MAY,NOT_FOUND,NO_FOUND_ID_FOR_CODE,,NO_MATCH,0,,
335-THCO,1231,CASHMERE BLANC - THE WHITE COMPANY,NOT_FOUND,NO_FOUND_ID_FOR_CODE,,NO_MATCH,0,,
336-THCO,1232,NARCISSUS NOIR - THE WHITE COMPANY,NOT_FOUND,NO_FOUND_ID_FOR_CODE,,NO_MATCH,0,,
362-TMFO,,ORCHID SOLEIL,NOT_FOUND,NO_CORPUS_CODE_MATCH,,UNIQUE_EXACT,1,38650,https://www.fragrantica.com/perfume/Tom-Ford/Orchid-Soleil-38650.html
379-YAN,1263,CLEAN COTTON - YANKEE CANDLES,NOT_FOUND,NO_FOUND_ID_FOR_CODE,,NO_MATCH,0,,
380-YAN,1264,FALL FESTIVAL - YANKEE CANDLES,NOT_FOUND,NO_FOUND_ID_FOR_CODE,,NO_MATCH,0,,
381-YAN,1265,FRESH CUT ROSES - YANKEE CANDLES,NOT_FOUND,NO_FOUND_ID_FOR_CODE,,NO_MATCH,0,,
382-YAN,1266,POMEGRANATE CIDER - YANKEE CANDLES,NOT_FOUND,NO_FOUND_ID_FOR_CODE,,NO_MATCH,0,,
383-YAN,2105,WEDDING DAY - YANKEE,NOT_FOUND,NO_FOUND_ID_FOR_CODE,,NO_MATCH,0,,
387-,,CIGAR,NOT_FOUND,NO_CORPUS_CODE_MATCH,,BRAND_TOKEN_MATCH,3,83332|94996|126769,https://www.fragrantica.com/perfume/ABD-Malik/Cigar-Bergamot-83332.html|https://www.fragrantica.com/perfume/Alexandria-Fragrances/Hafez-s-Cigar-94996.html|https://www.fragrantica.com/perfume/Badr-Harqan/Red-Wine-Cigar-126769.html
420-BRB,,BRIT RHYTHM FOR HER FLORAL,NOT_FOUND,NO_CORPUS_CODE_MATCH,,UNIQUE_EXACT,1,29562,https://www.fragrantica.com/perfume/Burberry/Brit-Rhythm-for-Her-Floral-29562.html
456-CAC,,AMOR AMOR FORBIDDEN KISS,NOT_FOUND,NO_CORPUS_CODE_MATCH,,UNIQUE_EXACT,1,12764,https://www.fragrantica.com/perfume/Cacharel/Amor-Amor-Forbidden-Kiss-12764.html
491-CRT,,MUST DE CARTIER GOLD,NOT_FOUND,NO_CORPUS_CODE_MATCH,,UNIQUE_EXACT,1,32436,https://www.fragrantica.com/perfume/Cartier/Must-de-Cartier-Gold-32436.html
553-DOL,,DOLCE,NOT_FOUND,NO_CORPUS_CODE_MATCH,,UNIQUE_EXACT,1,22955,https://www.fragrantica.com/perfume/Dolce-Gabbana/Dolce-22955.html
564-DOL,1937,SEXY CHOCLATE,NOT_FOUND,NO_FOUND_ID_FOR_CODE,,NO_MATCH,0,,
720-GUL,,CLASSIQUE,NOT_FOUND,NO_CORPUS_CODE_MATCH,,MULTIPLE_EXACT,2,427|98893,https://www.fragrantica.com/perfume/Jean-Paul-Gaultier/Classique-427.html|https://www.fragrantica.com/perfume/Athoor-Al-Alam/Classique-98893.html
728-JES,,IN BLACK,NOT_FOUND,NO_CORPUS_CODE_MATCH,,UNIQUE_EXACT,1,11574,https://www.fragrantica.com/perfume/Byblos/In-Black-11574.html
876-PRA,,INFUSION D'AMANDE,NOT_FOUND,NO_CORPUS_CODE_MATCH,,BRAND_TOKEN_MATCH,1,31044,https://www.fragrantica.com/perfume/Prada/Infusion-d-Amande-31044.html
877-PRA,,INFUSION DE FLEUR D'ORANGER,NOT_FOUND,NO_CORPUS_CODE_MATCH,,BRAND_TOKEN_MATCH,2,5533|31041,https://www.fragrantica.com/perfume/Prada/Infusion-de-Fleur-d-Oranger-5533.html|https://www.fragrantica.com/perfume/Prada/Infusion-de-Fleur-d-Oranger-2015-31041.html
900-ROG,,FLEUR DE FIGUIER,NOT_FOUND,NO_CORPUS_CODE_MATCH,,NO_MATCH,0,,
995-ZAR,,POUR FEMME,NOT_FOUND,NO_CORPUS_CODE_MATCH,,MULTIPLE_EXACT,2,117994|87316,https://www.fragrantica.com/perfume/Amoret/Pour-Femme-117994.html|https://www.fragrantica.com/perfume/Camille-Rochelle/Pour-Femme-87316.html
1000-ADO,,AGUA FRESCA,NOT_FOUND,NO_CORPUS_CODE_MATCH,,UNIQUE_EXACT,1,9783,https://www.fragrantica.com/perfume/Adolfo-Dominguez/Agua-Fresca-9783.html
