shobi_code,shobi_name,classification,historical_id,historical_in_local,historical_local_brand,historical_local_name,historical_local_url,historical_score,historical_coverage,top_local_id,top_local_brand,top_local_name,top_local_url,top_score,top_coverage
105-ARB,PRESTIGE CLASSIC - ARABIAN OUD,HIST_ID_CONFIRMED_LOCAL,21602,yes,Arabian Oud,Arabian Prestige Classic,https://www.fragrantica.com/perfume/Arabian-Oud/Arabian-Prestige-Classic-21602.html,1.0000,1.0000,21602,Arabian Oud,Arabian Prestige Classic,https://www.fragrantica.com/perfume/Arabian-Oud/Arabian-Prestige-Classic-21602.html,1.0000,1.0000
106-ARB,SULTAN - ARABIAN OUD,HIST_ID_CONFIRMED_LOCAL,21560,yes,Arabian Oud,Sultan Blend,https://www.fragrantica.com/perfume/Arabian-Oud/Sultan-Blend-21560.html,0.8750,1.0000,21560,Arabian Oud,Sultan Blend,https://www.fragrantica.com/perfume/Arabian-Oud/Sultan-Blend-21560.html,0.8750,1.0000
110-ARM,ROSE D'ARABIE,HIST_ID_CONFIRMED_LOCAL,10886,yes,Giorgio Armani,Armani Prive Rose d Arabie,https://www.fragrantica.com/perfume/Giorgio-Armani/Armani-Prive-Rose-d-Arabie-10886.html,0.7000,1.0000,10886,Giorgio Armani,Armani Prive Rose d Arabie,https://www.fragrantica.com/perfume/Giorgio-Armani/Armani-Prive-Rose-d-Arabie-10886.html,0.7000,1.0000
111-BAC,Rouge 540,HIST_ID_CONFIRMED_LOCAL,33519,yes,Maison Francis Kurkdjian,Baccarat Rouge 540,https://www.fragrantica.com/perfume/Maison-Francis-Kurkdjian/Baccarat-Rouge-540-33519.html,0.6667,1.0000,29224,Baccarat,Rouge 540 Limited Edition,https://www.fragrantica.com/perfume/Baccarat/Rouge-540-Limited-Edition-29224.html,0.8333,1.0000
118-HAM,REHAN - HAMIDI OUD,HIST_ID_ABSENT_FROM_LOCAL,27808,no,,,,0.0000,0.0000,93670,Al Hunaidi,Oud Afshan,https://www.fragrantica.com/perfume/Al-Hunaidi/Oud-Afshan-93670.html,0.5946,0.3333
130-LEL,SANTAL 26 - LE LABO,NEW_LOCAL_REVIEW,,no,,,,0.0000,0.0000,12201,Le Labo,Santal 33,https://www.fragrantica.com/perfume/Le-Labo/Santal-33-12201.html,0.6750,0.7500
133-MICA,YLANG IN GOLD - M,HIST_ID_ABSENT_FROM_LOCAL,14409,no,,,,0.0000,0.0000,46469,By Kilian,Woman in Gold,https://www.fragrantica.com/perfume/By-Kilian/Woman-in-Gold-46469.html,0.8148,0.6667
153-PARF,HEROD,HIST_ID_PRESENT_NEEDS_REVIEW,4323,yes,By Kilian,Straight to Heaven,https://www.fragrantica.com/perfume/By-Kilian/Straight-to-Heaven-4323.html,0.1333,0.0000,16939,Parfums de Marly,Herod,https://www.fragrantica.com/perfume/Parfums-de-Marly/Herod-16939.html,0.6667,1.0000
166-AZ,Sequoia Wood Eau de Parfum,HIST_ID_ABSENT_FROM_LOCAL,40007,no,,,,0.0000,0.0000,66174,DSQUARED2,2 Wood,https://www.fragrantica.com/perfume/DSQUARED2/2-Wood-66174.html,0.6923,0.5000
170-ROJ,ENIGMA WOMAN - ROJA DOVE,HIST_ID_CONFIRMED_LOCAL,20558,yes,Roja Dove,Enigma,https://www.fragrantica.com/perfume/Roja-Dove/Enigma-20558.html,1.0000,1.0000,20558,Roja Dove,Enigma,https://www.fragrantica.com/perfume/Roja-Dove/Enigma-20558.html,1.0000,1.0000
