shobi_code,prestashop_product_id,shobi_inspired_by,classification,reason,fragrantica_id,fragrantica_brand,fragrantica_perfume,fragrantica_url,match_type,score,identity_score,identity_gate,review_class,secondary_names,secondary_brands
105-ARB,1405,PRESTIGE CLASSIC - ARABIAN OUD,VERIFIED,SAFE_TOKEN_SAME_BRAND,21602,Arabian Oud,Arabian Prestige Classic,https://www.fragrantica.com/perfume/Arabian-Oud/Arabian-Prestige-Classic-21602.html,SAFE_TOKEN_SAME_BRAND,0.9860,0.6827,REVIEW,NAME_PRESENT_LOW_SCORE,,Arabian Oud
106-ARB,1406,SULTAN - ARABIAN OUD,VERIFIED,WEB_VERIFIED_FRAGRANTICA,21560,,,https://www.fragrantica.com/parfem/Arabian-Oud/Sultan-Blend-21560.html,WEB_VERIFIED_FRAGRANTICA,1.0000,0.0000,REVIEW,ID_ONLY_NEEDS_LOOKUP,,Arabian Oud
110-ARM,1796,ROSE D'ARABIE,VERIFIED,WEB_VERIFIED_FRAGRANTICA,10886,,,https://www.fragrantica.com/perfume/Giorgio-Armani/Armani-Prive-Rose-d-Arabie-10886.html,WEB_VERIFIED_FRAGRANTICA,1.0000,0.0000,REVIEW,ID_ONLY_NEEDS_LOOKUP,,Giorgio Armani
111-BAC,1807,Rouge 540,VERIFIED,WEB_VERIFIED_FRAGRANTICA,33519,,,https://www.fragrantica.com/perfume/Maison-Francis-Kurkdjian/Baccarat-Rouge-540-33519.html,WEB_VERIFIED_FRAGRANTICA,1.0000,0.0000,REVIEW,ID_ONLY_NEEDS_LOOKUP,,Baccarat
118-HAM,1409,REHAN - HAMIDI OUD,VERIFIED,WEB_VERIFIED_FRAGRANTICA,27808,,,https://www.fragrantica.com/perfume/Hamidi-Oud-Perfumes/Rehan-27808.html,WEB_VERIFIED_FRAGRANTICA,1.0000,0.0000,REVIEW,ID_ONLY_NEEDS_LOOKUP,,Hamidi Oud Perfumes
133-MICA,2126,YLANG IN GOLD - M,VERIFIED,WEB_VERIFIED_FRAGRANTICA,14409,,,https://www.fragrantica.com/perfume/M-Micallef/Ylang-in-Gold-14409.html,WEB_VERIFIED_FRAGRANTICA,1.0000,0.0000,REVIEW,ID_ONLY_NEEDS_LOOKUP,,M. Micallef
153-PARF,,HEROD,VERIFIED,WEB_VERIFIED_FRAGRANTICA,4323,,,https://www.fragrantica.com/perfume/By-Kilian/Straight-to-Heaven-4323.html,WEB_VERIFIED_FRAGRANTICA,1.0000,0.0000,REVIEW,ID_ONLY_NEEDS_LOOKUP,,By Kilian
166-AZ,2096,Sequoia Wood Eau de Parfum,VERIFIED,WEB_VERIFIED_FRAGRANTICA,40007,,,https://www.fragrantica.com/perfume/The-Perfumer-s-Story-by-Azzi/Sequoia-Wood-40007.html,WEB_VERIFIED_FRAGRANTICA,1.0000,0.0000,REVIEW,ID_ONLY_NEEDS_LOOKUP,,The Perfumer’s Story by Azzi
170-ROJ,2235,ENIGMA WOMAN - ROJA DOVE,VERIFIED,WEB_VERIFIED_FRAGRANTICA,20558,,,https://www.fragrantica.com/perfume/Roja-Dove/Enigma-20558.html,WEB_VERIFIED_FRAGRANTICA,1.0000,0.0000,REVIEW,ID_ONLY_NEEDS_LOOKUP,,Roja Parfums
171-DUP,2204,Souvenirs De Malles Oud Oriental,VERIFIED,WEB_VERIFIED_FRAGRANTICA,21459,,,https://www.fragrantica.com/perfume/S-T-Dupont/Dupont-Oud-Oriental-21459.html,WEB_VERIFIED_FRAGRANTICA,1.0000,0.0000,REVIEW,ID_ONLY_NEEDS_LOOKUP,,S T Dupont
172-SHALM,2084,Moroccan-musk,VERIFIED,WEB_VERIFIED_FRAGRANTICA,47982,,,https://www.fragrantica.com/perfume/Scent-Salim/Moroccan-Musk-47982.html,WEB_VERIFIED_FRAGRANTICA,1.0000,0.0000,REVIEW,ID_ONLY_NEEDS_LOOKUP,,scent-salim
193-ARM,1142,ROYAL OUD,VERIFIED,WEB_VERIFIED_FRAGRANTICA,10884,,,https://www.fragrantica.com/perfume/Giorgio-Armani/Armani-Prive-Oud-Royal-10884.html,WEB_VERIFIED_FRAGRANTICA,1.0000,0.0000,REVIEW,ID_ONLY_NEEDS_LOOKUP,,Giorgio Armani
204-CRD,1110,Avent,VERIFIED,WEB_VERIFIED_FRAGRANTICA,9828,,,https://www.fragrantica.com/perfume/Creed/Aventus-9828.html,WEB_VERIFIED_FRAGRANTICA,1.0000,0.0000,REVIEW,ID_ONLY_NEEDS_LOOKUP,,Creed
225-DIP,1128,EL EAU DES SENS,VERIFIED,WEB_VERIFIED_FRAGRANTICA,35678,,,https://www.fragrantica.com/perfume/Diptyque/Eau-des-Sens-Eau-de-Toilette-35678.html,WEB_VERIFIED_FRAGRANTICA,1.0000,0.0000,REVIEW,ID_ONLY_NEEDS_LOOKUP,,Diptyque
233-ESCE,1839,Molecule 02,VERIFIED,WEB_VERIFIED_FRAGRANTICA,3606,,,https://www.fragrantica.com/perfume/Escentric-Molecules/Molecule-02-3606.html,WEB_VERIFIED_FRAGRANTICA,1.0000,0.0000,REVIEW,ID_ONLY_NEEDS_LOOKUP,,Escentric Molecules
235-HOLL,,SOCAL,VERIFIED,WEB_VERIFIED_FRAGRANTICA,4307,,,https://www.fragrantica.com/perfume/Hollister/Socal-4307.html,WEB_VERIFIED_FRAGRANTICA,1.0000,0.0000,REVIEW,ID_ONLY_NEEDS_LOOKUP,,
236-IND,,ZUM FRANKINCENSE & MYRRH,VERIFIED,WEB_VERIFIED_FRAGRANTICA,42046,,,https://www.fragrantica.com/perfume/Indigo-Wild/Zum-Mist-Frankincense-Myrrh-42046.html,WEB_VERIFIED_FRAGRANTICA,1.0000,0.0000,REVIEW,ID_ONLY_NEEDS_LOOKUP,,
237-JOM,1145,A Shot Of Thai Over Mango - Jo Malone,VERIFIED,WEB_VERIFIED_FRAGRANTICA,16436,,,https://www.fragrantica.com/perfume/Jo-Loves/Mango-Thai-Lime-16436.html,WEB_VERIFIED_FRAGRANTICA,1.0000,0.0000,REVIEW,ID_ONLY_NEEDS_LOOKUP,,Jo Malone
238-JOM,1146,A Shot Of Oud Over Mango - Jo Malone,VERIFIED,WEB_VERIFIED_FRAGRANTICA,16434,,,https://www.fragrantica.com/perfume/Jo-Loves/A-Shot-Of-Oud-Over-Mango-16434.html,WEB_VERIFIED_FRAGRANTICA,1.0000,0.0000,REVIEW,ID_ONLY_NEEDS_LOOKUP,,Jo Malone
240-JOM,1148,Amber & Patchouli - Jo Malone,VERIFIED,WEB_VERIFIED_FRAGRANTICA,12927,,,https://www.fragrantica.com/perfume/Jo-Malone-London/Amber-Patchouli-12927.html,WEB_VERIFIED_FRAGRANTICA,1.0000,0.0000,REVIEW,ID_ONLY_NEEDS_LOOKUP,,Jo Malone
243-JOM,1151,Black Cedarwood  Juniper,VERIFIED,WEB_VERIFIED_FRAGRANTICA,22504,Jo Malone London,London Rain Black Cedarwood & Juniper,https://www.fragrantica.com/perfume/Jo-Malone/Black-Cedarwood-Juniper-22504.html,WEB_VERIFIED_FRAGRANTICA,1.0000,0.7419,REVIEW,NAME_PRESENT_LOW_SCORE,,Jo Malone London
246-JOM,2208,Bronze Wood & Leather by Jo Malone London,VERIFIED,SAFE_TOKEN_SAME_BRAND,52803,Jo Malone London,Bronze Wood Leather,https://www.fragrantica.com/perfume/Jo-Malone-London/Bronze-Wood-Leather-52803.html,SAFE_TOKEN_SAME_BRAND,0.9440,0.6129,REVIEW,NAME_PRESENT_LOW_SCORE,,Jo Malone London
247-JOM,1154,The Herb Garden  Carrot Blossom  Fennel,VERIFIED,WEB_VERIFIED_FRAGRANTICA,35881,,,https://www.fragrantica.com/perfume/Jo-Malone-London/Carrot-Blossom-Fennel-35881.html,WEB_VERIFIED_FRAGRANTICA,1.0000,0.0000,REVIEW,ID_ONLY_NEEDS_LOOKUP,,Jo Malone
249-JOM,1156,Earl Grey  Cucumber,VERIFIED,WEB_VERIFIED_FRAGRANTICA,11488,,,https://www.fragrantica.com/perfume/Jo-Malone-London/Earl-Grey-Cucumber-11488.html,WEB_VERIFIED_FRAGRANTICA,1.0000,0.0000,REVIEW,ID_ONLY_NEEDS_LOOKUP,,Jo Malone
254-JOM,1160,GARDENIA - JO MALONE,VERIFIED,WEB_VERIFIED_FRAGRANTICA,13829,,,https://www.fragrantica.com/perfume/Jo-Loves/Gardenia-13829.html,WEB_VERIFIED_FRAGRANTICA,1.0000,0.0000,REVIEW,ID_ONLY_NEEDS_LOOKUP,,Jo Malone
257-JOM,1163,GREEN ORANGE & CORIANDER - JO MALONE,VERIFIED,WEB_VERIFIED_FRAGRANTICA,13827,,,https://www.fragrantica.com/perfume/Jo-Loves/Green-Orange-Coriander-13827.html,WEB_VERIFIED_FRAGRANTICA,1.0000,0.0000,REVIEW,ID_ONLY_NEEDS_LOOKUP,,Jo Malone
268-JOM,1173,MYRRH & TONKA - JO MALONE,VERIFIED,SAFE_TOKEN_SAME_BRAND,42027,Jo Malone London,Myrrh Tonka,https://www.fragrantica.com/perfume/Jo-Malone-London/Myrrh-Tonka-42027.html,SAFE_TOKEN_SAME_BRAND,0.9440,0.6111,REVIEW,NAME_PRESENT_LOW_SCORE,,Jo Malone London
269-JOM,1907,Nashi Blossom,VERIFIED,WEB_VERIFIED_FRAGRANTICA,37551,,,https://www.fragrantica.com/perfume/Jo-Malone-London/Nashi-Blossom-37551.html,WEB_VERIFIED_FRAGRANTICA,1.0000,0.0000,REVIEW,ID_ONLY_NEEDS_LOOKUP,,Jo Malone
276-JOM,2087,Oud & Bergamot by Jo Malone London,VERIFIED,SAFE_TOKEN_SAME_BRAND,12928,Jo Malone London,Oud Bergamot,https://www.fragrantica.com/perfume/Jo-Malone-London/Oud-Bergamot-12928.html,SAFE_TOKEN_SAME_BRAND,0.9440,0.5000,REVIEW,NAME_PRESENT_LOW_SCORE,,Jo Malone London
279-JOM,1181,PINK VETIVER - JO MALONE,VERIFIED,WEB_VERIFIED_FRAGRANTICA,16433,,,https://www.fragrantica.com/perfume/Jo-Loves/Pink-Vetiver-16433.html,WEB_VERIFIED_FRAGRANTICA,1.0000,0.0000,REVIEW,ID_ONLY_NEEDS_LOOKUP,,Jo Malone
282-JOM,1184,POMELO - JO MALONE,VERIFIED,WEB_VERIFIED_FRAGRANTICA,13826,,,https://www.fragrantica.com/perfume/Jo-Loves/Pomelo-13826.html,WEB_VERIFIED_FRAGRANTICA,1.0000,0.0000,REVIEW,ID_ONLY_NEEDS_LOOKUP,,Jo Malone
283-JOM,2059,English Fields  Poppy  Barley,VERIFIED,WEB_VERIFIED_FRAGRANTICA,48316,Jo Malone London,Poppy & Barley,https://www.fragrantica.com/perfume/Jo-Malone-London/Poppy-Barley-48316.html,WEB_VERIFIED_FRAGRANTICA,1.0000,0.5581,REVIEW,NAME_PRESENT_LOW_SCORE,,Jo Malone London
286-JOM,1187,SHARDS OF CEDAR & RED THYME - JO MALONE,VERIFIED,WEB_VERIFIED_FRAGRANTICA,37578,,,https://www.fragrantica.com/perfume/Jo-Loves/Shards-of-Cedar-Red-Thyme-37578.html,WEB_VERIFIED_FRAGRANTICA,1.0000,0.0000,REVIEW,ID_ONLY_NEEDS_LOOKUP,,Jo Malone
287-JOM,1188,Silk Blossom,VERIFIED,WEB_VERIFIED_FRAGRANTICA,24717,,,https://www.fragrantica.com/perfume/Jo-Malone/Silk-Blossom-24717.html,WEB_VERIFIED_FRAGRANTICA,1.0000,0.0000,REVIEW,ID_ONLY_NEEDS_LOOKUP,,Jo Malone
299-JOM,1198,WHITE LILAC & RHUBARB - JO MALONE,VERIFIED,SAFE_TOKEN_SAME_BRAND,14134,Jo Malone London,White Lilac Rhubarb,https://www.fragrantica.com/perfume/Jo-Malone-London/White-Lilac-Rhubarb-14134.html,SAFE_TOKEN_SAME_BRAND,0.9440,0.7308,REVIEW,NAME_PRESENT_LOW_SCORE,,Jo Malone London
302-JOM,1201,WISTERIA VIOLET - JO MALONE,VERIFIED,SAFE_TOKEN_SAME_BRAND,22503,Jo Malone London,London Rain Wisteria Violet,https://www.fragrantica.com/perfume/Jo-Malone-London/London-Rain-Wisteria-Violet-22503.html,SAFE_TOKEN_SAME_BRAND,0.9560,0.5769,REVIEW,NAME_PRESENT_LOW_SCORE,,Jo Malone London
304-KIE,,ORIGINAL MUSK,VERIFIED,WEB_VERIFIED_FRAGRANTICA,6188,,,https://www.fragrantica.com/perfume/Kiehl-s/Original-Musk-6188.html,WEB_VERIFIED_FRAGRANTICA,1.0000,0.0000,REVIEW,ID_ONLY_NEEDS_LOOKUP,,
307-LOC,1204,PEONY - L' OCCITANE,VERIFIED,WEB_VERIFIED_FRAGRANTICA,8458,,,https://www.fragrantica.com/perfume/L-Occitane-en-Provence/Peony-8458.html,WEB_VERIFIED_FRAGRANTICA,1.0000,0.0000,REVIEW,ID_ONLY_NEEDS_LOOKUP,,L'Occitane
308-LOC,1205,CITRUS VERBENA - L' OCCITANE,VERIFIED,WEB_VERIFIED_FRAGRANTICA,2224,,,https://www.fragrantica.com/perfume/-2224.html,WEB_VERIFIED_FRAGRANTICA,1.0000,0.0000,REVIEW,ID_ONLY_NEEDS_LOOKUP,,L'Occitane
309-LOC,1206,MAGNOLIA & MURE - L' OCCITANE,VERIFIED,WEB_VERIFIED_FRAGRANTICA,17836,,,https://www.fragrantica.com/perfume/L-Occitane/Magnolia-Mure-17836.html,WEB_VERIFIED_FRAGRANTICA,1.0000,0.0000,REVIEW,ID_ONLY_NEEDS_LOOKUP,,L'Occitane
312-MOL,1209,black pepper-molΞυλώδες Πικάντικο,VERIFIED,WEB_VERIFIED_FRAGRANTICA,951,,,https://www.fragrantica.com/perfume/Molton-Brown/Black-Pepper-951.html,WEB_VERIFIED_FRAGRANTICA,1.0000,0.0000,REVIEW,ID_ONLY_NEEDS_LOOKUP,,Molton Brown
315-MNT,1212,Aoud Orange,VERIFIED,SAFE_TOKEN_SAME_BRAND,23365,Montale,Orange Aoud,https://www.fragrantica.com/perfume/Montale/Orange-Aoud-23365.html,SAFE_TOKEN_SAME_BRAND,0.9860,0.7727,REVIEW,NAME_PRESENT_LOW_SCORE,,Montale
325-PECK,1220,BLACK OAK & CEDAR - PECKSNIFF'S,VERIFIED,WEB_VERIFIED_FRAGRANTICA,31590,,,https://www.fragrantica.com/perfume/Pecksniff-s/Black-Oak-Cedar-31590.html,WEB_VERIFIED_FRAGRANTICA,1.0000,0.0000,REVIEW,ID_ONLY_NEEDS_LOOKUP,,Pecksniff's
327-PECK,1222,MISTRAAL - PECKSNIFF'S Perfumes,VERIFIED,WEB_VERIFIED_FRAGRANTICA,31584,,,https://www.fragrantica.com/perfume/Pecksniff-s/Mistraal-31584.html,WEB_VERIFIED_FRAGRANTICA,1.0000,0.0000,REVIEW,ID_ONLY_NEEDS_LOOKUP,,Pecksniff's
337-TIFF,1878,Tiffany  Co Sheer,VERIFIED,WEB_VERIFIED_FRAGRANTICA,12922,,,https://www.fragrantica.com/perfume/Tiffany/Sheer-Tiffany-12922.html,WEB_VERIFIED_FRAGRANTICA,1.0000,0.0000,REVIEW,ID_ONLY_NEEDS_LOOKUP,,Tiffany Co
344-TMFO,1237,COSTA AZZURA,VERIFIED,WEB_VERIFIED_FRAGRANTICA,25482,,,https://www.fragrantica.com/perfume/Tom-Ford/Costa-Azzurra-25482.html,WEB_VERIFIED_FRAGRANTICA,1.0000,0.0000,REVIEW,ID_ONLY_NEEDS_LOOKUP,,Tom Ford
396-ANT,507,Blue Seduction for Women Eau de Toilette,VERIFIED,WEB_VERIFIED_FRAGRANTICA,3751,,,https://www.fragrantica.com/perfume/Antonio-Banderas/Blue-Seduction-3751.html,WEB_VERIFIED_FRAGRANTICA,1.0000,0.0000,REVIEW,ID_ONLY_NEEDS_LOOKUP,,Antonio Banderas
401-ARIA,2061,Cloud-eau-de-,VERIFIED,WEB_VERIFIED_FRAGRANTICA,50384,,,https://www.fragrantica.com/perfume/Ariana-Grande/Cloud-50384.html,WEB_VERIFIED_FRAGRANTICA,1.0000,0.0000,REVIEW,ID_ONLY_NEEDS_LOOKUP,,Ariana Grande
404-BAL,513,BALE PARIS,VERIFIED,WEB_VERIFIED_FRAGRANTICA,7247,,,https://www.fragrantica.com/perfume/Balenciaga/Balenciaga-Paris-7247.html,WEB_VERIFIED_FRAGRANTICA,1.0000,0.0000,REVIEW,ID_ONLY_NEEDS_LOOKUP,,Balenciaga
407-BAT,516,PINK AMBER  & MOROCCO ORCHID  - BATH & BODY WORKS,VERIFIED,SAFE_TOKEN_SAME_BRAND,25388,Bath Body Works,Morocco Orchid Pink Amber,https://www.fragrantica.com/perfume/Bath-Body-Works/Morocco-Orchid-Pink-Amber-25388.html,SAFE_TOKEN_SAME_BRAND,0.9440,0.5135,REVIEW,NAME_PRESENT_LOW_SCORE,,Bath Body Works
408-BAT,,WARM VANILLA SUGAR,VERIFIED,WEB_VERIFIED_FRAGRANTICA,3545,,,https://www.fragrantica.com/perfume/Bath-Body-Works/Warm-Vanilla-Sugar-3545.html,WEB_VERIFIED_FRAGRANTICA,1.0000,0.0000,REVIEW,ID_ONLY_NEEDS_LOOKUP,,
410-BOD,,BLACK MUSK,VERIFIED,WEB_VERIFIED_FRAGRANTICA,32247,,,https://www.fragrantica.com/perfume/The-Body-Shop/Black-Musk-32247.html,WEB_VERIFIED_FRAGRANTICA,1.0000,0.0000,REVIEW,ID_ONLY_NEEDS_LOOKUP,,
411-BOD,,WHITE MUSK,VERIFIED,WEB_VERIFIED_FRAGRANTICA,2432,,,https://www.fragrantica.com/perfume/The-Body-Shop/White-Musk-2432.html,WEB_VERIFIED_FRAGRANTICA,1.0000,0.0000,REVIEW,ID_ONLY_NEEDS_LOOKUP,,
417-BOUR,523,SOIR DE PARIS - BOURJOIS,VERIFIED,SAFE_TOKEN_SAME_BRAND,3604,Bourjois,Soir de Paris Evening in Paris,https://www.fragrantica.com/perfume/Bourjois/Soir-de-Paris-Evening-in-Paris-3604.html,SAFE_TOKEN_SAME_BRAND,0.9760,0.6538,REVIEW,NAME_PRESENT_LOW_SCORE,,Bourjois
424-BRB,530,BURBERRY CLASSIC,VERIFIED,WEB_VERIFIED_FRAGRANTICA,818,,,https://www.fragrantica.com/perfume/Burberry/Burberry-Women-818.html,WEB_VERIFIED_FRAGRANTICA,1.0000,0.0000,REVIEW,ID_ONLY_NEEDS_LOOKUP,,Burberry
428-BRB,534,BURBERRY SPORT,VERIFIED,WEB_VERIFIED_FRAGRANTICA,7613,,,https://www.fragrantica.com/perfume/Burberry/Burberry-Sport-for-Women-7613.html,WEB_VERIFIED_FRAGRANTICA,1.0000,0.0000,REVIEW,ID_ONLY_NEEDS_LOOKUP,,Burberry
431-BRB,537,BURBERRY TOUCH,VERIFIED,WEB_VERIFIED_FRAGRANTICA,814,,,https://www.fragrantica.com/p/814,WEB_VERIFIED_FRAGRANTICA,1.0000,0.0000,REVIEW,ID_ONLY_NEEDS_LOOKUP,,Burberry
438-BLG,544,CORAL OMNIA,VERIFIED,SAFE_TOKEN_SAME_BRAND,14297,Bvlgari,Omnia Coral,https://www.fragrantica.com/perfume/Bvlgari/Omnia-Coral-14297.html,SAFE_TOKEN_SAME_BRAND,0.9860,0.7273,REVIEW,NAME_PRESENT_LOW_SCORE,,Bvlgari
493-CER,,1881 CERRUTI FOR WOMEN,VERIFIED,WEB_VERIFIED_FRAGRANTICA,327,,,https://www.fragrantica.com/perfume/Cerruti/1881-327.html,WEB_VERIFIED_FRAGRANTICA,1.0000,0.0000,REVIEW,ID_ONLY_NEEDS_LOOKUP,,
497-CHA,,CHANCE,VERIFIED,WEB_VERIFIED_FRAGRANTICA,610,,,https://www.fragrantica.com/perfume/Chanel/Chance-610.html,WEB_VERIFIED_FRAGRANTICA,1.0000,0.0000,REVIEW,ID_ONLY_NEEDS_LOOKUP,,
502-CHA,597,No 5,VERIFIED,WEB_VERIFIED_FRAGRANTICA,608,Chanel,,https://www.fragrantica.com/perfume/Chanel/Chanel-N--5-608.html,WEB_VERIFIED_FRAGRANTICA,1.0000,0.0000,REVIEW,ID_ONLY_NEEDS_LOOKUP,,Chanel
503-CHA,598,No 5 EAU PREMIER,VERIFIED,WEB_VERIFIED_FRAGRANTICA,1360,,,https://www.fragrantica.com/perfume/Chanel/Chanel-N05-Eau-Premiere-1360.html,WEB_VERIFIED_FRAGRANTICA,1.0000,0.0000,REVIEW,ID_ONLY_NEEDS_LOOKUP,,Chanel
504-CHA,599,Five L'EAU,VERIFIED,WEB_VERIFIED_FRAGRANTICA,38543,Chanel,Chanel No 5 L'Eau,https://www.fragrantica.com/p/38543,WEB_VERIFIED_FRAGRANTICA,1.0000,0.5185,REVIEW,NAME_PRESENT_LOW_SCORE,,Chanel
