prestashop_product_id,shobi_code,old_inspired_by,recovered_inspired_by,source,url
4369,2584-GIV,Eau de,"Eau de. Woman perfume white floral, green, citrus, yellow floral, woody",description,https://leparfum.com.gr/en/fragrances-for-women/2584-giv-w
4359,2580-KAY,,2580 kay el,url_slug,https://leparfum.com.gr/en/elegants-fragrances/2580-kay-el
4197,374-TMFO,,374 tmfo mix 350 tmfo,url_slug,https://leparfum.com.gr/en/layered-perfumes/374-tmfo-mix-350-tmfo
4191,2466-ELIZ,,white tea eau de parfum elizabeth arden dupe,url_slug,https://leparfum.com.gr/en/elegants-fragrances/white-tea-eau-de-parfum-elizabeth-arden-dupe
4172,2441-PANTRO,,2441 pantro ν,url_slug,https://leparfum.com.gr/en/niche-perfumes/2441-pantro-ν
4170,2431-ROJ,,2431 roj ν,url_slug,https://leparfum.com.gr/en/niche-perfumes/2431-roj-ν
4169,2439-ZEG,,2439 zeg ν,url_slug,https://leparfum.com.gr/en/niche-perfumes/2439-zeg-ν
4166,2437-MELA,,cry baby perfume milk melanie martinez dupe,url_slug,https://leparfum.com.gr/en/elegants-fragrances/cry-baby-perfume-milk-melanie-martinez-dupe-perfume
4164,2427-CLEA,,clean warm cotton clean dupe,url_slug,https://leparfum.com.gr/en/elegants-fragrances/clean-warm-cotton-clean-dupe-perfume
4157,2429-JUL,,2429 jul wp,url_slug,https://leparfum.com.gr/en/fragrances-for-women/2429-jul-wp
4156,2430-CELI,,2430 celi ν,url_slug,https://leparfum.com.gr/en/niche-perfumes/2430-celi-ν
4150,2436-PHL,,2436 phl ν,url_slug,https://leparfum.com.gr/en/niche-perfumes/2436-phl-ν
4147,2411-JAME,,coccobello james heeley dupe,url_slug,https://leparfum.com.gr/en/elegants-fragrances/coccobello-james-heeley-dupe-perfume
4139,2400-MORH,,2400 morh ν,url_slug,https://leparfum.com.gr/en/niche-perfumes/2400-morh-ν
4138,2399-MORH,,2399 morh ν,url_slug,https://leparfum.com.gr/en/niche-perfumes/2399-morh-ν
4137,2402-AKR,,bake akro dupe,url_slug,https://leparfum.com.gr/en/elegants-fragrances/bake-akro-dupe-perfume
4109,2378-GOLD,,2378 gold ν,url_slug,https://leparfum.com.gr/en/niche-perfumes/2378-gold-ν
4105,2334-ROJ,,2334 roj ν,url_slug,https://leparfum.com.gr/en/niche-perfumes/2334-roj-ν
4097,2371-MATIE,,vanilla powder matiere premiere,url_slug,https://leparfum.com.gr/en/elegants-fragrances/vanilla-powder-matiere-premiere-inspired-perfume
4090,1481-EON,,james bond 007 eon productions,url_slug,https://leparfum.com.gr/en/fragrances-for-men/james-bond-007-eon-productions-inspired
4024,2315-RAM,,flamenco ramon monegal,url_slug,https://leparfum.com.gr/en/elegants-fragrances/flamenco-ramon-monegal-inspired-perfume
4021,2318-NAS,,2318 nas ν,url_slug,https://leparfum.com.gr/en/niche-perfumes/2318-nas-ν
3965,2327-SWISA,,2327 swisa ν,url_slug,https://leparfum.com.gr/en/niche-perfumes/2327-swisa-ν
3955,2306-MASQ,,2306 masq ν,url_slug,https://leparfum.com.gr/en/niche-perfumes/2306-masq-ν
3938,2298-ELEC,,2298 elec ν,url_slug,https://leparfum.com.gr/en/niche-perfumes/2298-elec-ν
3929,2271-ROJ,,2271 roj ν,url_slug,https://leparfum.com.gr/en/niche-perfumes/2271-roj-ν
3924,2275-ROJ,,1819 - ROJA DOVE,description,https://leparfum.com.gr/en/niche-perfumes/2275-roj-ν
3921,1532-ROJ,,elysium pour homme parfum roja dove,url_slug,https://leparfum.com.gr/en/luxury-perfumes/elysium-pour-homme-parfum-roja-dove-inspired-perfume
3920,2270-ORMO,,ORMONDE JAYNE,description,https://leparfum.com.gr/en/niche-perfumes/2270-ormo-ν
3917,2284-HIS,,1889 moulin rouge histoires de parfums,url_slug,https://leparfum.com.gr/en/niche-perfumes/1889-moulin-rouge-histoires-de-parfums-inspired-perfume
3894,2263-NAS,,2263 nas ν,url_slug,https://leparfum.com.gr/en/niche-perfumes/2263-nas-ν
3840,2251-JOVP,,E - JOVOY PARIS,description,https://leparfum.com.gr/en/niche-perfumes/2251-jovp-ν
3827,2234-MON,,moncler pour femme,url_slug,https://leparfum.com.gr/en/fragrances-for-women/moncler-pour-femme-inspired-perfume
3808,2169-ROJ,,AMO - ROJA DOVE,description,https://leparfum.com.gr/en/niche-perfumes/2169-roj-ν
3805,2230-VAR,,dark rebel john varvatos,url_slug,https://leparfum.com.gr/en/fragrances-for-men/dark-rebel-john-varvatos-inspired-perfume
3804,,,hayati al haramain arabic,url_slug,https://leparfum.com.gr/en/niche-perfumes/hayati-al-haramain-arabic-perfume
3803,2219-AJMA,,amber wood ajmal arabic,url_slug,https://leparfum.com.gr/en/elegants-fragrances/amber-wood-ajmal-arabic-perfume
3799,2163-SNI,,dead dinosaur snif,url_slug,https://leparfum.com.gr/en/luxury-perfumes/dead-dinosaur-snif-inspired-perfume
3798,2202-ROJ,,BLU - ROJA DOVE,description,https://leparfum.com.gr/en/niche-perfumes/2202-roj-ν
3797,2209-MATIE,,crystal saffron matiere premiere,url_slug,https://leparfum.com.gr/en/fragrances-for-men/crystal-saffron-matiere-premiere-inspired-perfume
3791,2206-GIA,,2206 gia lux,url_slug,https://leparfum.com.gr/en/luxury-perfumes/2206-gia-lux
3784,2160-ZAR,,barbie zara,url_slug,https://leparfum.com.gr/en/fragrances-for-women/barbie-zara-inspired-perfume
3732,2194-ORT,,ORTO PARISI,description,https://leparfum.com.gr/en/niche-perfumes/2194-ort-ν
3686,2190-ROJ,,2190 roj ν,url_slug,https://leparfum.com.gr/en/niche-perfumes/2190-roj-ν
3672,2178-MON,,pour homme moncler,url_slug,https://leparfum.com.gr/en/elegants-fragrances/pour-homme-moncler-inspired-perfume
3645,,,sukar anfasic dokhoon arabic perfrume,url_slug,https://leparfum.com.gr/en/arabian-perfumes/sukar-anfasic-dokhoon-arabic-perfrume
3641,,,kashkha swiss arabian inspired perfrume,url_slug,https://leparfum.com.gr/en/arabian-perfumes/kashkha-swiss-arabian-inspired-perfrume
3600,2059-NARC,,2059 narc ν,url_slug,https://leparfum.com.gr/en/niche-perfumes/2059-narc-ν
3570,2137-ROJ,,2137 roj ν,url_slug,https://leparfum.com.gr/en/niche-perfumes/2137-roj-ν
3563,2136-PARF,,2136 parf ν,url_slug,https://leparfum.com.gr/en/niche-perfumes/2136-parf-ν
3538,2128-BEN,,we are tribe βενεττον,url_slug,https://leparfum.com.gr/en/fragrances-for-men/we-are-tribe-βενεττον-similar-fragrance
3494,2094-SHIS,,ever bloom wedding,url_slug,https://leparfum.com.gr/en/fragrances-for-women/ever-bloom-wedding-perfume
3485,,,Β683 - MARC ANTOINE BARROIS,description,https://leparfum.com.gr/en/niche-perfumes/2106-marc-ν
3471,2067-ROJ,,POUR FEMME ESSENCE DE PARFUM - ROJA,description,https://leparfum.com.gr/en/niche-perfumes/2067-roj-ν
3462,2065-FRA,,sugar franck boclet,url_slug,https://leparfum.com.gr/en/elegants-fragrances/sugar-franck-boclet-clone
3460,2044-LORV,,teint de neige lorenzo villoresi,url_slug,https://leparfum.com.gr/en/elegants-fragrances/teint-de-neige-lorenzo-villoresi-inspired
3451,2022-ANN,,lucky wish anna sui,url_slug,https://leparfum.com.gr/en/fragrances-for-women/lucky-wish-anna-sui-inspired-fragrance
3440,2021-ROJ,,apex men roja dove,url_slug,https://leparfum.com.gr/en/niche-perfumes/apex-men-roja-dove-similar-fragrance
3374,2016-PARELM,,D'AMOUR - PARFUMS D'ELMAR,description,https://leparfum.com.gr/en/niche-perfumes/2016-parelm-ν
3372,1926-KOS,,L'AMOUR - THOMAS KOSMALA,description,https://leparfum.com.gr/en/niche-perfumes/1926-kos-ν
3369,1988-THEVE,,THE MERCHANT OF VENICE,description,https://leparfum.com.gr/en/niche-perfumes/1988-theve-ν
3368,1987-SON,,le parfum sonia rykiel,url_slug,https://leparfum.com.gr/en/fragrances-for-women/le-parfum-sonia-rykiel-similar-fragrance
3367,1986-SOO,,1986 soo ν,url_slug,https://leparfum.com.gr/en/niche-perfumes/1986-soo-ν
3364,1958-DRC,,1958 drc mix 1838 tau,url_slug,https://leparfum.com.gr/en/layered-perfumes/1958-drc-mix-1838-tau
3362,1981-KHAL,,gra khaltat,url_slug,https://leparfum.com.gr/en/arabian-perfumes/gra-khaltat-similar-fragrance
