shobi_code,fragrantica_brand,fragrantica_perfume,fragrantica_id,fragrantica_url,verification_note
1245-PRA,Prada,Prada,1045,https://www.fragrantica.com/perfume/Prada/Prada-Amber--1045.html,Verified Fragrantica; original Prada Amber women 2004
1186-JOO,Joop!,Wow!,42887,https://www.fragrantica.com/perfume/Joop-/Wow--42887.html,Verified Fragrantica exact intended Joop WOW
1122-GFE,Gianfranco Ferre,In The Mood For Love,6530,https://www.fragrantica.com/perfume/Gianfranco-Ferre/In-The-Mood-For-Love-6530.html,Verified Fragrantica original women 2009
1073-DRC,Dior,Dior Homme Parfum,27417,https://www.fragrantica.com/perfume/Dior/Dior-Homme-Parfum-27417.html,Verified Fragrantica 2014 Parfum
1071-DRC,Dior,Ambre Nuit,7092,https://www.fragrantica.com/perfume/Dior/Ambre-Nuit-7092.html,Verified Fragrantica original 2009
1067-CHA,Chanel,Bleu de Chanel,9099,https://www.fragrantica.com/perfume/Chanel/Bleu-de-Chanel-9099.html,Verified Fragrantica original 2010
1041-BLG,Bvlgari,Bvlgari Pour Homme,143,https://www.fragrantica.com/perfume/Bvlgari/Bvlgari-Pour-Homme-143.html,Verified Fragrantica original 1996
1034-BLG,Bvlgari,Aqva Pour Homme,153,https://www.fragrantica.com/perfume/Bvlgari/Aqva-Pour-Homme-153.html,Verified Fragrantica original 2005
1026-BRB,Burberry,Burberry Brit for Men,1115,https://www.fragrantica.com/perfume/Burberry/Burberry-Brit-for-Men-1115.html,Verified Fragrantica men 2004
1021-BOG,Jacques Bogart,One Man Show,7795,https://www.fragrantica.com/perfume/Jacques-Bogart/One-Man-Show-7795.html,Verified Fragrantica exact title
