shobi_code,brand,perfume,fragrantica_id,fragrantica_url,verification_note
994-ZAD,Zadig Voltaire,This Is Her,39358,https://www.fragrantica.com/perfume/Zadig-Voltaire/This-is-Her-39358.html,Exact original This Is Her page
992-ZAD,Zadig Voltaire,Girls Can Do Anything,51198,https://www.fragrantica.com/perfume/Zadig-Voltaire/Girls-Can-Do-Anything-51198.html,Exact Fragrantica page
960-VICT,Victoria's Secret,LOVE ME - VICTORIA'S SECRET,29526,https://www.fragrantica.com/perfume/Victoria-s-Secret/Love-Me-29526.html,Exact Fragrantica page
958-VICT,Victoria s Secret,Fabulous-eau-de-,17699,https://www.fragrantica.com/perfume/Victoria-s-Secret/Fabulous-17699.html,Exact original Fabulous page
942-VERW,Vera Wang,Princess,1596,https://www.fragrantica.com/perfume/Vera-Wang/Princess-1596.html,Exact original Princess page
931-TRU,Trussardi,INSIDE,883,https://www.fragrantica.com/perfume/Trussardi/Trussardi-Inside-for-women-883.html,Women Trussardi Inside page matching catalog context
927-TOUZ,Tous,Rosa,17827,https://www.fragrantica.com/perfume/Tous/Rosa-17827.html,Exact original Tous Rosa page
923-TMU,mugler,notes AURA,45639,https://www.fragrantica.com/perfume/Mugler/Aura-Mugler-45639.html,Exact Aura Mugler 2017 page
916-SOF,Sofía Vergara,Love,31662,https://www.fragrantica.com/perfume/Sofia-Vergara/Love-31662.html,Exact Fragrantica page
915-SIS,Sisley,Izia,42935,https://www.fragrantica.com/perfume/Sisley/Izia-42935.html,Exact Fragrantica page
914-SIS,Sisley,Eau Tropicale,23324,https://www.fragrantica.com/perfume/Sisley/Eau-Tropicale-23324.html,Exact Fragrantica page
908-SFER,Salvatore Ferragamo,SIGNORINA MISTERIOSA - FERRAGAMO,32646,https://www.fragrantica.com/perfume/Salvatore-Ferragamo/Signorina-Misteriosa-32646.html,Exact Fragrantica page
907-SFER,Salvatore Ferragamo,SIGNORINA - FERRAGAMO,13639,https://www.fragrantica.com/perfume/Salvatore-Ferragamo/Signorina-13639.html,Original Signorina 2011 page
906-SFER,Salvatore Ferragamo,EMOZIONE - S.FERRAGAMO,28117,https://www.fragrantica.com/perfume/Salvatore-Ferragamo/Emozione-28117.html,Exact Fragrantica page
902-SALV,Salvador Dali,Dalissime,970,https://www.fragrantica.com/perfume/Salvador-Dali/Dalissime-970.html,Exact Fragrantica page
899-ROC,Rochas,MADEMOISSELE - ROCHAS,43205,https://www.fragrantica.com/perfume/Rochas/Mademoiselle-Rochas-43205.html,Original Mademoiselle Rochas 2017 page
898-ROC,Rochas,AQUA WOMAN - ROCHAS,1427,https://www.fragrantica.com/perfume/Rochas/Aquawoman-1427.html,Exact Aquawoman page
897-RCAV,Roberto Cavalli,Tiger Oud,22194,https://www.fragrantica.com/perfume/Roberto-Cavalli/Roberto-Cavalli-Tiger-Oud-22194.html,Exact Fragrantica page
895-RCAV,Roberto Cavalli,SERPENTINE - CAVALLI,837,https://www.fragrantica.com/perfume/Roberto-Cavalli/Serpentine-837.html,Exact Fragrantica page
