prestashop_product_id,shobi_code,original_brand,original_perfume,old_fragrantica_id,new_fragrantica_id,fragrantica_url,result,providers,note
5083,2816-MOOD,Mood London,Blonde Maracuja Mood London,,,,UNRESOLVED,bing-rss:0|ddg-html:0|bing:0,no candidates
4785,2723-LTN,Louis Vuitton,Rhapsody,,68359,https://www.fragrantica.com/perfume/Louis-Vuitton/Rhapsody-68359.html,FOUND,bing-rss:0|ddg-html:1|bing:0,accepted score=1.000 margin=1.000
4654,2698-SOL,Sol de Janeiro,Beijos-de-sol,,,,UNRESOLVED,bing-rss:0|ddg-html:0|bing:0,no candidates
4653,2692-SOL,Sol de Janeiro,Cheirosa-87-rio-radiance-tan-lines,,,,UNRESOLVED,bing-rss:0|ddg-html:0|bing:0,no candidates
4651,2691-SOL,Sol de Janeiro,Cheirosa-39-coco-cabana-cheirosa-39,,,,UNRESOLVED,bing-rss:0|ddg-html:0|bing:0,no candidates
4650,2700-BLG,Bvlgari,Le-gemme-amunae,,,,UNRESOLVED,bing-rss:0|ddg-html:0|bing:0,no candidates
4649,2696-AMG,Amouage,Decision,,,,UNRESOLVED,bing-rss:0|ddg-html:0|bing:0,no candidates
4648,2689-LAT,Lattafa,Khamrah Qahwa Lattafa Perfumes,,,,UNRESOLVED,bing-rss:0|ddg-html:0|bing:0,no candidates
4647,2690-NISH,Nishane,Oudous-lux-solis,,,,UNRESOLVED,bing-rss:0|ddg-html:0|bing:0,no candidates
4646,2699-RIT,Rituals,Ayurveda Rituals,,,,UNRESOLVED,bing-rss:0|ddg-html:0|bing:0,no candidates
4645,2697-RIT,Rituals,Karma Rituals,,,,UNRESOLVED,bing-rss:0|ddg-html:0|bing:0,no candidates
4644,2687-GRIT,Gritti,Mango-aoud,,,,UNRESOLVED,bing-rss:1|ddg-html:0|bing:0,weak best=0.370 brand=1.000 perfume=0.000 second=0.000
4642,2702-DIP,Diptyque,Chantilly,,,,UNRESOLVED,bing-rss:0|ddg-html:0|bing:0,no candidates
4640,2701-DIP,Diptyque,Cafe Verlet,,,,UNRESOLVED,bing-rss:0|ddg-html:0|bing:0,no candidates
4639,2686-GIV,Givenchy,L-interdit-tubereuse-noire,,,,UNRESOLVED,bing-rss:0|ddg-html:0|bing:0,no candidates
4638,2685-FRAG,Fragrance Du Bois,Rude-cherry,,,,UNRESOLVED,bing-rss:0|ddg-html:0|bing:0,no candidates
4637,2684-CLIV,Clive Christian,Jump Up And Kiss Me Hedonistic (2021) Clive Christian,,,,UNRESOLVED,bing-rss:0|ddg-html:0|bing:0,no candidates
4623,1654-ACQ,Acqua di Parma,Colonia 1916,,,,UNRESOLVED,bing-rss:0|ddg-html:0|bing:0,no candidates
4593,2683-CLIV,Clive Christian,E-cashmere-musk,,,,UNRESOLVED,bing-rss:0|ddg-html:0|bing:0,no candidates
4592,2682-BDIK,BDK Parfums,Gris Charnel Eau de Parfum,,,,UNRESOLVED,bing-rss:0|ddg-html:0|bing:0,no candidates
4591,2681-ARB,Arabian Oud,Madawi-40-years-gold-edition,,,,UNRESOLVED,bing-rss:0|ddg-html:0|bing:0,no candidates
4590,2680-AMG,Amouage,Outlands,,97924,https://www.fragrantica.com/perfume/Amouage/Outlands-97924.html,FOUND,bing-rss:1|ddg-html:0|bing:0,accepted score=1.000 margin=1.000
4579,2679-CAR,Carolina Herrera,La-bomba,,105931,https://www.fragrantica.com/perfume/Carolina-Herrera/La-Bomba-105931.html,FOUND,bing-rss:1|ddg-html:0|bing:0,accepted score=1.000 margin=1.000
4539,2678-PARF,Parfums de Marly,Palatine,,,,UNRESOLVED,bing-rss:0|ddg-html:0|bing:0,no candidates
4528,2618-TMFO,Tom Ford,Bois-pacifique,,100411,https://www.fragrantica.com/perfume/Tom-Ford/Bois-Pacifique-100411.html,FOUND,bing-rss:1|ddg-html:0|bing:0,accepted score=1.000 margin=1.000
4527,2674-MICA,Martine Micallef,Note Poudree,,,,UNRESOLVED,bing-rss:0|ddg-html:0|bing:0,no candidates
4526,2673-ARB,Arabian Oud,Al-fareed,,,,UNRESOLVED,bing-rss:0|ddg-html:0|bing:0,no candidates
4525,2672-MEM,memo-paris,Abu-dhabi,,,,UNRESOLVED,bing-rss:0|ddg-html:0|bing:0,no candidates
