fragrantica_id,rank,x0,x1,y0,y1,length,x0_frac,x1_frac,y_mid_frac,length_frac
74594,1,501,904,495,505,403,0.4175,0.7533,0.4167,0.3358
74594,2,501,903,525,535,402,0.4175,0.7525,0.4417,0.3350
74594,3,501,896,835,845,395,0.4175,0.7467,0.7000,0.3292
74594,4,501,896,855,865,395,0.4175,0.7467,0.7167,0.3292
74594,5,501,896,875,885,395,0.4175,0.7467,0.7333,0.3292
74594,6,579,904,505,515,325,0.4825,0.7533,0.4250,0.2708
74594,7,162,338,360,370,176,0.1350,0.2817,0.3042,0.1467
74594,8,162,338,380,390,176,0.1350,0.2817,0.3208,0.1467
74594,9,162,338,400,410,176,0.1350,0.2817,0.3375,0.1467
74594,10,162,338,420,430,176,0.1350,0.2817,0.3542,0.1467
74594,11,162,338,440,450,176,0.1350,0.2817,0.3708,0.1467
74594,12,162,337,460,470,175,0.1350,0.2808,0.3875,0.1458
74594,13,163,337,480,490,174,0.1358,0.2808,0.4042,0.1450
74594,14,163,337,500,510,174,0.1358,0.2808,0.4208,0.1450
74594,15,163,337,550,560,174,0.1358,0.2808,0.4625,0.1450
74594,16,163,337,570,580,174,0.1358,0.2808,0.4792,0.1450
11220,1,500,910,490,500,410,0.4167,0.7583,0.4125,0.3417
11220,2,500,910,510,520,410,0.4167,0.7583,0.4292,0.3417
11220,3,500,910,530,540,410,0.4167,0.7583,0.4458,0.3417
11220,4,501,824,835,845,323,0.4175,0.6867,0.7000,0.2692
11220,5,501,824,855,865,323,0.4175,0.6867,0.7167,0.2692
11220,6,501,824,875,885,323,0.4175,0.6867,0.7333,0.2692
11220,7,133,363,465,475,230,0.1108,0.3025,0.3917,0.1917
11220,8,132,362,495,505,230,0.1100,0.3017,0.4167,0.1917
11220,9,134,363,445,455,229,0.1117,0.3025,0.3750,0.1908
11220,10,133,360,515,525,227,0.1108,0.3000,0.4333,0.1892
11220,11,135,357,535,545,222,0.1125,0.2975,0.4500,0.1850
11220,12,138,358,365,375,220,0.1150,0.2983,0.3083,0.1833
11220,13,139,356,555,565,217,0.1158,0.2967,0.4667,0.1808
11220,14,188,354,565,575,166,0.1567,0.2950,0.4750,0.1383
11220,15,142,245,580,590,103,0.1183,0.2042,0.4875,0.0858
11220,16,500,601,1035,1045,101,0.4167,0.5008,0.8667,0.0842
80463,1,500,1042,365,375,542,0.4167,0.8683,0.3083,0.4517
80463,2,500,1042,395,405,542,0.4167,0.8683,0.3333,0.4517
80463,3,560,1042,390,400,482,0.4667,0.8683,0.3292,0.4017
80463,4,499,976,530,540,477,0.4158,0.8133,0.4458,0.3975
80463,5,500,976,490,500,476,0.4167,0.8133,0.4125,0.3967
80463,6,500,976,510,520,476,0.4167,0.8133,0.4292,0.3967
80463,7,501,765,835,845,264,0.4175,0.6375,0.7000,0.2200
80463,8,501,765,855,865,264,0.4175,0.6375,0.7167,0.2200
80463,9,501,765,875,885,264,0.4175,0.6375,0.7333,0.2200
80463,10,134,360,570,580,226,0.1117,0.3000,0.4792,0.1883
80463,11,142,367,520,530,225,0.1183,0.3058,0.4375,0.1875
80463,12,141,362,540,550,221,0.1175,0.3017,0.4542,0.1842
80463,13,143,363,470,480,220,0.1192,0.3025,0.3958,0.1833
80463,14,142,358,445,455,216,0.1183,0.2983,0.3750,0.1800
80463,15,143,358,370,380,215,0.1192,0.2983,0.3125,0.1792
80463,16,143,358,390,400,215,0.1192,0.2983,0.3292,0.1792
114442,1,500,951,840,850,451,0.4167,0.7925,0.7042,0.3758
114442,2,500,951,860,870,451,0.4167,0.7925,0.7208,0.3758
114442,3,503,951,880,890,448,0.4192,0.7925,0.7375,0.3733
114442,4,500,923,460,470,423,0.4167,0.7692,0.3875,0.3525
114442,5,500,922,430,440,422,0.4167,0.7683,0.3625,0.3517
114442,6,500,916,490,500,416,0.4167,0.7633,0.4125,0.3467
114442,7,500,916,510,520,416,0.4167,0.7633,0.4292,0.3467
114442,8,500,916,530,540,416,0.4167,0.7633,0.4458,0.3467
114442,9,592,927,370,380,335,0.4933,0.7725,0.3125,0.2792
114442,10,607,927,395,405,320,0.5058,0.7725,0.3333,0.2667
114442,11,687,914,400,410,227,0.5725,0.7617,0.3375,0.1892
114442,12,500,640,1085,1095,140,0.4167,0.5333,0.9083,0.1167
114442,13,500,640,1105,1115,140,0.4167,0.5333,0.9250,0.1167
114442,14,500,640,1125,1135,140,0.4167,0.5333,0.9417,0.1167
114442,15,816,926,1050,1060,110,0.6800,0.7717,0.8792,0.0917
114442,16,816,925,1010,1020,109,0.6800,0.7708,0.8458,0.0908
117589,1,502,1007,365,375,505,0.4183,0.8392,0.3083,0.4208
117589,2,502,1007,395,405,505,0.4183,0.8392,0.3333,0.4208
117589,3,501,971,430,440,470,0.4175,0.8092,0.3625,0.3917
117589,4,501,971,460,470,470,0.4175,0.8092,0.3875,0.3917
117589,5,548,1007,375,385,459,0.4567,0.8392,0.3167,0.3825
117589,6,573,971,440,450,398,0.4775,0.8092,0.3708,0.3317
117589,7,500,876,835,845,376,0.4167,0.7300,0.7000,0.3133
117589,8,500,876,855,865,376,0.4167,0.7300,0.7167,0.3133
117589,9,501,876,875,885,375,0.4175,0.7300,0.7333,0.3125
117589,10,209,363,600,610,154,0.1742,0.3025,0.5042,0.1283
117589,11,500,606,1010,1020,106,0.4167,0.5050,0.8458,0.0883
117589,12,500,606,1030,1040,106,0.4167,0.5050,0.8625,0.0883
117589,13,500,606,1050,1060,106,0.4167,0.5050,0.8792,0.0883
117589,14,198,284,1000,1010,86,0.1650,0.2367,0.8375,0.0717
117589,15,199,281,975,985,82,0.1658,0.2342,0.8167,0.0683
117589,16,816,892,1010,1020,76,0.6800,0.7433,0.8458,0.0633
10802,1,500,1024,400,410,524,0.4167,0.8533,0.3375,0.4367
10802,2,500,1023,360,370,523,0.4167,0.8525,0.3042,0.4358
10802,3,500,1023,380,390,523,0.4167,0.8525,0.3208,0.4358
10802,4,500,999,430,440,499,0.4167,0.8325,0.3625,0.4158
10802,5,500,999,450,460,499,0.4167,0.8325,0.3792,0.4158
10802,6,500,996,490,500,496,0.4167,0.8300,0.4125,0.4133
10802,7,500,996,510,520,496,0.4167,0.8300,0.4292,0.4133
10802,8,500,996,530,540,496,0.4167,0.8300,0.4458,0.4133
10802,9,502,997,470,480,495,0.4183,0.8308,0.3958,0.4125
10802,10,500,808,840,850,308,0.4167,0.6733,0.7042,0.2567
10802,11,500,808,860,870,308,0.4167,0.6733,0.7208,0.2567
10802,12,503,810,880,890,307,0.4192,0.6750,0.7375,0.2558
10802,13,816,910,1015,1025,94,0.6800,0.7583,0.8500,0.0783
10802,14,816,910,1045,1055,94,0.6800,0.7583,0.8750,0.0783
10802,15,199,291,520,530,92,0.1658,0.2425,0.4375,0.0767
10802,16,314,400,815,825,86,0.2617,0.3333,0.6833,0.0717
7848,1,500,996,360,370,496,0.4167,0.8300,0.3042,0.4133
7848,2,500,996,380,390,496,0.4167,0.8300,0.3208,0.4133
7848,3,500,996,400,410,496,0.4167,0.8300,0.3375,0.4133
7848,4,501,954,430,440,453,0.4175,0.7950,0.3625,0.3775
7848,5,501,953,460,470,452,0.4175,0.7942,0.3875,0.3767
7848,6,500,921,495,505,421,0.4167,0.7675,0.4167,0.3508
7848,7,500,921,525,535,421,0.4167,0.7675,0.4417,0.3508
7848,8,573,954,440,450,381,0.4775,0.7950,0.3708,0.3175
7848,9,603,921,515,525,318,0.5025,0.7675,0.4333,0.2650
7848,10,501,800,835,845,299,0.4175,0.6667,0.7000,0.2492
7848,11,501,800,855,865,299,0.4175,0.6667,0.7167,0.2492
7848,12,502,800,875,885,298,0.4183,0.6667,0.7333,0.2483
7848,13,816,939,1105,1115,123,0.6800,0.7825,0.9250,0.1025
7848,14,816,938,1085,1095,122,0.6800,0.7817,0.9083,0.1017
7848,15,816,938,1125,1135,122,0.6800,0.7817,0.9417,0.1017
7848,16,500,612,1010,1020,112,0.4167,0.5100,0.8458,0.0933
117345,1,501,960,860,870,459,0.4175,0.8000,0.7208,0.3825
117345,2,500,958,840,850,458,0.4167,0.7983,0.7042,0.3817
117345,3,503,960,880,890,457,0.4192,0.8000,0.7375,0.3808
117345,4,500,912,360,370,412,0.4167,0.7600,0.3042,0.3433
117345,5,500,912,380,390,412,0.4167,0.7600,0.3208,0.3433
117345,6,500,912,400,410,412,0.4167,0.7600,0.3375,0.3433
117345,7,500,863,490,500,363,0.4167,0.7192,0.4125,0.3025
117345,8,500,863,510,520,363,0.4167,0.7192,0.4292,0.3025
117345,9,500,863,530,540,363,0.4167,0.7192,0.4458,0.3025
117345,10,197,302,605,615,105,0.1642,0.2517,0.5083,0.0875
117345,11,816,913,1015,1025,97,0.6800,0.7608,0.8500,0.0808
117345,12,816,913,1045,1055,97,0.6800,0.7608,0.8750,0.0808
117345,13,318,404,850,860,86,0.2650,0.3367,0.7125,0.0717
117345,14,816,892,1085,1095,76,0.6800,0.7433,0.9083,0.0633
117345,15,816,892,1105,1115,76,0.6800,0.7433,0.9250,0.0633
117345,16,816,892,1125,1135,76,0.6800,0.7433,0.9417,0.0633
117347,1,500,1003,365,375,503,0.4167,0.8358,0.3083,0.4192
117347,2,500,1003,385,395,503,0.4167,0.8358,0.3250,0.4192
117347,3,500,1002,405,415,502,0.4167,0.8350,0.3417,0.4183
117347,4,499,973,460,470,474,0.4158,0.8108,0.3875,0.3950
117347,5,500,973,425,435,473,0.4167,0.8108,0.3583,0.3942
117347,6,500,967,495,505,467,0.4167,0.8058,0.4167,0.3892
117347,7,500,967,515,525,467,0.4167,0.8058,0.4333,0.3892
117347,8,500,965,535,545,465,0.4167,0.8042,0.4500,0.3875
117347,9,500,840,840,850,340,0.4167,0.7000,0.7042,0.2833
117347,10,501,840,860,870,339,0.4175,0.7000,0.7208,0.2825
117347,11,503,840,880,890,337,0.4192,0.7000,0.7375,0.2808
117347,12,183,316,430,440,133,0.1525,0.2633,0.3625,0.1108
117347,13,183,316,460,470,133,0.1525,0.2633,0.3875,0.1108
117347,14,183,316,555,565,133,0.1525,0.2633,0.4667,0.1108
117347,15,184,316,365,375,132,0.1533,0.2633,0.3083,0.1100
117347,16,184,316,385,395,132,0.1533,0.2633,0.3250,0.1100
117346,1,501,915,365,375,414,0.4175,0.7625,0.3083,0.3450
117346,2,501,915,395,405,414,0.4175,0.7625,0.3333,0.3450
117346,3,573,915,380,390,342,0.4775,0.7625,0.3208,0.2850
117346,4,500,810,490,500,310,0.4167,0.6750,0.4125,0.2583
117346,5,500,810,510,520,310,0.4167,0.6750,0.4292,0.2583
117346,6,500,810,530,540,310,0.4167,0.6750,0.4458,0.2583
117346,7,500,806,840,850,306,0.4167,0.6717,0.7042,0.2550
117346,8,501,804,860,870,303,0.4175,0.6700,0.7208,0.2525
117346,9,503,804,880,890,301,0.4192,0.6700,0.7375,0.2508
117346,10,816,957,1110,1120,141,0.6800,0.7975,0.9292,0.1175
117346,11,500,640,1010,1020,140,0.4167,0.5333,0.8458,0.1167
117346,12,500,640,1030,1040,140,0.4167,0.5333,0.8625,0.1167
117346,13,500,640,1050,1060,140,0.4167,0.5333,0.8792,0.1167
117346,14,816,956,1085,1095,140,0.6800,0.7967,0.9083,0.1167
117346,15,816,956,1130,1140,140,0.6800,0.7967,0.9458,0.1167
117346,16,182,317,525,535,135,0.1517,0.2642,0.4417,0.1125
113627,1,500,923,860,870,423,0.4167,0.7692,0.7208,0.3525
113627,2,500,923,880,890,423,0.4167,0.7692,0.7375,0.3525
113627,3,500,860,495,505,360,0.4167,0.7167,0.4167,0.3000
113627,4,500,860,515,525,360,0.4167,0.7167,0.4333,0.3000
113627,5,500,858,535,545,358,0.4167,0.7150,0.4500,0.2983
113627,6,162,312,575,585,150,0.1350,0.2600,0.4833,0.1250
113627,7,168,312,595,605,144,0.1400,0.2600,0.5000,0.1200
113627,8,174,312,500,510,138,0.1450,0.2600,0.4208,0.1150
113627,9,176,312,520,530,136,0.1467,0.2600,0.4375,0.1133
113627,10,176,310,455,465,134,0.1467,0.2583,0.3833,0.1117
113627,11,192,310,540,550,118,0.1600,0.2583,0.4542,0.0983
113627,12,176,281,425,435,105,0.1467,0.2342,0.3583,0.0875
113627,13,816,910,1025,1035,94,0.6800,0.7583,0.8583,0.0783
113627,14,816,910,1060,1070,94,0.6800,0.7583,0.8875,0.0783
113627,15,202,291,390,400,89,0.1683,0.2425,0.3292,0.0742
113627,16,332,418,1005,1015,86,0.2767,0.3483,0.8417,0.0717
113626,1,499,1099,400,410,600,0.4158,0.9158,0.3375,0.5000
113626,2,500,1098,360,370,598,0.4167,0.9150,0.3042,0.4983
113626,3,499,1090,430,440,591,0.4158,0.9083,0.3625,0.4925
113626,4,499,1090,450,460,591,0.4158,0.9083,0.3792,0.4925
113626,5,500,1089,470,480,589,0.4167,0.9075,0.3958,0.4908
113626,6,501,1026,495,505,525,0.4175,0.8550,0.4167,0.4375
113626,7,501,1025,525,535,524,0.4175,0.8542,0.4417,0.4367
113626,8,579,1026,505,515,447,0.4825,0.8550,0.4250,0.3725
113626,9,501,853,835,845,352,0.4175,0.7108,0.7000,0.2933
113626,10,501,853,855,865,352,0.4175,0.7108,0.7167,0.2933
113626,11,502,853,875,885,351,0.4183,0.7108,0.7333,0.2925
113626,12,163,320,565,575,157,0.1358,0.2667,0.4750,0.1308
113626,13,172,324,610,620,152,0.1433,0.2700,0.5125,0.1267
113626,14,169,318,510,520,149,0.1408,0.2650,0.4292,0.1242
113626,15,189,312,395,405,123,0.1575,0.2600,0.3333,0.1025
113626,16,816,928,1015,1025,112,0.6800,0.7733,0.8500,0.0933
121453,1,500,967,360,370,467,0.4167,0.8058,0.3042,0.3892
121453,2,500,967,380,390,467,0.4167,0.8058,0.3208,0.3892
121453,3,500,967,400,410,467,0.4167,0.8058,0.3375,0.3892
121453,4,499,901,465,475,402,0.4158,0.7508,0.3917,0.3350
121453,5,500,900,425,435,400,0.4167,0.7500,0.3583,0.3333
121453,6,500,880,490,500,380,0.4167,0.7333,0.4125,0.3167
121453,7,500,880,510,520,380,0.4167,0.7333,0.4292,0.3167
121453,8,500,880,530,540,380,0.4167,0.7333,0.4458,0.3167
121453,9,120,386,375,385,266,0.1000,0.3217,0.3167,0.2217
121453,10,126,372,405,415,246,0.1050,0.3100,0.3417,0.2050
121453,11,129,371,435,445,242,0.1075,0.3092,0.3667,0.2017
121453,12,131,371,455,465,240,0.1092,0.3092,0.3833,0.2000
121453,13,132,370,475,485,238,0.1100,0.3083,0.4000,0.1983
121453,14,133,367,495,505,234,0.1108,0.3058,0.4167,0.1950
121453,15,135,364,515,525,229,0.1125,0.3033,0.4333,0.1908
121453,16,500,706,840,850,206,0.4167,0.5883,0.7042,0.1717
90972,1,500,1015,360,370,515,0.4167,0.8458,0.3042,0.4292
90972,2,500,1015,380,390,515,0.4167,0.8458,0.3208,0.4292
90972,3,500,1015,400,410,515,0.4167,0.8458,0.3375,0.4292
90972,4,501,728,835,845,227,0.4175,0.6067,0.7000,0.1892
90972,5,501,728,855,865,227,0.4175,0.6067,0.7167,0.1892
90972,6,501,728,875,885,227,0.4175,0.6067,0.7333,0.1892
90972,7,500,620,1010,1020,120,0.4167,0.5167,0.8458,0.1000
90972,8,500,620,1030,1040,120,0.4167,0.5167,0.8625,0.1000
90972,9,500,620,1050,1060,120,0.4167,0.5167,0.8792,0.1000
90972,10,816,933,1110,1120,117,0.6800,0.7775,0.9292,0.0975
90972,11,816,932,1085,1095,116,0.6800,0.7767,0.9083,0.0967
90972,12,816,932,1130,1140,116,0.6800,0.7767,0.9458,0.0967
90972,13,327,413,980,990,86,0.2725,0.3442,0.8208,0.0717
90972,14,328,413,1000,1010,85,0.2733,0.3442,0.8375,0.0708
90972,15,343,413,1020,1030,70,0.2858,0.3442,0.8542,0.0583
90972,16,352,402,880,890,50,0.2933,0.3350,0.7375,0.0417
102810,1,500,1038,365,375,538,0.4167,0.8650,0.3083,0.4483
102810,2,500,1038,395,405,538,0.4167,0.8650,0.3333,0.4483
102810,3,567,1038,375,385,471,0.4725,0.8650,0.3167,0.3925
102810,4,499,940,460,470,441,0.4158,0.7833,0.3875,0.3675
102810,5,500,940,425,435,440,0.4167,0.7833,0.3583,0.3667
102810,6,500,904,490,500,404,0.4167,0.7533,0.4125,0.3367
102810,7,500,904,510,520,404,0.4167,0.7533,0.4292,0.3367
102810,8,500,904,530,540,404,0.4167,0.7533,0.4458,0.3367
102810,9,138,362,360,370,224,0.1150,0.3017,0.3042,0.1867
102810,10,500,724,880,890,224,0.4167,0.6033,0.7375,0.1867
102810,11,138,361,380,390,223,0.1150,0.3008,0.3208,0.1858
102810,12,138,361,400,410,223,0.1150,0.3008,0.3375,0.1858
102810,13,138,361,420,430,223,0.1150,0.3008,0.3542,0.1858
102810,14,501,724,845,855,223,0.4175,0.6033,0.7083,0.1858
102810,15,138,360,440,450,222,0.1150,0.3000,0.3708,0.1850
102810,16,138,360,460,470,222,0.1150,0.3000,0.3875,0.1850
116626,1,499,1019,395,405,520,0.4158,0.8492,0.3333,0.4333
116626,2,500,1018,360,370,518,0.4167,0.8483,0.3042,0.4317
116626,3,500,963,425,435,463,0.4167,0.8025,0.3583,0.3858
116626,4,500,963,445,455,463,0.4167,0.8025,0.3750,0.3858
116626,5,500,963,465,475,463,0.4167,0.8025,0.3917,0.3858
116626,6,499,945,490,500,446,0.4158,0.7875,0.4125,0.3717
116626,7,499,945,510,520,446,0.4158,0.7875,0.4292,0.3717
116626,8,499,945,530,540,446,0.4158,0.7875,0.4458,0.3717
116626,9,501,754,835,845,253,0.4175,0.6283,0.7000,0.2108
116626,10,501,754,855,865,253,0.4175,0.6283,0.7167,0.2108
116626,11,502,754,875,885,252,0.4183,0.6283,0.7333,0.2100
116626,12,816,922,1085,1095,106,0.6800,0.7683,0.9083,0.0883
