prestashop_product_id,shobi_code,shobi_name,reference,reference_prefix,inspired_by,category,price_from_eur,official_description,url,first_seen,last_seen,status,classification_rule,source,source_row,esito_revisione,livello_verifica,nome_recuperato,search_query_revisionata,nome_abbinato,marchio_abbinato,url_parfumo_abbinato,nome_proposto,marchio_proposto,url_proposto,motivazione_revisione,fonti_revisione,numero_candidati,data_revisione
5117,2849-STE,2849-STE N,AR612,AR,HARRODS RUBY NAGA,Niche Perfumes,15.0,"2849-STE Inspired by the fragrance notes of HARRODS RUBY NAGA. Unisex perfume with fruity, floral, sweet, vanilla and amber notes.",https://leparfum.com.gr/en/niche-perfumes/2849-ste-n,2026-08-20,2026-08-20,ACTIVE,Choose+Bottle+Extra Essence,SHOBI_LIVE_SHOW_ALL,1,match corretto,verifica mirata delle fonti,,HARRODS RUBY NAGA,Ruby Naga,Stéphane Humbert Lucas,https://www.parfumo.com/Perfumes/Stephane_Humbert_Lucas/ruby-naga,,,,Harrods è il distributore esclusivo: la scheda Ruby Naga (2022) identifica lo stesso profumo.,https://leparfum.com.gr/en/niche-perfumes/2849-ste-n | https://www.fragrantica.com/perfume/Stephane-Humbert-Lucas-777/Harrods-Ruby-Naga-74594.html | https://www.parfumo.com/Perfumes/Stephane_Humbert_Lucas/ruby-naga | https://www.parfumo.com/Perfumes/Montale/rendez-vous-chez-harrods | https://www.parfumo.com/Perfumes/Widian/london-harrods-exclusive | https://www.parfumo.com/Perfumes/casamorati/harrods | https://www.parfumo.com/Perfumes/Roja_Parfums/harrods-pour-homme | https://www.parfumo.com/Perfumes/Roja_Parfums/harrods-aoud,8,2026-09-03
5116,2848-PRFRO,2848-PRFRO N,AR611,AR,VANITAS,Niche Perfumes,15.0,"2848-PRFRO Inspired by the fragrance notes of VANITAS. Unisex perfume with vanilla, sweet, balsamic, floral and woody notes.",https://leparfum.com.gr/en/niche-perfumes/2848-prfro-n,2026-08-20,2026-08-20,ACTIVE,Choose+Bottle+Extra Essence,SHOBI_LIVE_SHOW_ALL,2,match corretto,corrispondenza testuale su candidati originali,,VANITAS,Vanitas,Profumum Roma,https://www.parfumo.com/Perfumes/Profumum_Roma/Vanitas,,,,"Nome coincidente dopo normalizzazione di accenti e punteggiatura; marchio coerente con il codice Shobi PRFRO. Associazione del codice desunta dalle altre righe del catalogo, Non verificata online per questa riga.",https://leparfum.com.gr/en/niche-perfumes/2848-prfro-n | https://www.parfumo.com/Perfumes/Profumum_Roma/Vanitas,10,2026-09-03
5115,2847-NISH,2847-NISH N,AR610,AR,HUNDRED SILENT WAYS X,Niche Perfumes,15.0,"2847-NISH Inspired by the fragrance notes of HUNDRED SILENT WAYS X. Unisex perfume with floral, gourmand, leathery, vanilla and fruity notes.",https://leparfum.com.gr/en/niche-perfumes/2847-nish-n,2026-08-20,2026-08-20,ACTIVE,Choose+Bottle+Extra Essence,SHOBI_LIVE_SHOW_ALL,3,match corretto,corrispondenza testuale su candidati originali,,HUNDRED SILENT WAYS X,Hundred-silent-ways-x,Nishane,https://www.parfumo.com/Perfumes/Nishane/hundred-silent-ways-x,,,,"Nome coincidente dopo normalizzazione di accenti e punteggiatura; marchio coerente con il codice Shobi NISH. Associazione del codice desunta dalle altre righe del catalogo, Non verificata online per questa riga.",https://leparfum.com.gr/en/niche-perfumes/2847-nish-n | https://www.parfumo.com/Perfumes/Nishane/hundred-silent-ways-x,1,2026-09-03
5114,2846-MIN,2846-MIN N,AR609,AR,COUNTER PLAY,Niche Perfumes,15.0,"2846-MIN Inspired by the fragrance notes of COUNTER PLAY. Unisex perfume with fruity, tropical, floral, woody and sweet notes.",https://leparfum.com.gr/en/niche-perfumes/2846-min-n,2026-08-20,2026-08-20,ACTIVE,Choose+Bottle+Extra Essence,SHOBI_LIVE_SHOW_ALL,4,match corretto,verifica mirata delle fonti,,COUNTER PLAY,Counterplay,Mind Games,https://www.parfumo.com/Perfumes/mind-games/counterplay,,,,"Counter Play è scritto separato nella ricerca; nome catalogato Counterplay, marchio coerente.",https://leparfum.com.gr/en/niche-perfumes/2846-min-n | https://www.parfumo.com/Perfumes/mind-games/counterplay | https://www.parfumo.com/Perfumes/mind-games/en-prise | https://www.parfumo.com/Perfumes/mind-games/playmate | https://www.parfumo.com/Perfumes/mind-games/checkmate | https://www.parfumo.com/Perfumes/mind-games/blockade | https://www.parfumo.com/Perfumes/mind-games/the-forward,9,2026-09-03
5113,2845-LUS,2845-LUS,EL473,EL,WE BELIEVE IN GLINDA,Elegants Fragrances,10.0,"2845-LUS Inspired by the fragrance notes of WE BELIEVE IN GLINDA. Unisex perfume with powdery, floral, violet, vanilla and almond notes.",https://leparfum.com.gr/en/elegants-fragrances/2845-lus,2026-08-20,2026-08-20,ACTIVE,Choose+Bottle+Extra Essence,SHOBI_LIVE_SHOW_ALL,5,match corretto,corrispondenza testuale su candidati originali,,WE BELIEVE IN GLINDA,We-believe-in-glinda,Lush,https://www.parfumo.com/Perfumes/Lush/we-believe-in-glinda,,,,"Nome coincidente dopo normalizzazione di accenti e punteggiatura; marchio coerente con il codice Shobi LUS. Associazione del codice desunta dalle altre righe del catalogo, Non verificata online per questa riga.",https://leparfum.com.gr/en/elegants-fragrances/2845-lus | https://www.parfumo.com/Perfumes/Lush/we-believe-in-glinda,1,2026-09-03
5112,2844-LUS,2844-LUS,EL472,EL,BLACK PEARL,Elegants Fragrances,10.0,"2844-LUS Inspired by the fragrance notes of BLACK PEARL. Unisex perfume with aromatic, herbal, floral, resinous and amber notes.",https://leparfum.com.gr/en/elegants-fragrances/2844-lus,2026-08-20,2026-08-20,ACTIVE,Choose+Bottle+Extra Essence,SHOBI_LIVE_SHOW_ALL,6,match corretto,corrispondenza testuale su candidati originali,,BLACK PEARL,Black Pearl,Lush,https://www.parfumo.com/Perfumes/Lush/Black_Pearl,,,,"Nome coincidente dopo normalizzazione di accenti e punteggiatura; marchio coerente con il codice Shobi LUS. Associazione del codice desunta dalle altre righe del catalogo, Non verificata online per questa riga.",https://leparfum.com.gr/en/elegants-fragrances/2844-lus | https://www.parfumo.com/Perfumes/Lush/Black_Pearl,10,2026-09-03
5111,2843-LEL,2843-LEL N,AR608,AR,LABDANUM 18,Niche Perfumes,15.0,"2843-LEL Inspired by the fragrance notes of LABDANUM 18. Unisex perfume with amber, musky, resinous, vanilla and warm spicy notes.",https://leparfum.com.gr/en/niche-perfumes/2843-lel-n,2026-08-20,2026-08-20,ACTIVE,Choose+Bottle+Extra Essence,SHOBI_LIVE_SHOW_ALL,7,match corretto,verifica web mirata,,LABDANUM 18,Labdanum 18,Le Labo,https://www.lelabofragrances.com/labdanum-18.html,,,,Match approvato dopo verifica mirata della denominazione e del marchio su fonte esterna autorevole.,https://leparfum.com.gr/en/niche-perfumes/2843-lel-n | https://www.lelabofragrances.com/labdanum-18.html,4,2026-09-03
5110,2842-KYLJ,2842-KYLJ W,WP883,WP,VANILLA DEW,Fragrances For Women,9.0,"2842-KYLJ Inspired by the fragrance notes of VANILLA DEW. Women's perfume with creamy, vanilla, milky, floral and almond notes.",https://leparfum.com.gr/en/fragrances-for-women/2842-kylj-w,2026-08-20,2026-08-20,ACTIVE,Choose+Bottle+Extra Essence,SHOBI_LIVE_SHOW_ALL,8,match corretto,corrispondenza testuale su candidati originali,,VANILLA DEW,Vanilla-dew,kylie-cosmetics,https://www.parfumo.com/Perfumes/kylie-cosmetics/vanilla-dew,,,,"Nome coincidente dopo normalizzazione di accenti e punteggiatura; marchio coerente con il codice Shobi KYLJ. Associazione del codice desunta dalle altre righe del catalogo, Non verificata online per questa riga.",https://leparfum.com.gr/en/fragrances-for-women/2842-kylj-w | https://www.parfumo.com/Perfumes/kylie-cosmetics/vanilla-dew,3,2026-09-03
5109,2841-KYLJ,2841-KYLJ W,WP882,WP,SWEET ECLAIRE,Fragrances For Women,9.0,"2841-KYLJ Inspired by the fragrance notes of SWEET ECLAIRE. Women's perfume with gourmand, chocolate, vanilla, sweet and woody amber notes.",https://leparfum.com.gr/en/fragrances-for-women/2841-kylj-w,2026-08-20,2026-08-20,ACTIVE,Choose+Bottle+Extra Essence,SHOBI_LIVE_SHOW_ALL,9,match corretto,Shobi + codice marchio corroborato da testo esplicito,,SWEET ECLAIRE,SWEET ECLAIRE,Kylie Jenner,,,,,Nome ricavato dalla scheda Shobi; marchio corroborato da altre righe dello stesso codice in cui il brand è scritto esplicitamente.,https://leparfum.com.gr/en/fragrances-for-women/2841-kylj-w | https://www.parfumo.com/Perfumes/Lattafa/eclaire | https://www.parfumo.com/Perfumes/Lattafa/eclaire-banoffi | https://www.parfumo.com/Perfumes/kylie-cosmetics/sweet-eclair | https://www.parfumo.com/Perfumes/Lattafa/eclaire-pistache | https://www.parfumo.com/Perfumes/Lattafa/eclaire-perfume-mist | https://www.parfumo.com/Perfumes/somens/eclair,12,2026-09-03
5108,2840-KYLJ,2840-KYLJ W,WP881,WP,CARAMEL CLOUD,Fragrances For Women,9.0,"2840-KYLJ Inspired by the fragrance notes of CARAMEL CLOUD. Women's perfume with gourmand, caramel, vanilla, nutty and sweet notes.",https://leparfum.com.gr/en/fragrances-for-women/2840-kylj-w,2026-08-20,2026-08-20,ACTIVE,Choose+Bottle+Extra Essence,SHOBI_LIVE_SHOW_ALL,10,match corretto,corrispondenza testuale su candidati originali,,CARAMEL CLOUD,Caramel-cloud,kylie-cosmetics,https://www.parfumo.com/Perfumes/kylie-cosmetics/caramel-cloud,,,,"Nome coincidente dopo normalizzazione di accenti e punteggiatura; marchio coerente con il codice Shobi KYLJ. Associazione del codice desunta dalle altre righe del catalogo, Non verificata online per questa riga.",https://leparfum.com.gr/en/fragrances-for-women/2840-kylj-w | https://www.parfumo.com/Perfumes/kylie-cosmetics/caramel-cloud,4,2026-09-03
