prestashop_product_id,shobi_code,inspired_by,code_suffix,inferred_brand,status,match_type,score,candidate_count,fragrantica_brand,fragrantica_perfume,fragrantica_id,fragrantica_url,note
3957,2314-CAR,UNDER THE SEA WOMAN,CAR,Carolina Herrera,AMBIGUOUS,TOKEN_MULTIPLE_CANDIDATES,0.9760,2,,,,,
3956,2310-CAR,UNDER THE SEA MAN,CAR,Carolina Herrera,AMBIGUOUS,TOKEN_MULTIPLE_CANDIDATES,0.9760,2,,,,,
3117,1998-LTN,Citrus,LTN,,AMBIGUOUS,EXACT_NAME_MULTIPLE_CANDIDATES,,3,,,,,
1949,130-LEL,SANTAL 26 - LE LABO,LEL,Le Labo,AMBIGUOUS,EXACT_NAME_MULTIPLE_CANDIDATES,,4,,,,,
1882,1090-COS,costume national,COS,CoSTUME NATIONAL,AMBIGUOUS,TOKEN_MULTIPLE_CANDIDATES,0.9560,3,,,,,
1781,408-BAT,WARM VANILLA SUGAR,BAT,Bath Body Works,AMBIGUOUS,EXACT_BRAND_NAME_MULTIPLE_IDS,,2,,,,,
1125,222-DIP,AMBRE,DIP,Diptyque,AMBIGUOUS,EXACT_NAME_MULTIPLE_CANDIDATES,,4,,,,,
999,,white musk,,Al Haramain Perfumes,AMBIGUOUS,EXACT_NAME_MULTIPLE_CANDIDATES,,11,,,,,
995,965-VICT,notes ofSEXY LITTLE THINGS-NOIR TEASE TEMPTATION - VICTORIA'S SECRET,VICT,Victoria s Secret,AMBIGUOUS,FUZZY_MULTIPLE_CANDIDATES,0.9091,2,,,,,
762,692-GUR,SAMSARA - GUERLAIN,GUR,Guerlain,AMBIGUOUS,CONCENTRATION_MULTIPLE_IDS,,4,,,,,
750,674-GUC,Bamboo,GUC,Gucci,AMBIGUOUS,EXACT_NAME_MULTIPLE_CANDIDATES,,2,,,,,
707,624-EST,INTUITION - ESTEE LAUDER,EST,Estee Lauder,AMBIGUOUS,EXACT_COMBINED_MULTIPLE_IDS,,2,,,,,
660,571-DAV,woman cool water davidoff,DAV,Davidoff,AMBIGUOUS,TOKEN_MULTIPLE_CANDIDATES,0.9560,11,,,,,
627,534-DRC,MISS,DRC,Dior,AMBIGUOUS,EXACT_NAME_MULTIPLE_CANDIDATES,,3,,,,,
597,502-CHA,No 5,CHA,Chanel,AMBIGUOUS,EXACT_NAME_MULTIPLE_CANDIDATES,,2,,,,,
592,497-CHA,CHANCE,CHA,Chanel,AMBIGUOUS,CONCENTRATION_MULTIPLE_IDS,,2,,,,,
269,1182-JIM,jimmy choo man,JIM,Jimmy Choo,AMBIGUOUS,EXACT_BRAND_NAME_MULTIPLE_IDS,,2,,,,,
227,1136-ARM,STRONGER WITH YOU,ARM,Giorgio Armani,AMBIGUOUS,TOKEN_MULTIPLE_CANDIDATES,0.9760,13,,,,,
216,1123-ARM,ACQUA DI GIO,ARM,Giorgio Armani,AMBIGUOUS,EXACT_BRAND_NAME_MULTIPLE_IDS,,2,,,,,
193,1102-DAV,man cool water davidoff,DAV,Davidoff,AMBIGUOUS,TOKEN_MULTIPLE_CANDIDATES,0.9560,6,,,,,
157,1060-CRT,L'ENVOL DE CARTIER,CRT,Cartier,AMBIGUOUS,CONCENTRATION_MULTIPLE_IDS,,2,,,,,
