shobi_code,brand,perfume,result,fragrantica_id,fragrantica_url,candidate_brand,candidate_perfume,score,provider,note
2816-MOOD,Mood London,Blonde Maracuja Mood London,UNRESOLVED,,,,,,fragrantica-search:ERR:HTTPError|bing-rss:0|bing:0,no candidates
2692-SOL,Sol de Janeiro,Cheirosa-87-rio-radiance-tan-lines,UNRESOLVED,,,,,,fragrantica-search:ERR:HTTPError|bing-rss:0|bing:0,no candidates
2699-RIT,Rituals,Ayurveda Rituals,UNRESOLVED,,,,,,fragrantica-search:ERR:HTTPError|bing-rss:0|bing:0,no candidates
2697-RIT,Rituals,Karma Rituals,UNRESOLVED,,,,,,fragrantica-search:ERR:HTTPError|bing-rss:0|bing:0,no candidates
2687-GRIT,Gritti,Mango-aoud,UNRESOLVED,,,,,,fragrantica-search:ERR:HTTPError|bing-rss:0|bing:0,no candidates
2701-DIP,Diptyque,Cafe Verlet,UNRESOLVED,,,,,,fragrantica-search:ERR:HTTPError|bing-rss:0|bing:0,no candidates
2685-FRAG,Fragrance Du Bois,Rude-cherry,UNRESOLVED,,,,,,fragrantica-search:ERR:HTTPError|bing-rss:0|bing:0,no candidates
1654-ACQ,Acqua di Parma,Colonia 1916,UNRESOLVED,,,,,,fragrantica-search:ERR:HTTPError|bing-rss:0|bing:0,no candidates
2674-MICA,Martine Micallef,Note Poudree,UNRESOLVED,,,,,,fragrantica-search:ERR:HTTPError|bing-rss:0|bing:0,no candidates
2623-NES,Nest,Santa-barbara-strawberry-eau-de-,UNRESOLVED,,,,,,fragrantica-search:ERR:HTTPError|bing-rss:0|bing:0,no candidates
2600-TMU,mugler,Angel Lily,UNRESOLVED,,,,,,fragrantica-search:ERR:HTTPError|bing-rss:0|bing:0,no candidates
2375-ESC,Escada,Brisa Cubana Escada,UNRESOLVED,,,,,,fragrantica-search:ERR:HTTPError|bing-rss:0|bing:0,no candidates
2438-KYLJ,kylie-cosmetics,Cosmic-kylie-jenner-eau-de-,UNRESOLVED,,,,,,fragrantica-search:ERR:HTTPError|bing-rss:0|bing:0,no candidates
2562-JUSB,Jusbox,Beat Cafe,UNRESOLVED,,,,,,fragrantica-search:ERR:HTTPError|bing-rss:0|bing:0,no candidates
2560-JUSB,Jusbox,Siren-amp-sailors,UNRESOLVED,,,,,,fragrantica-search:ERR:HTTPError|bing-rss:0|bing:0,no candidates
2582-PIER,Pierre Balmain,Carbone Pierre Balmain type,UNRESOLVED,,,,,,fragrantica-search:ERR:HTTPError|bing-rss:0|bing:0,no candidates
2584-GIV,Givenchy,Eau de,UNRESOLVED,,,,,,fragrantica-search:ERR:HTTPError|bing-rss:0|bing:0,no candidates
