prestashop_product_id,shobi_code,inspired_by,code_suffix,inferred_brand,status,match_type,score,candidate_count,fragrantica_brand,fragrantica_perfume,fragrantica_id,fragrantica_url,note
5117,2849-STE,HARRODS RUBY NAGA,STE,Stéphane Humbert Lucas 777,FOUND,CONFIRMED_ID_IN_CORPUS,1.0000,1,Stephane Humbert Lucas 777,Harrods Ruby Naga,74594,https://www.fragrantica.com/perfume/Stephane-Humbert-Lucas-777/Harrods-Ruby-Naga-74594.html,
5116,2848-PRFRO,VANITAS,PRFRO,Profumum Roma,FOUND,CONFIRMED_EXISTING_MAPPING,1.0000,1,Profumum Roma,Vanitas,11220,https://www.fragrantica.com/p/11220,Existing CONFIRMED+FOUND mapping from data/shobi-fragrantica-mapping.csv
5115,2847-NISH,HUNDRED SILENT WAYS X,NISH,Nishane,FOUND,CONFIRMED_ID_IN_CORPUS,1.0000,1,Nishane,Hundred Silent Ways X,80463,https://www.fragrantica.com/perfume/Nishane/Hundred-Silent-Ways-X-80463.html,
5114,2846-MIN,COUNTER PLAY,MIN,Mind Games,FOUND,CONFIRMED_ID_IN_CORPUS,1.0000,1,Mind Games,Counterplay,114442,https://www.fragrantica.com/perfume/Mind-Games/Counterplay-114442.html,
5113,2845-LUS,WE BELIEVE IN GLINDA,LUS,Lush,FOUND,CONFIRMED_ID_IN_CORPUS,1.0000,1,Lush,We Believe in Glinda,117589,https://www.fragrantica.com/perfume/Lush/We-Believe-in-Glinda-117589.html,
5112,2844-LUS,BLACK PEARL,LUS,Lush,FOUND,CONFIRMED_ID_IN_CORPUS,1.0000,1,Lush,Black Pearl,10802,https://www.fragrantica.com/perfume/Lush/Black-Pearl-10802.html,
5111,2843-LEL,LABDANUM 18,LEL,Le Labo,FOUND,CONFIRMED_ID_IN_CORPUS,1.0000,1,Le Labo,Labdanum 18,7848,https://www.fragrantica.com/perfume/Le-Labo/Labdanum-18-7848.html,
5110,2842-KYLJ,VANILLA DEW,KYLJ,Kylie Cosmetics,FOUND,CONFIRMED_EXISTING_MAPPING,1.0000,1,kylie-cosmetics,Vanilla-dew,117345,https://www.fragrantica.com/p/117345,Existing CONFIRMED+FOUND mapping from data/shobi-fragrantica-mapping.csv
5109,2841-KYLJ,SWEET ECLAIRE,KYLJ,Kylie Cosmetics,FOUND,CONFIRMED_EXISTING_MAPPING,1.0000,1,Kylie Jenner,SWEET ECLAIRE,117347,https://www.fragrantica.com/p/117347,Existing CONFIRMED+FOUND mapping from data/shobi-fragrantica-mapping.csv
5108,2840-KYLJ,CARAMEL CLOUD,KYLJ,Kylie Cosmetics,FOUND,CONFIRMED_EXISTING_MAPPING,1.0000,1,kylie-cosmetics,Caramel-cloud,117346,https://www.fragrantica.com/p/117346,Existing CONFIRMED+FOUND mapping from data/shobi-fragrantica-mapping.csv
