prestashop_product_id,shobi_code,inspired_by,code_suffix,inferred_brand,status,match_type,score,candidate_count,fragrantica_brand,fragrantica_perfume,fragrantica_id,fragrantica_url,note
5083,2816-MOOD,Blonde Maracuja Mood London,MOOD,Mood London,MAPPED_NOT_IN_CORPUS,CONFIRMED_MAPPING_ONLY,,0,,,,,
5060,2791-LTN,notes of,LTN,,MAPPED_NOT_IN_CORPUS,CONFIRMED_MAPPING_ONLY,,0,,,,,
5054,2786-LTN,notes,LTN,,MAPPED_NOT_IN_CORPUS,CONFIRMED_MAPPING_ONLY,,0,,,,,
5051,2783-LTN,notes,LTN,,MAPPED_NOT_IN_CORPUS,CONFIRMED_MAPPING_ONLY,,0,,,,,
5014,2773-RIT,The Rituals of Mehr,RIT,Rituals,MAPPED_NOT_IN_CORPUS,CONFIRMED_MAPPING_ONLY,,0,,,,,
4640,2701-DIP,Cafe Verlet,DIP,Diptyque,NOT_FOUND,,,0,,,,,
4394,2604-JILS,Sun Men Jil Sander,JILS,,NOT_FOUND,,,0,,,,,
4369,2584-GIV,"Eau de. Woman perfume white floral, green, citrus, yellow floral, woody",GIV,Givenchy,NOT_FOUND,,,0,,,,,
4367,2586-DIP,Biscuit DIP,DIP,Diptyque,NOT_FOUND,,,0,,,,,
4364,2552-SOR,Night Horse (Ночная Кобыла) Siordia Parfums,SOR,,NOT_FOUND,,,0,,,,,
4169,2439-ZEG,2439 zeg ν,ZEG,Ermenegildo Zegna,NOT_FOUND,,,0,,,,,
4159,2415-ESC,SEXY GRAFFITY - ESCADA,ESC,b fresh,NOT_FOUND,,,0,,,,,
4152,2418-ACQ,VANIGLIA SIGNATURE,ACQ,Acqua di Parma,NOT_FOUND,,,0,,,,,
3915,,IVIERA,,Al Haramain Perfumes,NOT_FOUND,,,0,,,,,
3804,,hayati al haramain arabic,,Al Haramain Perfumes,NOT_FOUND,,,0,,,,,
3728,2193-LTN,notes,LTN,,NOT_FOUND,,,0,,,,,
3686,2190-ROJ,2190 roj ν,ROJ,Roja Dove,NOT_FOUND,,,0,,,,,
3645,,sukar anfasic dokhoon arabic perfrume,,Al Haramain Perfumes,NOT_FOUND,,,0,,,,,
3641,,kashkha swiss arabian inspired perfrume,,Al Haramain Perfumes,NOT_FOUND,,,0,,,,,
3567,,,,Al Haramain Perfumes,NOT_FOUND,,,0,,,,,
3485,,Β683 - MARC ANTOINE BARROIS,,Al Haramain Perfumes,NOT_FOUND,,,0,,,,,
3460,2044-LORV,teint de neige lorenzo villoresi,LORV,,NOT_FOUND,,,0,,,,,
3455,2085-CLIV,X NEROLI LIMITED EDITION - CLIVE CHRISTIAN,CLIV,Clive Christian,NOT_FOUND,,,0,,,,,
3453,2028-ZARK,YOUTH - ZARKOPERFUME,ZARK,,NOT_FOUND,,,0,,,,,
3374,2016-PARELM,D'AMOUR - PARFUMS D'ELMAR,PARELM,,NOT_FOUND,,,0,,,,,
3370,1989-VERT,NARCOS'IS,VERT,,NOT_FOUND,,,0,,,,,
3367,1986-SOO,1986 soo ν,SOO,,NOT_FOUND,,,0,,,,,
3362,1981-KHAL,gra khaltat,KHAL,,NOT_FOUND,,,0,,,,,
3361,1980-HIND,EMARATI MUSK PARFUM - HIND AL OUD,HIND,,NOT_FOUND,,,0,,,,,
3312,1156-HER,1156 her mix 137 kur,HER,Hermes,NOT_FOUND,,,0,,,,,
3281,1065-CHA,1065 cha mix 1181 gul,CHA,Chanel,NOT_FOUND,,,0,,,,,
2942,,dopamine arabic perfume العطور,,Al Haramain Perfumes,NOT_FOUND,,,0,,,,,
2824,1753-TEDL,ted lapidus,TEDL,,NOT_FOUND,,,0,,,,,
2798,1885-WID,LONDON - WIDIAN,WID,,NOT_FOUND,,,0,,,,,
2783,1874-LTN,CALIFORNIA Citrus,LTN,,NOT_FOUND,,,0,,,,,
2624,1769-LTN,notes Roses,LTN,A Dozen Roses,NOT_FOUND,,,0,,,,,
2622,,,,Al Haramain Perfumes,NOT_FOUND,,,0,,,,,
2612,1763-JILS,sun jil sander,JILS,,NOT_FOUND,,,0,,,,,
2602,1748-BYR,Marijuana,BYR,Byredo,NOT_FOUND,,,0,,,,,
2437,1701-TOSC,tosca tosca,TOSC,,NOT_FOUND,,,0,,,,,
2401,1659-CHRA,by night aguilera christina aromata,CHRA,,NOT_FOUND,,,0,,,,,
2376,1641-KHAL,aloha khaltat,KHAL,,NOT_FOUND,,,0,,,,,
2331,1550-YAN,home sweet home yankee arwmata_xvrou,YAN,,NOT_FOUND,,,0,,,,,
2283,1483-DSQ,potion dsquared,DSQ,,NOT_FOUND,,,0,,,,,
2271,,mukhallat al emirates al haramain original,,Al Haramain Perfumes,NOT_FOUND,,,0,,,,,
2204,171-DUP,,DUP,,NOT_FOUND,,,0,,,,,
2146,410-BOD,BLACK MUSK - BODY SHOP,BOD,,NOT_FOUND,,,0,,,,,
2105,383-YAN,wedding day yankee,YAN,Daddy Yankee,NOT_FOUND,,,0,,,,,
2096,166-AZ,,AZ,,NOT_FOUND,,,0,,,,,
2091,1046-CAL,EVERYONE - CK,CAL,Calvin Klein,NOT_FOUND,,,0,,,,,
2084,172-SHALM,MOROCCAN MUSK - SCENT SALIM,SHALM,,NOT_FOUND,,,0,,,,,
2078,677-GUC,G by G,GUC,Gucci,NOT_FOUND,,,0,,,,,
1937,564-DOL,SEXY CHOCLATE,DOL,Dolce&Gabbana,NOT_FOUND,,,0,,,,,
1904,314-MOL,ziao jao molton brown,MOL,,NOT_FOUND,,,0,,,,,
1814,153-PARF,Straigh to Heaven,PARF,Parfums de Marly,NOT_FOUND,,,0,,,,,
1419,,huboob yas arabic,,Al Haramain Perfumes,NOT_FOUND,,,0,,,,,
1409,118-HAM,REHAN - HAMIDI OUD,HAM,,NOT_FOUND,,,0,,,,,
1266,382-YAN,pomegranate cider yankee candles,YAN,,NOT_FOUND,,,0,,,,,
