shobi_code,fragrantica_brand,fragrantica_perfume,fragrantica_id,fragrantica_url,verification_note
1188-KAR,Karl Lagerfeld,Bois de Vetiver,45857,https://www.fragrantica.com/perfume/Karl-Lagerfeld/Bois-de-Vetiver-45857.html,Current Fragrantica page
175-SHA,Shaik,Opulent Shaik Classic No 33,2776,https://www.fragrantica.com/perfume/Shaik/Opulent-Shaik-Classic-No-33-2776.html,Current Fragrantica page
168-RAS,Rasasi,Daarej pour Femme,19687,https://www.fragrantica.com/perfume/Rasasi/Dareej-19687.html,Current Fragrantica page
167-RAS,Rasasi,Daarej pour Homme,19688,https://www.fragrantica.com/perfume/Rasasi/Daarej-19688.html,Original established Daarej pour Homme page; not the separate 2026 release
361-TMFO,Tom Ford,Ombré Leather (2018),50239,https://www.fragrantica.com/perfume/Tom-Ford/Ombre-Leather-2018-50239.html,Current Fragrantica page for Eau de Parfum
346-TMFO,Tom Ford,Fucking Fabulous,46513,https://www.fragrantica.com/perfume/Tom-Ford/Fucking-Fabulous-46513.html,2017 Fragrantica page matching Shobi year
332-RAM,Ramon Monegal,Dry Wood,15503,https://www.fragrantica.com/perfume/Ramon-Monegal/Dry-Wood-15503.html,Current Fragrantica page
316-MNT,Montale,Aoud Velvet,3786,https://www.fragrantica.com/perfume/Montale/Aoud-Velvet-3786.html,Current Fragrantica page
301-JOM,Jo Malone London,Wild Fig & Cassis,4579,https://www.fragrantica.com/perfume/Jo-Malone-London/Wild-Fig-Cassis-4579.html,Current Fragrantica page
295-JOM,Jo Malone London,Vetyver,2291,https://www.fragrantica.com/perfume/Jo-Malone-London/Vetyver-2291.html,Current Fragrantica page
267-JOM,Jo Malone London,Mimosa & Cardamom,31825,https://www.fragrantica.com/perfume/Jo-Malone-London/Mimosa-Cardamom-31825.html,Current Fragrantica page
243-JOM,Jo Malone London,London Rain Black Cedarwood & Juniper,22504,https://www.fragrantica.com/perfume/Jo-Malone/Black-Cedarwood-Juniper-22504.html,Current Fragrantica page
234-ESCE,Escentric Molecules,Escentric 04,42995,https://www.fragrantica.com/perfume/Escentric-Molecules/Escentric-04-42995.html,Current Fragrantica page
232-ESCE,Escentric Molecules,Escentric 01,846,https://www.fragrantica.com/perfume/Escentric-Molecules/Escentric-01-846.html,Current Fragrantica page
