shobi_code,brand,perfume,fragrantica_id,fragrantica_url,verification_note
910-SARJ,Sarah Jessica Parker,Lovely,993,https://www.fragrantica.com/perfume/Sarah-Jessica-Parker/Lovely-993.html,Exact original Lovely 2005
901-ROG,Roger & Gallet,ROSE - ROGER & GALLET Type,3482,https://www.fragrantica.com/perfume/Roger-Gallet/Rose-3482.html,Exact Rose 2007
867-PAL,Paloma Picasso,Paloma Picasso,1009,https://www.fragrantica.com/perfume/Paloma-Picasso/Paloma-Picasso-1009.html,Exact self-titled 1984
850-NIN,Nina Ricci,L'AIR DU TEMPS,1014,https://www.fragrantica.com/perfume/Nina-Ricci/L-Air-du-Temps-1014.html,Original L Air du Temps 1948
738-JUI,Juicy Couture,Viva La Juicy,4410,https://www.fragrantica.com/perfume/Juicy-Couture/Viva-la-Juicy-4410.html,Exact original Viva la Juicy 2008
696-GLA,Guy Laroche,Fidji Eau de Toilette,2068,https://www.fragrantica.com/perfume/guy-laroche/fidji-2068.html,Exact original Fidji EDT 1966
673-GRS,Grès,Cabotine,1061,https://www.fragrantica.com/perfume/Gr-s/Cabotine-1061.html,Exact original Cabotine 1990
493-CER,Cerruti,1881 for Women,327,https://www.fragrantica.com/perfume/Cerruti/1881-327.html,Exact Cerruti 1881 women 1995
411-BOD,The Body Shop,WHITE MUSK - BODY SHOP,2432,https://www.fragrantica.com/perfume/The-Body-Shop/White-Musk-2432.html,Original White Musk 1981
1259-SHU,Shulton Company,Old Spice Original,14746,https://www.fragrantica.com/perfume/Shulton-Company/Old-Spice-Original-14746.html,Exact original Old Spice identity
