prestashop_product_id,shobi_code,fragrantica_id,gender,gender_source,gender_ocr_text,winter,spring,summer,fall,main_season,season_confidence,season_margin,local_path
5069,2802-HER,102772,,OCR_UNRESOLVED,el et eae le terre d hermes intense ee hermes ao formen main accords ry oy it lerre d hermes intense hermes formen main accords,0.3370,0.3653,0.1111,0.3875,fall,MEDIUM,0.0221,fragrantica-scraper-archive/social-cards/images/5069_2802-HER_102772.jpeg
5011,2772-DOL,62311,,OCR_UNRESOLVED,k dy d olce g dolce appan j fornien gabbana a hau ae partum wat oy et eae yao oat accords eee k dy voice gabbdana kau de paritum dolce gabbana ae formen visor main accords ff ps ee hie ene ls hy ee,0.1259,0.3432,0.3481,0.3616,TIE,TIE,0.0135,fragrantica-scraper-archive/social-cards/images/5011_2772-DOL_62311.jpeg
4823,199-CARO,3166,,OCR_UNRESOLVED,bp clea tay pour un homme de caron caron see formen main accords ee batt pour un homme de caron ea nh caron ier per nr formen main accords ce,0.1963,0.3432,0.2741,0.3063,spring,MEDIUM,0.0369,fragrantica-scraper-archive/social-cards/images/4823_199-CARO_3166.jpeg
4745,2662-LAT,101124,,OCR_UNRESOLVED,asad bourbon lattafa perfumes ai eieae formen main accords vanilla a acts asad bourbon lattafa perfumes io formen main accords vanilla a,0.4778,0.1550,0.1074,0.3985,winter,MEDIUM,0.0793,fragrantica-scraper-archive/social-cards/images/4745_2662-LAT_101124.jpeg
4526,2673-ARB,69012,,OCR_UNRESOLVED,al fareed arabian oud eines formen s main accords a aye al fareed arabian oud formen main accords musky a,0.3815,0.2546,0.1370,0.2989,winter,MEDIUM,0.0826,fragrantica-scraper-archive/social-cards/images/4526_2673-ARB_69012.jpeg
4486,2458-LTN,93785,,OCR_UNRESOLVED,hoare wh a pega ers lv lovers oe ee pala pose ae j j teat parad louis vuitton se formen main accords woody a ar lv lovers tes ae louis vuitton formen main accords ee,0.2444,0.3653,0.3481,0.2878,TIE,TIE,0.0172,fragrantica-scraper-archive/social-cards/images/4486_2458-LTN_93785.jpeg
4422,2627-LTN,62251,,OCR_UNRESOLVED,ratan ear ane ee meteore louis vuitton pie formen main accords citrus aa pp is meteore louis vuitton formen main accords citrus oy,0.1259,0.3542,0.3741,0.2214,TIE,TIE,0.0198,fragrantica-scraper-archive/social-cards/images/4422_2627-LTN_62251.jpeg
4363,2529-VER,647,,OCR_UNRESOLVED,gab teenes versace l homme versace ae formen main accords citrus b a ee rite versace l homme at versace a formen main accords citrus a,0.3370,0.3653,0.1370,0.3875,fall,MEDIUM,0.0221,fragrantica-scraper-archive/social-cards/images/4363_2529-VER_647.jpeg
4339,2566-VER,92647,,OCR_UNRESOLVED,eros energy versace een formen main accords citrus ar eee eros knergy versace formen main accords citrus,0.1259,0.3875,0.5407,0.1439,summer,HIGH,0.1533,fragrantica-scraper-archive/social-cards/images/4339_2566-VER_92647.jpeg
4256,2538-GUL,89720,,OCR_UNRESOLVED,le male lover jean paul gaultier seat formen i main accords vanilla le male lover jean paul gaultier formen main accords vanilla,0.2444,0.2989,0.3481,0.2878,summer,MEDIUM,0.0493,fragrantica-scraper-archive/social-cards/images/4256_2538-GUL_89720.jpeg
4243,2517-MNTB,90137,,OCR_UNRESOLVED,shae legend blue oe aes montblanc seen formen bs main accords ee legend blue montblanc pos formen main accords a,0.1259,0.3653,0.4037,0.2103,summer,MEDIUM,0.0384,fragrantica-scraper-archive/social-cards/images/4243_2517-MNTB_90137.jpeg
4180,2432-ROJ,17934,,OCR_UNRESOLVED,danger pour homme roja dove ra cated formen main accords danger pour homme roja dove ole formen main accords oy,0.3370,0.2989,0.2741,0.3616,fall,MEDIUM,0.0246,fragrantica-scraper-archive/social-cards/images/4180_2432-ROJ_17934.jpeg
4140,2410-GUL,88836,,OCR_UNRESOLVED,ceaces eten le beau paradise garden jean paul gaultier et formen main accords pay re le beau paradise garden jean paul gaultier mae formen oa main accords a i rapa pay,0.1259,0.4133,0.5407,0.1255,summer,HIGH,0.1275,fragrantica-scraper-archive/social-cards/images/4140_2410-GUL_88836.jpeg
