prestashop_product_id,shobi_code,fragrantica_id,gender,gender_source,gender_ocr_text,winter,spring,summer,fall,main_season,season_confidence,season_margin,local_path,actual_longest,actual_longest_value,runner_up,runner_up_value,actual_margin
5110,2842-KYLJ,117345,female,SOCIAL_CARD_OCR,vanilla dew oo sone es kylie cosmetics re cl for women main accords vanilla vanilla dew kylie cosmetics for women main accords vanilla,0.3370,0.3432,0.2741,0.2878,TIE,TIE,0.0061,fragrantica-scraper-archive/social-cards/images/5110_2842-KYLJ_117345.jpeg,spring,0.3432,winter,0.3370,0.0062
5109,2841-KYLJ,117347,female,SOCIAL_CARD_OCR,sweet e clalr kylie cosmetics bereta for women main accords vanilla fs ra sweet eclair kylie cosmetics for women main accords vanilla,0.3370,0.3653,0.1593,0.3616,TIE,TIE,0.0037,fragrantica-scraper-archive/social-cards/images/5109_2841-KYLJ_117347.jpeg,spring,0.3653,fall,0.3616,0.0037
5108,2840-KYLJ,117346,female,SOCIAL_CARD_OCR,caramel cloud kylie cosmetics pees ees for women a main accords fy caramel cloud kylie cosmetics for women main accords sea,0.5074,0.1218,0.1074,0.5018,TIE,TIE,0.0056,fragrantica-scraper-archive/social-cards/images/5108_2840-KYLJ_117346.jpeg,winter,0.5074,fall,0.5018,0.0056
5102,2834-AMG,116626,unisex,SOCIAL_CARD_OCR,pias amouage eee for women and men main accords fs ad sindbad sa nt amouage ay ee ogee ol for women and men main accords fs,0.3741,0.2362,0.1074,0.3764,TIE,TIE,0.0023,fragrantica-scraper-archive/social-cards/images/5102_2834-AMG_116626.jpeg,fall,0.3764,winter,0.3741,0.0023
5101,2833-AMG,62859,unisex,SOCIAL_CARD_OCR,meander bernat amouage oe ity palaedis feage for women and men geese main accords woody tah ett meander i ag amouage ote for women and men main accords,0.2185,0.3210,0.2074,0.3247,TIE,TIE,0.0037,fragrantica-scraper-archive/social-cards/images/5101_2833-AMG_62859.jpeg,fall,0.3247,spring,0.3210,0.0037
5098,2831-GISS,126288,unisex,SOCIAL_CARD_OCR,martinique osmanthus gissah ar ae om for women and men main accords au gissah martinique osmanthus al a ayo for women and men main accords,0.1296,0.3653,0.3481,0.2878,TIE,TIE,0.0172,fragrantica-scraper-archive/social-cards/images/5098_2831-GISS_126288.jpeg,spring,0.3653,summer,0.3481,0.0172
5090,2823-KAY,127453,female,SOCIAL_CARD_OCR,hk den plusn pear kau de partum ae kayali fragrances ee for women s main accords voy white floral fn rkden fiusn pear kau de partum kayali fragrances for women s main accords craig white floral fn,0.1259,0.4908,0.4852,0.1439,TIE,TIE,0.0056,fragrantica-scraper-archive/social-cards/images/5090_2823-KAY_127453.jpeg,spring,0.4908,summer,0.4852,0.0056
5084,2817-INI,93090,unisex,SOCIAL_CARD_OCR,oud tor greatness neo initio parfums prives sane for women and men main accords ee eee oud tor greatness neo initio parfums prives or ae for women and men main accords,0.3556,0.3653,0.1222,0.3616,TIE,TIE,0.0037,fragrantica-scraper-archive/social-cards/images/5084_2817-INI_93090.jpeg,spring,0.3653,fall,0.3616,0.0037
5082,2815-DOL,489,female,SOCIAL_CARD_OCR,fe he el by g ene dolce gabbana pee for women py a main accords if f i i ils py t i tae powdery ro ty tt b okey ie dolce gabbana er ae ret ol for women i main accords i i powdery,0.3593,0.2362,0.1370,0.3764,TIE,TIE,0.0171,fragrantica-scraper-archive/social-cards/images/5082_2815-DOL_489.jpeg,fall,0.3764,winter,0.3593,0.0171
5075,2808-LES,103914,unisex,SOCIAL_CARD_OCR,roasted langerine les liquides imaginaires ae for women and men main accords i i citrus e ee he roasted langerine les liquides imaginaires obes for women and men it main accords citrus ee,0.1296,0.3653,0.3593,0.2878,TIE,TIE,0.0061,fragrantica-scraper-archive/social-cards/images/5075_2808-LES_103914.jpeg,spring,0.3653,summer,0.3593,0.0060
5073,2806-PHL,119441,unisex,SOCIAL_CARD_OCR,ayn ee mere phlur ae for women and men main accords woody ce ee ig bee an ec aiterglow phlur for women and men main accords,0.3370,0.3653,0.2741,0.3616,TIE,TIE,0.0037,fragrantica-scraper-archive/social-cards/images/5073_2806-PHL_119441.jpeg,spring,0.3653,fall,0.3616,0.0037
5065,2798-NICO,91006,unisex,SOCIAL_CARD_OCR,macaron bourpon nicolai parfumeur createur seit for women and men main accords macaron bourbon nicolai parfumeur createur for women and men main accords ll a,0.3741,0.3653,0.1074,0.3875,TIE,TIE,0.0134,fragrantica-scraper-archive/social-cards/images/5065_2798-NICO_91006.jpeg,fall,0.3875,winter,0.3741,0.0134
5064,2795-AMG,87958,male,SOCIAL_CARD_OCR,wat ete epee jubilation man amouage ee ieans for men p main accords jubilation man amouage opti formen main accords a,0.3741,0.3653,0.1074,0.3875,TIE,TIE,0.0134,fragrantica-scraper-archive/social-cards/images/5064_2795-AMG_87958.jpeg,fall,0.3875,winter,0.3741,0.0134
5059,2790-KIL,96096,unisex,SOCIAL_CARD_OCR,sete ta olid fashioned atone by kilian sats for women and men ie e ae a main accords ww sn hr ey ed bf al seat riv ne hy yw i if yf fs we rh it y siz oooo old fashioned by kilian for women and men sa ie sse main accords ia i wa cee pees v ss tah ca i bs bsc oul it we of air iw,0.4593,0.1439,0.1074,0.4649,TIE,TIE,0.0057,fragrantica-scraper-archive/social-cards/images/5059_2790-KIL_96096.jpeg,fall,0.4649,winter,0.4593,0.0056
5056,2788-MIN,88867,unisex,SOCIAL_CARD_OCR,french detense a mind games looe for women and men main accords es pt aes french detense mind games af te for women and men main accords cherry,0.3741,0.3653,0.1074,0.3875,TIE,TIE,0.0134,fragrantica-scraper-archive/social-cards/images/5056_2788-MIN_88867.jpeg,fall,0.3875,winter,0.3741,0.0134
5053,2785-VAL,101384,female,SOCIAL_CARD_OCR,born in roma extradose donna valentino eee for women main accords vanilla born in roma extradose donna valentino ope can for women main accords vanilla ee,0.3556,0.2435,0.1593,0.3616,TIE,TIE,0.0061,fragrantica-scraper-archive/social-cards/images/5053_2785-VAL_101384.jpeg,fall,0.3616,winter,0.3556,0.0060
