classification,shobi_code,shobi_name,brand,candidate_id,candidate_brand,candidate_name,rank,abbr_score,seq,containment,prefix_coverage,margin,url
WEAK_REVIEW,502-CHA,No 5,Chanel,38543,Chanel,Chanel No 5 L Eau,1,0.9520,0.6000,1.0000,1.0000,0.0120,https://www.fragrantica.com/perfume/Chanel/Chanel-No-5-L-Eau-38543.html
NO_CANDIDATE,1885-WID,LONDON,Black Widow,65856,Black Widow,Black Widow,1,0.8800,0.0000,1.0000,0.0000,0.8800,https://www.fragrantica.com/perfume/Black-Widow/Black-Widow-65856.html
NO_CANDIDATE,383-YAN,WEDDING DAY - YANKEE,Daddy Yankee,5056,Daddy Yankee,Daddy Yankee,1,0.8800,0.0000,1.0000,0.0000,0.8800,https://www.fragrantica.com/perfume/Daddy-Yankee/Daddy-Yankee-5056.html
NO_CANDIDATE,1781-LAC,TOUCH OF SUN,Christian Lacroix,360,Christian Lacroix,Christian Lacroix,5,0.8800,0.0000,1.0000,0.0000,0.4954,https://www.fragrantica.com/perfume/Christian-Lacroix/Christian-Lacroix-360.html
NO_CANDIDATE,1748-BYR,Marijuana,Byredo,10758,Byredo,M Mink,3,0.8286,0.4286,0.0000,1.0000,0.4075,https://www.fragrantica.com/perfume/Byredo/M-Mink-10758.html
WEAK_REVIEW,2185-DRC,Eau Sauvage Extrme Intense,Dior,232,Dior,Eau Sauvage Extreme,1,0.8000,0.8000,0.0000,0.5000,0.0727,https://www.fragrantica.com/perfume/Dior/Eau-Sauvage-Extreme-232.html
WEAK_REVIEW,228-DIP,FEUILLE DE LAVANDE,Diptyque,24917,Diptyque,Eau de Lavande,1,0.7857,0.7857,0.0000,0.6667,0.2257,https://www.fragrantica.com/perfume/Diptyque/Eau-de-Lavande-24917.html
WEAK_REVIEW,994-ZAD,This Is Her,Zadig Voltaire,39359,Zadig Voltaire,This is Him,1,0.7778,0.7778,0.0000,0.6667,0.7778,https://www.fragrantica.com/perfume/Zadig-Voltaire/This-is-Him-39359.html
WEAK_REVIEW,130-LEL,SANTAL 26 - LE LABO,Le Labo,12201,Le Labo,Santal 33,1,0.7500,0.7500,0.0000,0.5000,0.2237,https://www.fragrantica.com/perfume/Le-Labo/Santal-33-12201.html
WEAK_REVIEW,261-JOM,INCENSE & EMBERS - JO MALONE,Jo Malone London,29737,Jo Malone London,Incense Cedrat,1,0.6923,0.6923,0.0000,0.5000,0.1923,https://www.fragrantica.com/perfume/Jo-Malone-London/Incense-Cedrat-29737.html
WEAK_REVIEW,1526-AL HAR,MUKHALLAT AL EMIRATES,Al Haramain Perfumes,37437,Al Haramain Perfumes,Mukhallath Asala,2,0.6875,0.6875,0.0000,0.5000,0.0423,https://www.fragrantica.com/perfume/Al-Haramain-Perfumes/Mukhallath-Asala-37437.html
WEAK_REVIEW,279-JOM,PINK VETIVER - JO MALONE,Jo Malone London,2291,Jo Malone London,Vetyver,1,0.6667,0.6667,0.0000,0.0000,0.1481,https://www.fragrantica.com/perfume/Jo-Malone-London/Vetyver-2291.html
WEAK_REVIEW,2609-TMFO,Opaline Hyacinth,Tom Ford,15916,Tom Ford,Ombre de Hyacinth,1,0.6667,0.6667,0.0000,0.5000,0.1149,https://www.fragrantica.com/perfume/Tom-Ford/Ombre-de-Hyacinth-15916.html
WEAK_REVIEW,257-JOM,GREEN ORANGE & CORIANDER - JO MALONE,Jo Malone London,35882,Jo Malone London,Lavender Coriander,1,0.6486,0.6486,0.0000,0.3333,0.0772,https://www.fragrantica.com/perfume/Jo-Malone-London/Lavender-Coriander-35882.html
WEAK_REVIEW,289-JOM,SWEET ALMON & MACARRON - JO MALONE,Jo Malone London,11490,Jo Malone London,Sweet Lemon,2,0.6429,0.6429,0.0000,0.3333,0.0179,https://www.fragrantica.com/perfume/Jo-Malone-London/Sweet-Lemon-11490.html
WEAK_REVIEW,230-DIP,OPOPANAX,Diptyque,3959,Diptyque,Opone,1,0.6154,0.6154,0.0000,0.0000,0.0821,https://www.fragrantica.com/perfume/Diptyque/Opone-3959.html
