shobi_code,shobi_name,suffix,override_brand,old_brand_hint,old_classification,override_classification,matched_corpus_brands,cand1_id,cand1_brand,cand1_name,cand1_score,cand1_url,cand2_id,cand2_brand,cand2_name,cand2_score,cand2_url,cand3_id,cand3_brand,cand3_name,cand3_score,cand3_url,cand4_id,cand4_brand,cand4_name,cand4_score,cand4_url,cand5_id,cand5_brand,cand5_name,cand5_score,cand5_url
118-HAM,REHAN - HAMIDI OUD,HAM,Hamidi Oud,,WEAK_REVIEW,OVERRIDE_NO_CANDIDATE,,,,,,,,,,,,,,,,,,,,,,,,,,
133-MICA,YLANG IN GOLD - M,MICA,M Micallef,,WEAK_REVIEW,OVERRIDE_NO_CANDIDATE,,,,,,,,,,,,,,,,,,,,,,,,,,
184-YAS,HUBOOB,YAS,Yas,,WEAK_REVIEW,OVERRIDE_NO_CANDIDATE,bryasa paris,,,,,,,,,,,,,,,,,,,,,,,,,
598-ESC,CELEBRATE NOW - ESCADA,ESC,Escada,,WEAK_REVIEW,OVERRIDE_NO_CANDIDATE,,,,,,,,,,,,,,,,,,,,,,,,,,
601-ESC,Flor-del-sol,ESC,Escada,,WEAK_REVIEW,OVERRIDE_NO_CANDIDATE,,,,,,,,,,,,,,,,,,,,,,,,,,
605-ESC,Miami Blossom,ESC,Escada,,WEAK_REVIEW,OVERRIDE_NO_CANDIDATE,,,,,,,,,,,,,,,,,,,,,,,,,,
606-ESC,MARGARETHA LEY (CLASSIC) - ESCADA,ESC,Escada,,WEAK_REVIEW,OVERRIDE_NO_CANDIDATE,,,,,,,,,,,,,,,,,,,,,,,,,,
608-ESC,Moon Sparkle,ESC,Escada,,WEAK_REVIEW,OVERRIDE_NO_CANDIDATE,,,,,,,,,,,,,,,,,,,,,,,,,,
612-ESC,TURQUOISE - ESCADA,ESC,Escada,,WEAK_REVIEW,OVERRIDE_NO_CANDIDATE,,,,,,,,,,,,,,,,,,,,,,,,,,
728-JES,IN BLACK,JES,Jesus Del Pozo,,EXACT_NAME_NO_BRAND,OVERRIDE_NO_CANDIDATE,j,,,,,,,,,,,,,,,,,,,,,,,,,
898-ROC,AQUA WOMAN - ROCHAS,ROC,Rochas,,WEAK_REVIEW,OVERRIDE_NO_CANDIDATE,,,,,,,,,,,,,,,,,,,,,,,,,,
