shobi_code,shobi_name,old_classification,old_brand_hint,old_brand_source,old_cand1_id,fallback_classification,fallback_margin,cand1_id,cand1_brand,cand1_name,cand1_score,cand1_url,cand2_id,cand2_brand,cand2_name,cand2_score,cand2_url,cand3_id,cand3_brand,cand3_name,cand3_score,cand3_url,cand4_id,cand4_brand,cand4_name,cand4_score,cand4_url,cand5_id,cand5_brand,cand5_name,cand5_score,cand5_url
130-LEL,SANTAL 26 - LE LABO,WEAK_REVIEW,Le Labo,verified_suffix,12201,GLOBAL_WEAK,0.0000,45006,Allen Shaw,Santal,0.8000,https://www.fragrantica.com/perfume/Allen-Shaw/Santal-45006.html,140562,Celio,Santal,0.8000,https://www.fragrantica.com/perfume/Celio/Santal-140562.html,56395,Ajmal,Santal,0.8000,https://www.fragrantica.com/perfume/Ajmal/Santal-56395.html,40205,L Artisan Parfumeur,Santal,0.8000,https://www.fragrantica.com/perfume/L-Artisan-Parfumeur/Santal-40205.html,12201,Le Labo,Santal 33,0.7778,https://www.fragrantica.com/perfume/Le-Labo/Santal-33-12201.html
133-MICA,YLANG IN GOLD - M,WEAK_REVIEW,,,46469,GLOBAL_WEAK,0.0000,46469,By Kilian,Woman in Gold,0.8000,https://www.fragrantica.com/perfume/By-Kilian/Woman-in-Gold-46469.html,36874,City Parfum,In Gold,0.8000,https://www.fragrantica.com/perfume/City-Parfum/In-Gold-36874.html,32693,Victoria s Secret,Angel Gold,0.6957,https://www.fragrantica.com/perfume/Victoria-s-Secret/Angel-Gold-32693.html,7315,O Boticario,Floratta in Gold,0.6897,https://www.fragrantica.com/perfume/O-Boticario/Floratta-in-Gold-7315.html,78617,Lattafa Perfumes,Najdia in Gold,0.6667,https://www.fragrantica.com/perfume/Lattafa-Perfumes/Najdia-in-Gold-78617.html
166-AZ,Sequoia Wood Eau de Parfum,WEAK_REVIEW,,,39790,GLOBAL_WEAK,0.0000,39790,Abbott New York City,Sequoia,0.6667,https://www.fragrantica.com/perfume/Abbott-New-York-City/Sequoia-39790.html,86184,The Dua Brand,Femme Wood,0.6667,https://www.fragrantica.com/perfume/The-Dua-Brand/Femme-Wood-86184.html,66174,DSQUARED2,2 Wood,0.6667,https://www.fragrantica.com/perfume/DSQUARED2/2-Wood-66174.html,90631,d grayi,Wood,0.6667,https://www.fragrantica.com/perfume/d-grayi/Wood-90631.html,13417,Bill Blass,Wood,0.6667,https://www.fragrantica.com/perfume/Bill-Blass/Wood-13417.html
171-DUP,Souvenirs De Malles Oud Oriental,WEAK_REVIEW,,,27483,GLOBAL_WEAK,0.0000,27483,Al Musbah,Oud Oriental,0.6667,https://www.fragrantica.com/perfume/Al-Musbah/Oud-Oriental-27483.html,61628,Alexandria Fragrances,Oriental Oud,0.6667,https://www.fragrantica.com/perfume/Alexandria-Fragrances/Oriental-Oud-61628.html,127633,Arabian Oud,Oriental Oud,0.6667,https://www.fragrantica.com/perfume/Arabian-Oud/Oriental-Oud-127633.html,119772,Al Ambra,Oriental Oud,0.6667,https://www.fragrantica.com/perfume/Al-Ambra/Oriental-Oud-119772.html,137619,Dar El Ward,Oriental Oud,0.6667,https://www.fragrantica.com/perfume/Dar-El-Ward/Oriental-Oud-137619.html
172-SHALM,Moroccan-musk,WEAK_REVIEW,,,21135,GLOBAL_WEAK,0.0000,20159,Al Rehab,Moroccan Rose,0.7692,https://www.fragrantica.com/perfume/Al-Rehab/Moroccan-Rose-20159.html,21135,Angela Flanders,Moroccan Rose,0.7692,https://www.fragrantica.com/perfume/Angela-Flanders/Moroccan-Rose-21135.html,20159,ALREHAB PERFUMES,Moroccan Rose,0.7692,https://www.fragrantica.com/perfume/ALREHAB-PERFUMES/Moroccan-Rose-20159.html,113688,Azari Parfumery,Moroccan Rose,0.7692,https://www.fragrantica.com/perfume/Azari-Parfumery/Moroccan-Rose-113688.html,37615,Bohdidharma,Moroccan Mint,0.7692,https://www.fragrantica.com/perfume/Bohdidharma/Moroccan-Mint-37615.html
222-DIP,AMBRE,NO_CANDIDATE,Diptyque,verified_suffix,14214,GLOBAL_WEAK,0.0000,41433,Ex Nihilo,Ambre,1.0000,https://www.fragrantica.com/perfume/Ex-Nihilo/Ambre-41433.html,11107,Charrier Parfums,Ambre,1.0000,https://www.fragrantica.com/perfume/Charrier-Parfums/Ambre-11107.html,797,Baldessarini,Ambre,1.0000,https://www.fragrantica.com/perfume/Baldessarini/Ambre-797.html,21958,Bastide Aix en Provence,Ambre,1.0000,https://www.fragrantica.com/perfume/Bastide-Aix-en-Provence/Ambre-21958.html,135714,Dyrose,Ambre 9,1.0000,https://www.fragrantica.com/perfume/Dyrose/Ambre-9-135714.html
223-DIP,BAIES,NO_CANDIDATE,Diptyque,verified_suffix,96739,GLOBAL_WEAK,0.0000,24169,Candora,Baies Roses,0.6667,https://www.fragrantica.com/perfume/Candora/Baies-Roses-24169.html,8457,Acorelle,Baies Sauvages,0.6667,https://www.fragrantica.com/perfume/Acorelle/Baies-Sauvages-8457.html,48879,L Artisan Parfumeur,Champ de Baies,0.6667,https://www.fragrantica.com/perfume/L-Artisan-Parfumeur/Champ-de-Baies-48879.html,13791,Darphin,Baies Sauvages,0.6667,https://www.fragrantica.com/perfume/Darphin/Baies-Sauvages-13791.html,81446,Durance en Provence,Eau de Parfum Baies Exquises,0.6667,https://www.fragrantica.com/perfume/Durance-en-Provence/Eau-de-Parfum-Baies-Exquises-81446.html
228-DIP,FEUILLE DE LAVANDE,WEAK_REVIEW,Diptyque,verified_suffix,24917,GLOBAL_WEAK,0.0000,24917,Diptyque,Eau de Lavande,0.8125,https://www.fragrantica.com/perfume/Diptyque/Eau-de-Lavande-24917.html,122528,Dzintars,Eau de Lavande,0.8125,https://www.fragrantica.com/perfume/Dzintars/Eau-de-Lavande-122528.html,113898,Christian Louboutin,Fetiche Lavande,0.7273,https://www.fragrantica.com/perfume/Christian-Louboutin/Fetiche-Lavande-113898.html,13277,Serge Lutens,Encens et Lavande,0.6857,https://www.fragrantica.com/perfume/Serge-Lutens/Encens-et-Lavande-13277.html,57025,Domaine Prive Parfums,Lavande,0.6667,https://www.fragrantica.com/perfume/Domaine-Prive-Parfums/Lavande-57025.html
230-DIP,OPOPANAX,WEAK_REVIEW,Diptyque,verified_suffix,3959,GLOBAL_ALTERNATIVE,0.8000,3222,Prada,No8 Opopanax,0.8000,https://www.fragrantica.com/perfume/Prada/No8-Opopanax-3222.html,,,,,,,,,,,,,,,,,,,,
233-ESCE,Molecule 02,WEAK_REVIEW,,,75615,GLOBAL_WEAK,0.0333,75615,BLAK,Molecule B 01,0.8333,https://www.fragrantica.com/perfume/BLAK/Molecule-B-01-75615.html,75616,BLAK,Molecule Ziemia B 02,0.8000,https://www.fragrantica.com/perfume/BLAK/Molecule-Ziemia-B-02-75616.html,99691,Angeline,X Molecule,0.7619,https://www.fragrantica.com/perfume/Angeline/X-Molecule-99691.html,86787,The Dua Brand,Orchid Molecule 7 0,0.6667,https://www.fragrantica.com/perfume/The-Dua-Brand/Orchid-Molecule-7-0-86787.html,86763,The Dua Brand,Ginger Molecule 1 0,0.6667,https://www.fragrantica.com/perfume/The-Dua-Brand/Ginger-Molecule-1-0-86763.html
