shobi_code,prestashop_product_id,shobi_inspired_by,classification,reason,fragrantica_id,fragrantica_brand,fragrantica_perfume,fragrantica_url,match_type,score,identity_score,identity_gate
100-AMG,2329,JUBILATION XXV MAN,VERIFIED,EXACT_BRAND_CLEAN_NAME,2366,Amouage,Jubilation XXV Man,https://www.fragrantica.com/perfume/Amouage/Jubilation-XXV-Man-2366.html,EXACT_BRAND_CLEAN_NAME,1.0000,1.0000,PASS
101-AHW,1402,King S Harem,VERIFIED,EXACT_PERFUME_BRAND_TEXT,42972,Ahwaz Fragrance,King s Harem,https://www.fragrantica.com/perfume/Ahwaz-Fragrance/King-s-Harem-42972.html,EXACT_PERFUME_BRAND_TEXT,1.0000,1.0000,PASS
102-AMG,1948,Interlude Man,VERIFIED,EXACT_BRAND_CLEAN_NAME,15294,Amouage,Interlude Man,https://www.fragrantica.com/perfume/Amouage/Interlude-Man-15294.html,EXACT_BRAND_CLEAN_NAME,1.0000,1.0000,PASS
103-ARB,1403,Kalemat,VERIFIED,EXACT_PERFUME_BRAND_TEXT,21623,Arabian Oud,Kalemat,https://www.fragrantica.com/perfume/Arabian-Oud/Kalemat-21623.html,EXACT_PERFUME_BRAND_TEXT,1.0000,1.0000,PASS
104-ARB,1404,Kashmir,VERIFIED,EXACT_PERFUME_BRAND_TEXT,63057,Arabian Oud,Kashmir,https://www.fragrantica.com/perfume/Arabian-Oud/Kashmir-63057.html,EXACT_PERFUME_BRAND_TEXT,1.0000,1.0000,PASS
105-ARB,1405,PRESTIGE CLASSIC - ARABIAN OUD,VERIFIED,SAFE_TOKEN_SAME_BRAND,21602,Arabian Oud,Arabian Prestige Classic,https://www.fragrantica.com/perfume/Arabian-Oud/Arabian-Prestige-Classic-21602.html,SAFE_TOKEN_SAME_BRAND,0.9860,0.6827,REVIEW
106-ARB,1406,SULTAN - ARABIAN OUD,VERIFIED,WEB_VERIFIED_FRAGRANTICA,21560,,,https://www.fragrantica.com/parfem/Arabian-Oud/Sultan-Blend-21560.html,WEB_VERIFIED_FRAGRANTICA,1.0000,1.0000,PASS
107-ARB,1407,Titanium,VERIFIED,EXACT_PERFUME_BRAND_TEXT,127709,Arabian Oud,Titanium,https://www.fragrantica.com/perfume/Arabian-Oud/Titanium-127709.html,EXACT_PERFUME_BRAND_TEXT,1.0000,1.0000,PASS
108-ARM,2112,BLEU LAZULI,VERIFIED,SAFE_TOKEN_SAME_BRAND,48059,Giorgio Armani,Armani Prive Bleu Lazuli,https://www.fragrantica.com/perfume/Giorgio-Armani/Armani-Prive-Bleu-Lazuli-48059.html,SAFE_TOKEN_SAME_BRAND,0.9560,1.0000,PASS
109-ARM,2196,MUSC SHAMAL,VERIFIED,EXACT_BRAND_CLEAN_NAME,55282,Giorgio Armani,Musc Shamal,https://www.fragrantica.com/perfume/Giorgio-Armani/Musc-Shamal-55282.html,EXACT_BRAND_CLEAN_NAME,1.0000,1.0000,PASS
110-ARM,1796,ROSE D'ARABIE,VERIFIED,WEB_VERIFIED_FRAGRANTICA,10886,,,https://www.fragrantica.com/perfume/Giorgio-Armani/Armani-Prive-Rose-d-Arabie-10886.html,WEB_VERIFIED_FRAGRANTICA,1.0000,1.0000,PASS
111-BAC,1807,Rouge 540,VERIFIED,WEB_VERIFIED_FRAGRANTICA,33519,,,https://www.fragrantica.com/perfume/Maison-Francis-Kurkdjian/Baccarat-Rouge-540-33519.html,WEB_VERIFIED_FRAGRANTICA,1.0000,1.0000,PASS
112-BON,2124,Bleecker Street,VERIFIED,EXACT_BRAND_CLEAN_NAME,1301,Bond No 9,Bleecker Street,https://www.fragrantica.com/perfume/Bond-No-9/Bleecker-Street-1301.html,EXACT_BRAND_CLEAN_NAME,1.0000,1.0000,PASS
113-DRC,1408,Oud-ispahan-eau-de-,VERIFIED,WEB_VERIFIED_FRAGRANTICA,15231,Dior,Oud Ispahan,https://www.fragrantica.com/perfume/Dior/Oud-Ispahan-15231.html,WEB_VERIFIED_FRAGRANTICA,1.0000,1.0000,PASS
114-CRD,2239,Erolfa,VERIFIED,EXACT_BRAND_CLEAN_NAME,4248,Creed,Erolfa,https://www.fragrantica.com/perfume/Creed/Erolfa-4248.html,EXACT_BRAND_CLEAN_NAME,1.0000,1.0000,PASS
115-EXN,1831,Fleur Narcotique,VERIFIED,EXACT_PERFUME_BRAND_TEXT,27571,Ex Nihilo,Fleur Narcotique,https://www.fragrantica.com/perfume/Ex-Nihilo/Fleur-Narcotique-27571.html,EXACT_PERFUME_BRAND_TEXT,1.0000,1.0000,PASS
116-EXN,1832,Midnight Special,VERIFIED,EXACT_PERFUME_BRAND_TEXT,45957,Ex Nihilo,Midnight Special,https://www.fragrantica.com/perfume/Ex-Nihilo/Midnight-Special-45957.html,EXACT_PERFUME_BRAND_TEXT,1.0000,1.0000,PASS
117-EXN,2108,Sweet Morphine,VERIFIED,EXACT_PERFUME_BRAND_TEXT,33574,Ex Nihilo,Sweet Morphine,https://www.fragrantica.com/perfume/Ex-Nihilo/Sweet-Morphine-33574.html,EXACT_PERFUME_BRAND_TEXT,1.0000,1.0000,PASS
118-HAM,1409,REHAN - HAMIDI OUD,VERIFIED,WEB_VERIFIED_FRAGRANTICA,27808,,,https://www.fragrantica.com/perfume/Hamidi-Oud-Perfumes/Rehan-27808.html,WEB_VERIFIED_FRAGRANTICA,1.0000,1.0000,PASS
119-HIS,2119,1725 Casanova,VERIFIED,WEB_VERIFIED_FRAGRANTICA,4491,Histoires de Parfums,1725,https://www.fragrantica.com/perfume/Histoires-de-Parfums/1725-4491.html,WEB_VERIFIED_FRAGRANTICA,1.0000,1.0000,PASS
120-INI,2191,ABSOLUTE APHRODISIAC - INITIO PARFUMS,VERIFIED,EXACT_BRAND_CLEAN_NAME,30989,Initio Parfums Prives,Absolute Aphrodisiac,https://www.fragrantica.com/perfume/Initio-Parfums-Prives/Absolute-Aphrodisiac-30989.html,EXACT_BRAND_CLEAN_NAME,1.0000,1.0000,PASS
121-INI,2224,ATOMIC ROSE - INITIO PERFUME,VERIFIED,EXACT_BRAND_CLEAN_NAME,57587,Initio Parfums Prives,Atomic Rose,https://www.fragrantica.com/perfume/Initio-Parfums-Prives/Atomic-Rose-57587.html,EXACT_BRAND_CLEAN_NAME,1.0000,1.0000,PASS
122-INI,2132,OUD FOR GREATNESS - INITIO PARFUMS PRIVES,VERIFIED,EXACT_BRAND_CLEAN_NAME,53641,Initio Parfums Prives,Oud for Greatness,https://www.fragrantica.com/perfume/Initio-Parfums-Prives/Oud-for-Greatness-53641.html,EXACT_BRAND_CLEAN_NAME,1.0000,1.0000,PASS
123-INI,2190,PSYCHEDELIC LOVE - INITIO PARFUMS PRIVES,VERIFIED,EXACT_PERFUME_BRAND_TEXT,45977,Initio Parfums Prives,Psychedelic Love,https://www.fragrantica.com/perfume/Initio-Parfums-Prives/Psychedelic-Love-45977.html,EXACT_PERFUME_BRAND_TEXT,1.0000,1.0000,PASS
124-INI,2223,Side Effect - Initio Parfums Prives,VERIFIED,EXACT_PERFUME_BRAND_TEXT,42260,Initio Parfums Prives,Side Effect,https://www.fragrantica.com/perfume/Initio-Parfums-Prives/Side-Effect-42260.html,EXACT_PERFUME_BRAND_TEXT,1.0000,1.0000,PASS
125-JUL,2214,Liquid Illusion,VERIFIED,WEB_VERIFIED_FRAGRANTICA,51055,Juliette Has A Gun,Liquid Illusion,https://www.fragrantica.com/p/51055,WEB_VERIFIED_FRAGRANTICA,1.0000,1.0000,PASS
126-KIL,2205,LIGHT MY FIRE - KILIAN PERFUME,VERIFIED,EXACT_BRAND_CLEAN_NAME,25992,By Kilian,Light My Fire,https://www.fragrantica.com/perfume/By-Kilian/Light-My-Fire-25992.html,EXACT_BRAND_CLEAN_NAME,1.0000,1.0000,PASS
127-KIL,1808,STRAIGHT TO HEAVEN - KILIAN,VERIFIED,EXACT_PERFUME_BRAND_TEXT,4323,By Kilian,Straight to Heaven,https://www.fragrantica.com/perfume/By-Kilian/Straight-to-Heaven-4323.html,EXACT_PERFUME_BRAND_TEXT,1.0000,1.0000,PASS
128-LEL,2231,Bergamote 22,VERIFIED,EXACT_PERFUME_BRAND_TEXT,6327,Le Labo,Bergamote 22,https://www.fragrantica.com/perfume/Le-Labo/Bergamote-22-6327.html,EXACT_PERFUME_BRAND_TEXT,1.0000,1.0000,PASS
129-LEL,2232,Rose 31,VERIFIED,EXACT_PERFUME_BRAND_TEXT,3678,Le Labo,Rose 31,https://www.fragrantica.com/perfume/Le-Labo/Rose-31-3678.html,EXACT_PERFUME_BRAND_TEXT,1.0000,1.0000,PASS
130-LEL,1949,SANTAL 26 - LE LABO,NOT_FOUND,NO_FOUND_ID_FOR_CODE,,,,,EXACT_NAME_MULTIPLE_CANDIDATES,,0.0000,NOT_MAPPED
131-LEL,1815,Santal 33,VERIFIED,EXACT_PERFUME_BRAND_TEXT,12201,Le Labo,Santal 33,https://www.fragrantica.com/perfume/Le-Labo/Santal-33-12201.html,EXACT_PERFUME_BRAND_TEXT,1.0000,1.0000,PASS
132-LTN,2131,Ombre Nomade,VERIFIED,CONFIRMED_IDENTITY_EXACT_CORPUS,49755,Louis Vuitton,Ombre Nomade,https://www.fragrantica.com/perfume/Louis-Vuitton/Ombre-Nomade-49755.html,CONFIRMED_IDENTITY_EXACT_CORPUS,1.0000,1.0000,PASS
133-MICA,2126,YLANG IN GOLD - M,VERIFIED,WEB_VERIFIED_FRAGRANTICA,14409,,,https://www.fragrantica.com/perfume/M-Micallef/Ylang-in-Gold-14409.html,WEB_VERIFIED_FRAGRANTICA,1.0000,1.0000,PASS
134-KUR,2238,Amyris Homme,VERIFIED,EXACT_BRAND_CLEAN_NAME,15566,Maison Francis Kurkdjian,Amyris Homme,https://www.fragrantica.com/perfume/Maison-Francis-Kurkdjian/Amyris-Homme-15566.html,EXACT_BRAND_CLEAN_NAME,1.0000,1.0000,PASS
135-KUR,2192,Gentle-fluidity-gold,VERIFIED,EXACT_BRAND_CLEAN_NAME,53401,Maison Francis Kurkdjian,Gentle Fluidity Gold,https://www.fragrantica.com/perfume/Maison-Francis-Kurkdjian/Gentle-Fluidity-Gold-53401.html,EXACT_BRAND_CLEAN_NAME,1.0000,1.0000,PASS
136-KUR,2209,Gentle-fluidity-silver,VERIFIED,EXACT_BRAND_CLEAN_NAME,53400,Maison Francis Kurkdjian,Gentle Fluidity Silver,https://www.fragrantica.com/perfume/Maison-Francis-Kurkdjian/Gentle-Fluidity-Silver-53400.html,EXACT_BRAND_CLEAN_NAME,1.0000,1.0000,PASS
137-KUR,2227,Grand Soir Eau de Parfum,VERIFIED,EXACT_BRAND_CLEAN_NAME,40816,Maison Francis Kurkdjian,Grand Soir,https://www.fragrantica.com/perfume/Maison-Francis-Kurkdjian/Grand-Soir-40816.html,EXACT_BRAND_CLEAN_NAME,1.0000,1.0000,PASS
138-KUR,1791,Oud Cashmere Mood,VERIFIED,EXACT_BRAND_CLEAN_NAME,17661,Maison Francis Kurkdjian,Oud Cashmere Mood,https://www.fragrantica.com/perfume/Maison-Francis-Kurkdjian/Oud-Cashmere-Mood-17661.html,EXACT_BRAND_CLEAN_NAME,1.0000,1.0000,PASS
139-KUR,,OUD SATIN MOOD,VERIFIED,EXACT_BRAND_CLEAN_NAME,30352,Maison Francis Kurkdjian,Oud Satin Mood,https://www.fragrantica.com/perfume/Maison-Francis-Kurkdjian/Oud-Satin-Mood-30352.html,EXACT_BRAND_CLEAN_NAME,1.0000,1.0000,PASS
140-KUR,,OUD SILK MOOD,VERIFIED,EXACT_BRAND_CLEAN_NAME,48456,Maison Francis Kurkdjian,Oud Silk Mood,https://www.fragrantica.com/perfume/Maison-Francis-Kurkdjian/Oud-Silk-Mood-48456.html,EXACT_BRAND_CLEAN_NAME,1.0000,1.0000,PASS
141-MAN,2058,Black Vanilla,VERIFIED,EXACT_PERFUME_BRAND_TEXT,46662,Mancera,Black Vanilla,https://www.fragrantica.com/perfume/Mancera/Black-Vanilla-46662.html,EXACT_PERFUME_BRAND_TEXT,1.0000,1.0000,PASS
142-MAN,2133,Cedrat Boise,VERIFIED,EXACT_PERFUME_BRAND_TEXT,15211,Mancera,Cedrat Boise,https://www.fragrantica.com/perfume/Mancera/Cedrat-Boise-15211.html,EXACT_PERFUME_BRAND_TEXT,1.0000,1.0000,PASS
143-MAN,2109,Red Tobacco,VERIFIED,EXACT_PERFUME_BRAND_TEXT,46663,Mancera,Red Tobacco,https://www.fragrantica.com/perfume/Mancera/Red-Tobacco-46663.html,EXACT_PERFUME_BRAND_TEXT,1.0000,1.0000,PASS
144-MAN,2117,Vanille Exclusive,VERIFIED,SAFE_FUZZY_SAME_BRAND,51494,Mancera,Vanille Exclusive,https://www.fragrantica.com/perfume/Mancera/Vanille-Exclusive-51494.html,SAFE_FUZZY_SAME_BRAND,0.9091,1.0000,PASS
145-MEM,1950,African-leather-eau-de-,VERIFIED,EXACT_PERFUME_BRAND_TEXT,31383,Memo Paris,African Leather,https://www.fragrantica.com/perfume/Memo-Paris/African-Leather-31383.html,EXACT_PERFUME_BRAND_TEXT,1.0000,1.0000,PASS
146-MEM,1410,Russian-leather-eau-de-,VERIFIED,EXACT_PERFUME_BRAND_TEXT,40544,Memo Paris,Russian Leather,https://www.fragrantica.com/perfume/Memo-Paris/Russian-Leather-40544.html,EXACT_PERFUME_BRAND_TEXT,1.0000,1.0000,PASS
147-NAS,2237,Pardon,VERIFIED,CONFIRMED_IDENTITY_EXACT_CORPUS,12130,Nasomatto,Pardon,https://www.fragrantica.com/perfume/Nasomatto/Pardon-12130.html,CONFIRMED_IDENTITY_EXACT_CORPUS,1.0000,1.0000,PASS
148-PARF,1411,Athalia,VERIFIED,EXACT_BRAND_CLEAN_NAME,36539,Parfums de Marly,Athalia,https://www.fragrantica.com/perfume/Parfums-de-Marly/Athalia-36539.html,EXACT_BRAND_CLEAN_NAME,1.0000,1.0000,PASS
149-PARF,1412,CARLISLE (U) - PARFUMS DE MARLY,VERIFIED,EXACT_BRAND_CLEAN_NAME,33514,Parfums de Marly,Carlisle,https://www.fragrantica.com/perfume/Parfums-de-Marly/Carlisle-33514.html,EXACT_BRAND_CLEAN_NAME,1.0000,1.0000,PASS
150-PARF,2122,Cassili,VERIFIED,EXACT_PERFUME_BRAND_TEXT,54660,Parfums de Marly,Cassili,https://www.fragrantica.com/perfume/Parfums-de-Marly/Cassili-54660.html,EXACT_PERFUME_BRAND_TEXT,1.0000,1.0000,PASS
151-PARF,2229,Delina,VERIFIED,EXACT_PERFUME_BRAND_TEXT,43871,Parfums de Marly,Delina,https://www.fragrantica.com/perfume/Parfums-de-Marly/Delina-43871.html,EXACT_PERFUME_BRAND_TEXT,1.0000,1.0000,PASS
152-PARF,2057,Delina Exclusif,VERIFIED,EXACT_PERFUME_BRAND_TEXT,50370,Parfums de Marly,Delina Exclusif,https://www.fragrantica.com/perfume/Parfums-de-Marly/Delina-Exclusif-50370.html,EXACT_PERFUME_BRAND_TEXT,1.0000,1.0000,PASS
