shobi_code,shobi_name,match_name,shobi_brand,inferred_brand,brand_source,classification,candidate_count,cand1_id,cand1_brand,cand1_name,cand1_url,cand1_score,cand1_name_score,cand1_brand_score,cand1_recall,cand1_precision,cand1_seq,cand2_id,cand2_brand,cand2_name,cand2_url,cand2_score,cand2_name_score,cand2_brand_score,cand2_recall,cand2_precision,cand2_seq,cand3_id,cand3_brand,cand3_name,cand3_url,cand3_score,cand3_name_score,cand3_brand_score,cand3_recall,cand3_precision,cand3_seq,cand4_id,cand4_brand,cand4_name,cand4_url,cand4_score,cand4_name_score,cand4_brand_score,cand4_recall,cand4_precision,cand4_seq,cand5_id,cand5_brand,cand5_name,cand5_url,cand5_score,cand5_name_score,cand5_brand_score,cand5_recall,cand5_precision,cand5_seq
570-DOL,(RED CUP),,,Dolce Gabbana,verified_suffix,NO_CANDIDATE,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
904-SALV,SALVADOR DALI fragrances,SALVADOR DALI fragrances,,,,NO_CANDIDATE,4,102201,Badr Harqan,Salvador,https://www.fragrantica.com/perfume/Badr-Harqan/Salvador-102201.html,0.5000,0.5000,0.0000,0.3333,1.0000,0.5000,117565,Contes de Parfums,Salvador da Bahia Alexandra Carlin,https://www.fragrantica.com/perfume/Contes-de-Parfums/Salvador-da-Bahia-Alexandra-Carlin-117565.html,0.4828,0.4828,0.0000,0.3333,0.2000,0.4828,3613,Lancome,Peut Etre La Collection Fragrances,https://www.fragrantica.com/perfume/Lancome/Peut-Etre-La-Collection-Fragrances-3613.html,0.4828,0.4828,0.0000,0.3333,0.2000,0.4828,21363,Zara,Zara Man Exclusive Fragrances Cologne,https://www.fragrantica.com/perfume/Zara/Zara-Man-Exclusive-Fragrances-Cologne-21363.html,0.4262,0.4262,0.0000,0.3333,0.3333,0.4262,,,,,,,,,,
1526-AL HAR,MUKHALLAT AL EMIRATES,MUKHALLAT AL EMIRATES,,Al Haramain Perfumes,verified_suffix,WEAK_REVIEW,221,3903,Al Haramain Perfumes,Mukhallath Al Quds,https://www.fragrantica.com/perfume/Al-Haramain-Perfumes/Mukhallath-Al-Quds-3903.html,0.7800,0.7179,1.0000,0.3333,0.3333,0.7179,37437,Al Haramain Perfumes,Mukhallath Asala,https://www.fragrantica.com/perfume/Al-Haramain-Perfumes/Mukhallath-Asala-37437.html,0.7681,0.7027,1.0000,0.0000,0.0000,0.7027,19609,Al Haramain Perfumes,Mukhallath Al Sultan,https://www.fragrantica.com/perfume/Al-Haramain-Perfumes/Mukhallath-Al-Sultan-19609.html,0.7527,0.6829,1.0000,0.3333,0.3333,0.6829,19831,Al Haramain Perfumes,Khaltat Al Maha,https://www.fragrantica.com/perfume/Al-Haramain-Perfumes/Khaltat-Al-Maha-19831.html,0.7400,0.6667,1.0000,0.3333,0.3333,0.6667,19833,Al Haramain Perfumes,Mukhallath Al Manasek,https://www.fragrantica.com/perfume/Al-Haramain-Perfumes/Mukhallath-Al-Manasek-19833.html,0.7400,0.6667,1.0000,0.3333,0.3333,0.6667
2098-MIC,Twilight Shimmer,Twilight Shimmer,,,,WEAK_REVIEW,60,53279,Zara,Twilight Mauve Summer,https://www.fragrantica.com/perfume/Zara/Twilight-Mauve-Summer-53279.html,0.7568,0.7568,0.0000,0.5000,0.3333,0.7568,36909,Zara,Twilight Mauve,https://www.fragrantica.com/perfume/Zara/Twilight-Mauve-36909.html,0.7333,0.7333,0.0000,0.5000,0.5000,0.7333,132138,Daniel s Truth,Twilight Dew,https://www.fragrantica.com/perfume/Daniel-s-Truth/Twilight-Dew-132138.html,0.7143,0.7143,0.0000,0.5000,0.5000,0.7143,121951,Aura Fragrances,Twilight Elixir,https://www.fragrantica.com/perfume/Aura-Fragrances/Twilight-Elixir-121951.html,0.7097,0.7097,0.0000,0.5000,0.5000,0.7097,35110,Demeter Fragrance,Twilight Orchid,https://www.fragrantica.com/perfume/Demeter-Fragrance/Twilight-Orchid-35110.html,0.7097,0.7097,0.0000,0.5000,0.5000,0.7097
2178-MON,pour Homme,pour Homme,,,,WEAK_REVIEW,3970,117993,Amoret,Pour Homme,https://www.fragrantica.com/perfume/Amoret/Pour-Homme-117993.html,1.0000,1.0000,0.0000,0.0000,0.0000,1.0000,87309,Camille Rochelle,Pour Homme,https://www.fragrantica.com/perfume/Camille-Rochelle/Pour-Homme-87309.html,1.0000,1.0000,0.0000,0.0000,0.0000,1.0000,82184,Avon,A Pour Homme,https://www.fragrantica.com/perfume/Avon/A-Pour-Homme-82184.html,0.9600,0.9600,0.0000,0.0000,0.0000,0.9091,14889,Lancome,O pour Homme,https://www.fragrantica.com/perfume/Lancome/O-pour-Homme-14889.html,0.9600,0.9600,0.0000,0.0000,0.0000,0.9091,85998,The Dua Brand,D Pour Homme,https://www.fragrantica.com/perfume/The-Dua-Brand/D-Pour-Homme-85998.html,0.9600,0.9600,0.0000,0.0000,0.0000,0.9091
2552-SOR,NIGHT HORSE,NIGHT HORSE,,,,WEAK_REVIEW,296,86417,The Dua Brand,Night Rosa,https://www.fragrantica.com/perfume/The-Dua-Brand/Night-Rosa-86417.html,0.7619,0.7619,0.0000,0.5000,0.5000,0.7619,40550,Avon,Night Odyssey,https://www.fragrantica.com/perfume/Avon/Night-Odyssey-40550.html,0.7500,0.7500,0.0000,0.5000,0.5000,0.7500,136517,Deux Trois,Night Rider,https://www.fragrantica.com/perfume/Deux-Trois/Night-Rider-136517.html,0.7273,0.7273,0.0000,0.5000,0.5000,0.7273,58746,Al Rehab,White Horse,https://www.fragrantica.com/perfume/Al-Rehab/White-Horse-58746.html,0.7273,0.7273,0.0000,0.5000,0.5000,0.7273,93132,Dar Hamad Perfumes,Night Oud,https://www.fragrantica.com/perfume/Dar-Hamad-Perfumes/Night-Oud-93132.html,0.7000,0.7000,0.0000,0.5000,0.5000,0.7000
2586-DIP,Biscuit DIP,Biscuit DIP,,Diptyque,verified_suffix,NO_CANDIDATE,61,82763,Diptyque,Ilio Limited Edition,https://www.fragrantica.com/perfume/Diptyque/Ilio-Limited-Edition-82763.html,0.5219,0.3871,1.0000,0.0000,0.0000,0.3871,96742,Diptyque,Bois Corse,https://www.fragrantica.com/perfume/Diptyque/Bois-Corse-96742.html,0.5171,0.3810,1.0000,0.0000,0.0000,0.3810,55615,Diptyque,Philosykos Limited Edition,https://www.fragrantica.com/perfume/Diptyque/Philosykos-Limited-Edition-55615.html,0.5151,0.3784,1.0000,0.0000,0.0000,0.3784,90244,Diptyque,Do Son Limited Edition,https://www.fragrantica.com/perfume/Diptyque/Do-Son-Limited-Edition-90244.html,0.5036,0.3636,1.0000,0.0000,0.0000,0.3636,3830,Diptyque,Eau d Elide,https://www.fragrantica.com/perfume/Diptyque/Eau-d-Elide-3830.html,0.5036,0.3636,1.0000,0.0000,0.0000,0.3636
2701-DIP,Cafe Verlet,Cafe Verlet,,Diptyque,verified_suffix,NO_CANDIDATE,75,3835,Diptyque,L Eau de Neroli,https://www.fragrantica.com/perfume/Diptyque/L-Eau-de-Neroli-3835.html,0.5800,0.4615,1.0000,0.0000,0.0000,0.4615,8777,Diptyque,Vinaigre de Toilette,https://www.fragrantica.com/perfume/Diptyque/Vinaigre-de-Toilette-8777.html,0.5723,0.4516,1.0000,0.0000,0.0000,0.4516,3832,Diptyque,L Autre Eau de Toilette,https://www.fragrantica.com/perfume/Diptyque/L-Autre-Eau-de-Toilette-3832.html,0.5412,0.4118,1.0000,0.0000,0.0000,0.4118,6500,Diptyque,Eau de Lierre Eau de Toilette,https://www.fragrantica.com/perfume/Diptyque/Eau-de-Lierre-Eau-de-Toilette-6500.html,0.5320,0.4000,1.0000,0.0000,0.0000,0.4000,24917,Diptyque,Eau de Lavande,https://www.fragrantica.com/perfume/Diptyque/Eau-de-Lavande-24917.html,0.5320,0.4000,1.0000,0.0000,0.0000,0.4000
2773-RIT,The Rituals of Mehr,The Rituals of Mehr,,,,WEAK_REVIEW,485,12856,Bonny Doon Farm,The Spirits of Lavender,https://www.fragrantica.com/perfume/Bonny-Doon-Farm/The-Spirits-of-Lavender-12856.html,0.6667,0.6667,0.0000,0.3333,0.3333,0.6667,111767,Goldfield Banks Australia,Tales of Amber,https://www.fragrantica.com/perfume/Goldfield-Banks-Australia/Tales-of-Amber-111767.html,0.6667,0.6667,0.0000,0.3333,0.3333,0.6667,112663,Aeronot,The Cabinet of Leather,https://www.fragrantica.com/perfume/Aeronot/The-Cabinet-of-Leather-112663.html,0.6341,0.6341,0.0000,0.3333,0.3333,0.6341,86643,The Dua Brand,The Taste of Orange,https://www.fragrantica.com/perfume/The-Dua-Brand/The-Taste-of-Orange-86643.html,0.6316,0.6316,0.0000,0.3333,0.3333,0.6316,90835,Gucci,The Heart of Leo,https://www.fragrantica.com/perfume/Gucci/The-Heart-of-Leo-90835.html,0.6286,0.6286,0.0000,0.3333,0.3333,0.6286
2816-MOOD,Blonde Maracuja Mood London,Blonde Maracuja Mood London,,,,NO_CANDIDATE,70,36496,Natura,Frescor de Maracuja Roxo,https://www.fragrantica.com/perfume/Natura/Frescor-de-Maracuja-Roxo-36496.html,0.5882,0.5882,0.0000,0.2500,0.3333,0.5882,85846,The Dua Brand,Blonde Tabacum,https://www.fragrantica.com/perfume/The-Dua-Brand/Blonde-Tabacum-85846.html,0.5854,0.5854,0.0000,0.2500,0.5000,0.5854,86435,The Dua Brand,Once Upon a Time in London,https://www.fragrantica.com/perfume/The-Dua-Brand/Once-Upon-a-Time-in-London-86435.html,0.5660,0.5660,0.0000,0.2500,0.2000,0.5660,83842,Maison Crivelli,Oud Maracuja,https://www.fragrantica.com/perfume/Maison-Crivelli/Oud-Maracuja-83842.html,0.5641,0.5641,0.0000,0.2500,0.5000,0.5641,34406,Natura,Frescor de Maracuja Rosa,https://www.fragrantica.com/perfume/Natura/Frescor-de-Maracuja-Rosa-34406.html,0.5490,0.5490,0.0000,0.2500,0.3333,0.5490
