shobi_code,prestashop_product_id,shobi_inspired_by,classification,reason,match_type,corpus_status,candidate_count,candidate_fids,candidate_urls,refined_status,refined_candidates,refined_urls
130-LEL,1949,SANTAL 26 - LE LABO,NOT_FOUND,NO_FOUND_ID_FOR_CODE,EXACT_NAME_MULTIPLE_CANDIDATES,NO_MATCH,0,,,REFINED_REVIEW,8801:0.940|40205:0.940|75424:0.940|68873:0.940|56395:0.940,https://www.fragrantica.com/perfume/DS-Durga/-8801.html|https://www.fragrantica.com/perfume/L-Artisan-Parfumeur/Santal-40205.html|https://www.fragrantica.com/perfume/Toskovat/A-75424.html|https://www.fragrantica.com/perfume/Abaco-Paris/Labo-68873.html|https://www.fragrantica.com/perfume/Ajmal/Santal-56395.html
184-YAS,,HUBOOB,NOT_FOUND,NO_CORPUS_CODE_MATCH,,NO_MATCH,0,,,REFINED_REVIEW,8801:0.940|9790:0.940|9791:0.940|6468:0.940|17167:0.940,https://www.fragrantica.com/perfume/DS-Durga/-8801.html|https://www.fragrantica.com/perfume/Adolfo-Dominguez/U-9790.html|https://www.fragrantica.com/perfume/Adolfo-Dominguez/U-9791.html|https://www.fragrantica.com/perfume/Agustin-Davila/Hub-6468.html|https://www.fragrantica.com/perfume/Agustin-Davila/Hub-17167.html
200-CIR,,ERNESTO CHE GUEVARA,NOT_FOUND,NO_FOUND_ID_FOR_CODE,,NO_MATCH,0,,,REFINED_REVIEW,1734:0.940|8801:0.940|56381:0.940|771:0.940|75424:0.940,https://www.fragrantica.com/perfume/Carolina-Herrera/CH-1734.html|https://www.fragrantica.com/perfume/DS-Durga/-8801.html|https://www.fragrantica.com/perfume/Lush/V-56381.html|https://www.fragrantica.com/perfume/Valentino/V-771.html|https://www.fragrantica.com/perfume/Toskovat/A-75424.html
222-DIP,1125,AMBRE,NOT_FOUND,NO_FOUND_ID_FOR_CODE,EXACT_NAME_MULTIPLE_CANDIDATES,NO_MATCH,0,,,HOME_NO_PERFUME,,
223-DIP,1126,BAIES,NOT_FOUND,NO_FOUND_ID_FOR_CODE,,NO_MATCH,0,,,HOME_NO_PERFUME,,
227-DIP,1130,FEU DE BOIS / WOOD FIRE,NOT_FOUND,NO_FOUND_ID_FOR_CODE,,NO_MATCH,0,,,HOME_NO_PERFUME,,
228-DIP,1131,FEUILLE DE LAVANDE,NOT_FOUND,NO_FOUND_ID_FOR_CODE,,NO_MATCH,0,,,HOME_NO_PERFUME,,
230-DIP,1133,OPOPANAX,NOT_FOUND,NO_FOUND_ID_FOR_CODE,,NO_MATCH,0,,,HOME_NO_PERFUME,,
258-JOM,1164,GREEN TOMATO LEAF - JO MALONE,NOT_FOUND,NO_FOUND_ID_FOR_CODE,,NO_MATCH,0,,,REFINED_REVIEW,3574:0.940|15240:0.940|8801:0.940|14919:0.940|14918:0.940,https://www.fragrantica.com/perfume/Byredo/Green-3574.html|https://www.fragrantica.com/perfume/Comme-des-Garcons/Green-15240.html|https://www.fragrantica.com/perfume/DS-Durga/-8801.html|https://www.fragrantica.com/perfume/Demeter-Fragrance/Green-Tomato-14919.html|https://www.fragrantica.com/perfume/Demeter-Fragrance/Tomato-14918.html
261-JOM,1167,INCENSE & EMBERS - JO MALONE,NOT_FOUND,NO_FOUND_ID_FOR_CODE,,NO_MATCH,0,,,REFINED_REVIEW,8801:0.940|12188:0.940|75424:0.940|56391:0.940|110053:0.940,https://www.fragrantica.com/perfume/DS-Durga/-8801.html|https://www.fragrantica.com/perfume/Demeter-Fragrance/Incense-12188.html|https://www.fragrantica.com/perfume/Toskovat/A-75424.html|https://www.fragrantica.com/perfume/Ajmal/Incense-56391.html|https://www.fragrantica.com/perfume/Al-Mu-Attar/Embers-110053.html
