shobi_code,prestashop_product_id,shobi_inspired_by,recovery_class,candidate_ids,candidate_evidence
130-LEL,1949,SANTAL 26 - LE LABO,NO_CANDIDATE,,
184-YAS,,HUBOOB,NO_CANDIDATE,,
185-AL HAR,2111,Red African,NO_CANDIDATE,,
200-CIR,,ERNESTO CHE GUEVARA,NO_CANDIDATE,,
202-CLIV,,No. 1 FOR WOMEN,NO_CANDIDATE,,
222-DIP,1125,AMBRE,NO_CANDIDATE,,
223-DIP,1126,BAIES,NO_CANDIDATE,,
227-DIP,1130,FEU DE BOIS / WOOD FIRE,NO_CANDIDATE,,
228-DIP,1131,FEUILLE DE LAVANDE,NO_CANDIDATE,,
230-DIP,1133,OPOPANAX,NO_CANDIDATE,,
258-JOM,1164,GREEN TOMATO LEAF - JO MALONE,NO_CANDIDATE,,
261-JOM,1167,INCENSE & EMBERS - JO MALONE,NO_CANDIDATE,,
289-JOM,1190,SWEET ALMON & MACARRON - JO MALONE,NO_CANDIDATE,,
310-MIL,,FEUILLES DE TABAC,NO_CANDIDATE,,
311-MOL,1208,amber cocoon-mol,NO_CANDIDATE,,
313-MOL,1210,thai vert-mol,NO_CANDIDATE,,
314-MOL,1904,ZIAO JAO - MOLTON BROWN,NO_CANDIDATE,,
326-PECK,1221,CALM - PECKSNIFF'S,NO_CANDIDATE,,
330-PG,,ORIENTAL BLOSSOM,NO_CANDIDATE,,
331-PG,,CRYSTAL WATER & WATER LILY,NO_CANDIDATE,,
334-SHI,,SHIRLEY MAY,NO_CANDIDATE,,
335-THCO,1231,CASHMERE BLANC - THE WHITE COMPANY,NO_CANDIDATE,,
336-THCO,1232,NARCISSUS NOIR - THE WHITE COMPANY,NO_CANDIDATE,,
362-TMFO,,ORCHID SOLEIL,NO_CANDIDATE,,
379-YAN,1263,CLEAN COTTON - YANKEE CANDLES,NO_CANDIDATE,,
380-YAN,1264,FALL FESTIVAL - YANKEE CANDLES,NO_CANDIDATE,,
381-YAN,1265,FRESH CUT ROSES - YANKEE CANDLES,NO_CANDIDATE,,
382-YAN,1266,POMEGRANATE CIDER - YANKEE CANDLES,NO_CANDIDATE,,
383-YAN,2105,WEDDING DAY - YANKEE,NO_CANDIDATE,,
387-,,CIGAR,NO_CANDIDATE,,
420-BRB,,BRIT RHYTHM FOR HER FLORAL,NO_CANDIDATE,,
456-CAC,,AMOR AMOR FORBIDDEN KISS,NO_CANDIDATE,,
491-CRT,,MUST DE CARTIER GOLD,NO_CANDIDATE,,
553-DOL,,DOLCE,NO_CANDIDATE,,
564-DOL,1937,SEXY CHOCLATE,NO_CANDIDATE,,
720-GUL,,CLASSIQUE,NO_CANDIDATE,,
728-JES,,IN BLACK,NO_CANDIDATE,,
876-PRA,,INFUSION D'AMANDE,NO_CANDIDATE,,
877-PRA,,INFUSION DE FLEUR D'ORANGER,NO_CANDIDATE,,
