shobi_code,prestashop_product_id,shobi_inspired_by,classification,reason,match_type
130-LEL,1949,SANTAL 26 - LE LABO,NOT_FOUND,NO_FOUND_ID_FOR_CODE,EXACT_NAME_MULTIPLE_CANDIDATES
184-YAS,,HUBOOB,NOT_FOUND,NO_CORPUS_CODE_MATCH,
185-AL HAR,2111,Red African,NOT_FOUND,NO_CORPUS_CODE_MATCH,
200-CIR,,ERNESTO CHE GUEVARA,NOT_FOUND,NO_FOUND_ID_FOR_CODE,
202-CLIV,,No. 1 FOR WOMEN,NOT_FOUND,NO_CORPUS_CODE_MATCH,
222-DIP,1125,AMBRE,NOT_FOUND,NO_FOUND_ID_FOR_CODE,EXACT_NAME_MULTIPLE_CANDIDATES
223-DIP,1126,BAIES,NOT_FOUND,NO_FOUND_ID_FOR_CODE,
227-DIP,1130,FEU DE BOIS / WOOD FIRE,NOT_FOUND,NO_FOUND_ID_FOR_CODE,
228-DIP,1131,FEUILLE DE LAVANDE,NOT_FOUND,NO_FOUND_ID_FOR_CODE,
230-DIP,1133,OPOPANAX,NOT_FOUND,NO_FOUND_ID_FOR_CODE,
258-JOM,1164,GREEN TOMATO LEAF - JO MALONE,NOT_FOUND,NO_FOUND_ID_FOR_CODE,
261-JOM,1167,INCENSE & EMBERS - JO MALONE,NOT_FOUND,NO_FOUND_ID_FOR_CODE,
289-JOM,1190,SWEET ALMON & MACARRON - JO MALONE,NOT_FOUND,NO_FOUND_ID_FOR_CODE,
310-MIL,,FEUILLES DE TABAC,NOT_FOUND,NO_CORPUS_CODE_MATCH,
311-MOL,1208,amber cocoon-mol,NOT_FOUND,NO_FOUND_ID_FOR_CODE,
313-MOL,1210,thai vert-mol,NOT_FOUND,NO_FOUND_ID_FOR_CODE,
314-MOL,1904,ZIAO JAO - MOLTON BROWN,NOT_FOUND,NO_FOUND_ID_FOR_CODE,
326-PECK,1221,CALM - PECKSNIFF'S,NOT_FOUND,NO_FOUND_ID_FOR_CODE,
330-PG,,ORIENTAL BLOSSOM,NOT_FOUND,NO_FOUND_ID_FOR_CODE,
331-PG,,CRYSTAL WATER & WATER LILY,NOT_FOUND,NO_FOUND_ID_FOR_CODE,
334-SHI,,SHIRLEY MAY,NOT_FOUND,NO_FOUND_ID_FOR_CODE,
335-THCO,1231,CASHMERE BLANC - THE WHITE COMPANY,NOT_FOUND,NO_FOUND_ID_FOR_CODE,
336-THCO,1232,NARCISSUS NOIR - THE WHITE COMPANY,NOT_FOUND,NO_FOUND_ID_FOR_CODE,
362-TMFO,,ORCHID SOLEIL,NOT_FOUND,NO_CORPUS_CODE_MATCH,
379-YAN,1263,CLEAN COTTON - YANKEE CANDLES,NOT_FOUND,NO_FOUND_ID_FOR_CODE,
380-YAN,1264,FALL FESTIVAL - YANKEE CANDLES,NOT_FOUND,NO_FOUND_ID_FOR_CODE,
381-YAN,1265,FRESH CUT ROSES - YANKEE CANDLES,NOT_FOUND,NO_FOUND_ID_FOR_CODE,
382-YAN,1266,POMEGRANATE CIDER - YANKEE CANDLES,NOT_FOUND,NO_FOUND_ID_FOR_CODE,
383-YAN,2105,WEDDING DAY - YANKEE,NOT_FOUND,NO_FOUND_ID_FOR_CODE,
387-,,CIGAR,NOT_FOUND,NO_CORPUS_CODE_MATCH,
420-BRB,,BRIT RHYTHM FOR HER FLORAL,NOT_FOUND,NO_CORPUS_CODE_MATCH,
456-CAC,,AMOR AMOR FORBIDDEN KISS,NOT_FOUND,NO_CORPUS_CODE_MATCH,
491-CRT,,MUST DE CARTIER GOLD,NOT_FOUND,NO_CORPUS_CODE_MATCH,
553-DOL,,DOLCE,NOT_FOUND,NO_CORPUS_CODE_MATCH,
564-DOL,1937,SEXY CHOCLATE,NOT_FOUND,NO_FOUND_ID_FOR_CODE,
720-GUL,,CLASSIQUE,NOT_FOUND,NO_CORPUS_CODE_MATCH,
728-JES,,IN BLACK,NOT_FOUND,NO_CORPUS_CODE_MATCH,
876-PRA,,INFUSION D'AMANDE,NOT_FOUND,NO_CORPUS_CODE_MATCH,
877-PRA,,INFUSION DE FLEUR D'ORANGER,NOT_FOUND,NO_CORPUS_CODE_MATCH,
900-ROG,,FLEUR DE FIGUIER,NOT_FOUND,NO_CORPUS_CODE_MATCH,
995-ZAR,,POUR FEMME,NOT_FOUND,NO_CORPUS_CODE_MATCH,
1000-ADO,,AGUA FRESCA,NOT_FOUND,NO_CORPUS_CODE_MATCH,
1001-ANT,,KING OF SEDUCTION,NOT_FOUND,NO_CORPUS_CODE_MATCH,
1044-CAL,,ETERNITY,NOT_FOUND,NO_CORPUS_CODE_MATCH,
1076-DRC,,FAHRENEIT,NOT_FOUND,NO_CORPUS_CODE_MATCH,
1081-DRC,,HOMME EAU,NOT_FOUND,NO_CORPUS_CODE_MATCH,
1121-GFE,,FERRE MAN,NOT_FOUND,NO_CORPUS_CODE_MATCH,
1196-LAC,,L.12.12 MAGNETIC,NOT_FOUND,NO_CORPUS_CODE_MATCH,
1220-MOS,,Toy,NOT_FOUND,NO_CORPUS_CODE_MATCH,
1244-PRA,,PRADA AMBER POUR HOMME,NOT_FOUND,NO_CORPUS_CODE_MATCH,
1486-TRU,,TRUSSARDI UOMO,NOT_FOUND,NO_CORPUS_CODE_MATCH,
1489-DAV,,HORIZON,NOT_FOUND,NO_CORPUS_CODE_MATCH,
1491-CAL,,OBSESSED FOR MEN,NOT_FOUND,NO_CORPUS_CODE_MATCH,
1494-BOD,,RED MUSK OUD,NOT_FOUND,NO_CORPUS_CODE_MATCH,
1523-AFN,,DEHN AL OUDH ABIYAD,NOT_FOUND,NO_CORPUS_CODE_MATCH,
1526-AL HAR,,MUKHALLAT AL EMIRATES,NOT_FOUND,NO_CORPUS_CODE_MATCH,
1534-SWI,,SWISS ARMY VICTORINOX,NOT_FOUND,NO_CORPUS_CODE_MATCH,
1550-YAN,2331,HOME SWEET HOME - YANKEE,NOT_FOUND,NO_FOUND_ID_FOR_CODE,
1628-AL HAR,,WARDIA,NOT_FOUND,NO_CORPUS_CODE_MATCH,
1629-AL HAR,,MUSK MALIKI,NOT_FOUND,NO_CORPUS_CODE_MATCH,
1636-KIL,,PEARL OUD,NOT_FOUND,NO_CORPUS_CODE_MATCH,
1644-DRC,,SAUVAGE ELIXIR,NOT_FOUND,NO_CORPUS_CODE_MATCH,
1649-GIV,,L INTERDIT INTENSE,NOT_FOUND,NO_CORPUS_CODE_MATCH,
1748-BYR,2602,Marijuana,NOT_FOUND,NO_FOUND_ID_FOR_CODE,
1767-LTN,,ATTRAPE REVES,NOT_FOUND,NO_CORPUS_CODE_MATCH,
1781-LAC,,TOUCH OF SUN,NOT_FOUND,NO_CORPUS_CODE_MATCH,
1783-AL HAR,,SULTAN,NOT_FOUND,NO_CORPUS_CODE_MATCH,
1808-LTN,,MILLE FEUX,NOT_FOUND,NO_CORPUS_CODE_MATCH,
1869-DOL,,BY,NOT_FOUND,NO_CORPUS_CODE_MATCH,
1950-SWISA,,AL AMAKEN,NOT_FOUND,NO_CORPUS_CODE_MATCH,
1955-LAP,,CELLULAR ENERGIZING,NOT_FOUND,NO_CORPUS_CODE_MATCH,
2085-CLIV,3455,X NEROLI LIMITED EDITION - CLIVE CHRISTIAN,NOT_FOUND,NO_FOUND_ID_FOR_CODE,
2106-MARC,,B683,NOT_FOUND,NO_CORPUS_CODE_MATCH,
2133-FRE,3567,Lipstick Rose Eau de Parfum,NOT_FOUND,NO_CORPUS_CODE_MATCH,
2172-SWISA,,KASHKHA,NOT_FOUND,NO_CORPUS_CODE_MATCH,
2173-ANFAD,,SUKAR,NOT_FOUND,NO_CORPUS_CODE_MATCH,
2189-ARM,,STRONGER WITH YOU OUD,NOT_FOUND,NO_CORPUS_CODE_MATCH,
2220-AL HAR,,HAYATI,NOT_FOUND,NO_CORPUS_CODE_MATCH,
2256-GIV,,VERY IRRESISTIBLE,NOT_FOUND,NO_CORPUS_CODE_MATCH,
2282-DRC,3915,Dioriviera Eau de Parfum,NOT_FOUND,NO_CORPUS_CODE_MATCH,
2313-DRC,,SAUVAGE PARFUM 2019,NOT_FOUND,NO_CORPUS_CODE_MATCH,
2331-DOL,,THE ONE MYSTERIOUS NIGHT,NOT_FOUND,NO_CORPUS_CODE_MATCH,
2438-KYLJE,,COSMIC,NOT_FOUND,NO_CORPUS_CODE_MATCH,
2514-DRC,4215,Sauvage Eau Forte,NOT_FOUND,NO_CORPUS_CODE_MATCH,
2586-DIP,4367,Biscuit DIP,NOT_FOUND,NO_FOUND_ID_FOR_CODE,
2701-DIP,4640,Cafe Verlet,NOT_FOUND,NO_FOUND_ID_FOR_CODE,
2816-MOOD,5083,Blonde Maracuja Mood London,NOT_FOUND,NO_FOUND_ID_FOR_CODE,CONFIRMED_MAPPING_ONLY
,2688,Danat Al Duniya Eau de Parfum,NOT_FOUND,NO_CORPUS_CODE_MATCH,
-HUG,,HUGO MAN,NOT_FOUND,NO_CORPUS_CODE_MATCH,
