prestashop_product_id,shobi_code,shobi_name,reference,reference_prefix,inspired_by,category,price_from_eur,official_description,url,first_seen,last_seen,status,classification_rule,source
5117,2849-STE,2849-STE N,AR612,AR,HARRODS RUBY NAGA,Niche Perfumes,15.0,"2849-STE Inspired by the fragrance notes of HARRODS RUBY NAGA. Unisex perfume with fruity, floral, sweet, vanilla and amber notes.",https://leparfum.com.gr/en/niche-perfumes/2849-ste-n,2026-08-20,2026-08-20,ACTIVE,Choose+Bottle+Extra Essence,SHOBI_LIVE_SHOW_ALL
5116,2848-PRFRO,2848-PRFRO N,AR611,AR,VANITAS,Niche Perfumes,15.0,"2848-PRFRO Inspired by the fragrance notes of VANITAS. Unisex perfume with vanilla, sweet, balsamic, floral and woody notes.",https://leparfum.com.gr/en/niche-perfumes/2848-prfro-n,2026-08-20,2026-08-20,ACTIVE,Choose+Bottle+Extra Essence,SHOBI_LIVE_SHOW_ALL
5115,2847-NISH,2847-NISH N,AR610,AR,HUNDRED SILENT WAYS X,Niche Perfumes,15.0,"2847-NISH Inspired by the fragrance notes of HUNDRED SILENT WAYS X. Unisex perfume with floral, gourmand, leathery, vanilla and fruity notes.",https://leparfum.com.gr/en/niche-perfumes/2847-nish-n,2026-08-20,2026-08-20,ACTIVE,Choose+Bottle+Extra Essence,SHOBI_LIVE_SHOW_ALL
5114,2846-MIN,2846-MIN N,AR609,AR,COUNTER PLAY,Niche Perfumes,15.0,"2846-MIN Inspired by the fragrance notes of COUNTER PLAY. Unisex perfume with fruity, tropical, floral, woody and sweet notes.",https://leparfum.com.gr/en/niche-perfumes/2846-min-n,2026-08-20,2026-08-20,ACTIVE,Choose+Bottle+Extra Essence,SHOBI_LIVE_SHOW_ALL
5113,2845-LUS,2845-LUS,EL473,EL,WE BELIEVE IN GLINDA,Elegants Fragrances,10.0,"2845-LUS Inspired by the fragrance notes of WE BELIEVE IN GLINDA. Unisex perfume with powdery, floral, violet, vanilla and almond notes.",https://leparfum.com.gr/en/elegants-fragrances/2845-lus,2026-08-20,2026-08-20,ACTIVE,Choose+Bottle+Extra Essence,SHOBI_LIVE_SHOW_ALL
5112,2844-LUS,2844-LUS,EL472,EL,BLACK PEARL,Elegants Fragrances,10.0,"2844-LUS Inspired by the fragrance notes of BLACK PEARL. Unisex perfume with aromatic, herbal, floral, resinous and amber notes.",https://leparfum.com.gr/en/elegants-fragrances/2844-lus,2026-08-20,2026-08-20,ACTIVE,Choose+Bottle+Extra Essence,SHOBI_LIVE_SHOW_ALL
5111,2843-LEL,2843-LEL N,AR608,AR,LABDANUM 18,Niche Perfumes,15.0,"2843-LEL Inspired by the fragrance notes of LABDANUM 18. Unisex perfume with amber, musky, resinous, vanilla and warm spicy notes.",https://leparfum.com.gr/en/niche-perfumes/2843-lel-n,2026-08-20,2026-08-20,ACTIVE,Choose+Bottle+Extra Essence,SHOBI_LIVE_SHOW_ALL
5110,2842-KYLJ,2842-KYLJ W,WP883,WP,VANILLA DEW,Fragrances For Women,9.0,"2842-KYLJ Inspired by the fragrance notes of VANILLA DEW. Women's perfume with creamy, vanilla, milky, floral and almond notes.",https://leparfum.com.gr/en/fragrances-for-women/2842-kylj-w,2026-08-20,2026-08-20,ACTIVE,Choose+Bottle+Extra Essence,SHOBI_LIVE_SHOW_ALL
5109,2841-KYLJ,2841-KYLJ W,WP882,WP,SWEET ECLAIRE,Fragrances For Women,9.0,"2841-KYLJ Inspired by the fragrance notes of SWEET ECLAIRE. Women's perfume with gourmand, chocolate, vanilla, sweet and woody amber notes.",https://leparfum.com.gr/en/fragrances-for-women/2841-kylj-w,2026-08-20,2026-08-20,ACTIVE,Choose+Bottle+Extra Essence,SHOBI_LIVE_SHOW_ALL
5108,2840-KYLJ,2840-KYLJ W,WP881,WP,CARAMEL CLOUD,Fragrances For Women,9.0,"2840-KYLJ Inspired by the fragrance notes of CARAMEL CLOUD. Women's perfume with gourmand, caramel, vanilla, nutty and sweet notes.",https://leparfum.com.gr/en/fragrances-for-women/2840-kylj-w,2026-08-20,2026-08-20,ACTIVE,Choose+Bottle+Extra Essence,SHOBI_LIVE_SHOW_ALL
5107,2839-JUL,2839-JUL N,AR607,AR,POWDER LOVE,Niche Perfumes,15.0,"2839-JUL Inspired by the fragrance notes of POWDER LOVE. Unisex perfume with powdery, gourmand, sweet, musky and soft floral notes.",https://leparfum.com.gr/en/niche-perfumes/2839-jul-n,2026-08-20,2026-08-20,ACTIVE,Choose+Bottle+Extra Essence,SHOBI_LIVE_SHOW_ALL
5106,2838-JIM,2838-JIM W,WP880,WP,I WANT CHOO WITH LOVE,Fragrances For Women,9.0,"2838-JIM Inspired by the fragrance notes of I WANT CHOO WITH LOVE. Women's perfume with floral, fruity, sweet, rosy and musky notes.",https://leparfum.com.gr/en/fragrances-for-women/2838-jim-w,2026-08-20,2026-08-20,ACTIVE,Choose+Bottle+Extra Essence,SHOBI_LIVE_SHOW_ALL
5105,2837-GUL,2837-GUL MP,MP404,MP,SCANDAL POUR HOMME ELIXIR,Fragrances For Men,9.0,"2837-GUL Inspired by the fragrance notes of SCANDAL POUR HOMME ELIXIR. Men's perfume with fruity, sweet, woody, aromatic and warm spicy notes.",https://leparfum.com.gr/en/fragrances-for-men/2837-gul-mp,2026-08-20,2026-08-20,ACTIVE,Choose+Bottle+Extra Essence,SHOBI_LIVE_SHOW_ALL
5104,2836-FRA,2836-FRA N,AR606,AR,MADNESS,Niche Perfumes,15.0,"2836-FRA Inspired by the fragrance notes of MADNESS. Unisex perfume with gourmand, coconut, vanilla, woody and amber notes.",https://leparfum.com.gr/en/niche-perfumes/2836-fra-n,2026-08-20,2026-08-20,ACTIVE,Choose+Bottle+Extra Essence,SHOBI_LIVE_SHOW_ALL
5103,2835-BORN,2835-BORN N,AR605,AR,PURPLE STAIN,Niche Perfumes,15.0,"2835-BORN Inspired by the fragrance notes of PURPLE STAIN. Unisex perfume with warm spicy, sweet, woody, balsamic and oud notes.",https://leparfum.com.gr/en/niche-perfumes/2835-born-n,2026-08-20,2026-08-20,ACTIVE,Choose+Bottle+Extra Essence,SHOBI_LIVE_SHOW_ALL
5102,2834-AMG,2834-AMG N,AR604,AR,SINDBAD,Niche Perfumes,15.0,"2834-AMG Inspired by the fragrance notes of SINDBAD. Unisex perfume with woody, spicy, fruity, sweet and gourmand notes.",https://leparfum.com.gr/en/niche-perfumes/2834-amg-n,2026-08-20,2026-08-20,ACTIVE,Choose+Bottle+Extra Essence,SHOBI_LIVE_SHOW_ALL
5101,2833-AMG,2833-AMG N,AR603,AR,MEANDER,Niche Perfumes,15.0,"2833-AMG Inspired by the fragrance notes of MEANDER. Unisex perfume with woody, powdery, earthy, spicy and balsamic notes. A refined and enveloping scent, admired for its creamy woods and elegant incense character.",https://leparfum.com.gr/en/niche-perfumes/2833-amg-n,2026-08-20,2026-08-20,ACTIVE,Choose+Bottle+Extra Essence,SHOBI_LIVE_SHOW_ALL
5099,2832-ZAD,2832-ZAD W,WP879,WP,Zadig Eau de Parfum,Fragrances For Women,9.0,"2832-ZAD W Inspired by the fragrance notes of Zadig Eau de Parfum. Women's perfume white floral, vanilla, citrus, fresh spicy, powdery, woody, sweet, fresh, warm spicy, soapy.",https://leparfum.com.gr/en/fragrances-for-women/2832-zad-w,2026-08-20,2026-08-20,ACTIVE,Choose+Bottle+Extra Essence,SHOBI_LIVE_SHOW_ALL
5098,2831-GISS,2831-GISS,EL471,EL,Martinique Osmanthus Gissah 2025,Elegants Fragrances,10.0,"2831-GISS Inspired by the fragrance notes of Martinique Osmanthus Gissah 2025. Unisex perfume fruity, floral, caramel, white floral, almond, sweet, nutty, lactonic, soft spicy.",https://leparfum.com.gr/en/elegants-fragrances/Martinique_Osmanthus_Gissah_inspired,2026-08-20,2026-08-20,ACTIVE,Choose+Bottle+Extra Essence,SHOBI_LIVE_SHOW_ALL
5097,2830-VAL,2830-VAL,EL470,EL,Sogno In Rosso,Elegants Fragrances,10.0,"2830-VAL Inspired by the fragrance notes of Sogno In Rosso. Unisex perfume fresh spicy, lactonic, vanilla, woody, aromatic, amber, white floral, warm spicy, powdery, sweet.",https://leparfum.com.gr/en/elegants-fragrances/2830-val,2026-08-20,2026-08-20,ACTIVE,Choose+Bottle+Extra Essence,SHOBI_LIVE_SHOW_ALL
5096,2829-PARF,2829-PARF N,AR602,AR,Athénaïs,Niche Perfumes,15.0,"2829-PARF N Inspired by the fragrance notes of Athénaïs. Women's perfume white floral, citrus, vanilla, sweet, floral, amber, fresh spicy.",https://leparfum.com.gr/en/niche-perfumes/2829-parf-n,2026-08-20,2026-08-20,ACTIVE,Choose+Bottle+Extra Essence,SHOBI_LIVE_SHOW_ALL
5095,2828-ATEL,2828-ATEL N,AR601,AR,Vanille Carbone Atelier Materi,Niche Perfumes,15.0,"2828-ATEL N Inspired by the fragrance notes of Vanille Carbone Atelier Materi. Unisex perfume vanilla, fresh spicy, amber, leather, soft spicy, warm spicy, powdery, sweet, balsamic, animalic.",https://leparfum.com.gr/en/niche-perfumes/Vanille_Carbone_fragrance,2026-08-20,2026-08-20,ACTIVE,Choose+Bottle+Extra Essence,SHOBI_LIVE_SHOW_ALL
5094,2827-BYR,2827-BYR N,AR600,AR,Bal d'Afrique Absolu,Niche Perfumes,15.0,"2827-BYR N Inspired by the fragrance notes of Bal d'Afrique Absolu. Unisex perfume citrus, woody, aromatic, sweet, amber, fruity, powdery, animalic, musky.",https://leparfum.com.gr/en/niche-perfumes/absolu_perfumes,2026-08-20,2026-08-20,ACTIVE,Choose+Bottle+Extra Essence,SHOBI_LIVE_SHOW_ALL
5093,2826-SOL,2826-SOL,EL469,EL,Cheirosa 91 Sol de Janeiro,Elegants Fragrances,10.0,"2826-SOL Inspired by the fragrance notes of Cheirosa 91 Sol de Janeiro. Women's perfume sweet, rose, tropical, floral, fruity, fresh, honey, amber, soft spicy.",https://leparfum.com.gr/en/elegants-fragrances/Cheirosa_91_Sol_fragrances_type,2026-08-20,2026-08-20,ACTIVE,Choose+Bottle+Extra Essence,SHOBI_LIVE_SHOW_ALL
5092,2825-RARB,2825-RARB,EL468,EL,Rare Beauty,Elegants Fragrances,10.0,"2825-RARB Inspired by the fragrance notes of Rare Beauty. Unisex perfume vanilla, sweet, powdery, caramel, woody, musky, fresh spicy, cacao.",https://leparfum.com.gr/en/elegants-fragrances/rare_beauty_perfume_inspired,2026-08-20,2026-08-20,ACTIVE,Choose+Bottle+Extra Essence,SHOBI_LIVE_SHOW_ALL
5091,2824-NRO,2824-NRO W,WP878,WP,Pure Musc Blanc For Her,Fragrances For Women,9.0,"2824-NRO W Inspired by the fragrance notes of Pure Musc Blanc For Her. Women's perfume white floral, fresh, musky, aldehydic, powdery, vanilla, animalic.",https://leparfum.com.gr/en/fragrances-for-women/musc_perfumes,2026-08-20,2026-08-20,ACTIVE,Choose+Bottle+Extra Essence,SHOBI_LIVE_SHOW_ALL
