prestashop_product_id,shobi_code,inspired_by,fragrantica_id,fragrantica_url,image_url,local_path,status,detail
738,662-GIV,AMARIGE,3,https://www.fragrantica.com/perfume/Givenchy/Amarige-3.html,https://fimgs.net/mdimg/perfume-thumbs/dark-375x500.3.avif,perfume-images/3.avif,DOWNLOADED,image/avif
746,670-GIV,ORGANZA,4,https://www.fragrantica.com/perfume/Givenchy/Organza-4.html,https://fimgs.net/mdimg/perfume-thumbs/dark-375x500.4.avif,perfume-images/4.avif,DOWNLOADED,image/avif
767,698-HER,EAU DES MERVEILLES,9,https://www.fragrantica.com/perfume/Hermes/Eau-des-Merveilles-9.html,https://fimgs.net/mdimg/perfume-thumbs/dark-375x500.9.avif,perfume-images/9.avif,DOWNLOADED,image/avif
246,1156-HER,TERRE D'HERMES - HERMES,17,https://www.fragrantica.com/perfume/Hermes/Terre-d-Hermes-17.html,https://fimgs.net/mdimg/perfume-thumbs/dark-375x500.17.avif,perfume-images/17.avif,DOWNLOADED,image/avif
775,708-HER,UN JARDIN SUR LE NIL - HERMES Unisex,18,https://www.fragrantica.com/perfume/Hermes/Un-Jardin-Sur-Le-Nil-18.html,https://fimgs.net/mdimg/perfume-thumbs/dark-375x500.18.avif,perfume-images/18.avif,DOWNLOADED,image/avif
244,1154-HER,UN JARDIN EN MEDITERRANEE - HERMES,19,https://www.fragrantica.com/perfume/Hermes/Un-Jardin-en-Mediterranee-19.html,https://fimgs.net/mdimg/perfume-thumbs/dark-375x500.19.avif,perfume-images/19.avif,DOWNLOADED,image/avif
242,1152-HER,BEL AMI - HERMES,25,https://www.fragrantica.com/perfume/Hermes/Bel-Ami-25.html,https://fimgs.net/mdimg/perfume-thumbs/dark-375x500.25.avif,perfume-images/25.avif,DOWNLOADED,image/avif
2415,1682-HER,24 FAUBOURG - HERMES,27,https://www.fragrantica.com/perfume/Hermes/24-Faubourg-27.html,https://fimgs.net/mdimg/perfume-thumbs/dark-375x500.27.avif,perfume-images/27.avif,DOWNLOADED,image/avif
4974,2732-GIV,Very Irresistible for men,34,https://www.fragrantica.com/perfume/Givenchy/Very-Irresistible-for-men-34.html,https://fimgs.net/mdimg/perfume-thumbs/dark-375x500.34.avif,perfume-images/34.avif,DOWNLOADED,image/avif
744,668-GIV,HOT COUTURE,35,https://www.fragrantica.com/perfume/Givenchy/Hot-Couture-35.html,https://fimgs.net/mdimg/perfume-thumbs/dark-375x500.35.avif,perfume-images/35.avif,DOWNLOADED,image/avif
2412,1684-GIV,YSATIS,36,https://www.fragrantica.com/perfume/Givenchy/Ysatis-36.html,https://fimgs.net/mdimg/perfume-thumbs/dark-375x500.36.avif,perfume-images/36.avif,DOWNLOADED,image/avif
231,1141-GIV,P,39,https://www.fragrantica.com/perfume/Givenchy/Pi-39.html,https://fimgs.net/mdimg/perfume-thumbs/dark-375x500.39.avif,perfume-images/39.avif,DOWNLOADED,image/avif
1921,687-GUR,L'INSTANT DE GUERLAIN - GUERLAIN,51,https://www.fragrantica.com/perfume/Guerlain/L-Instant-de-Guerlain-51.html,https://fimgs.net/mdimg/perfume-thumbs/dark-375x500.51.avif,perfume-images/51.avif,DOWNLOADED,image/avif
