product_id,code,reference,category,price_eur,inspired_by,description_short,url,image_url,page
5117,2849-STE N,AR612,Niche Perfumes,15,HARRODS RUBY NAGA,"2849-STE Inspired by the fragrance notes of HARRODS RUBY NAGA. Unisex perfume with fruity, floral, sweet, vanilla and amber notes.",https://leparfum.com.gr/en/niche-perfumes/2849-ste-n#/1-choose-eau_de_parfum/2-bottle-30ml/3-extra_essence-0ml,https://leparfum.com.gr/75294-home_default/2849-ste-n.jpg,1
5116,2848-PRFRO N,AR611,Niche Perfumes,15,VANITAS,"2848-PRFRO Inspired by the fragrance notes of VANITAS. Unisex perfume with vanilla, sweet, balsamic, floral and woody notes.",https://leparfum.com.gr/en/niche-perfumes/2848-prfro-n#/1-choose-eau_de_parfum/2-bottle-30ml/3-extra_essence-0ml,https://leparfum.com.gr/75276-home_default/2848-prfro-n.jpg,1
5115,2847-NISH N,AR610,Niche Perfumes,15,HUNDRED SILENT WAYS X,"2847-NISH Inspired by the fragrance notes of HUNDRED SILENT WAYS X. Unisex perfume with floral, gourmand, leathery, vanilla and fruity notes.",https://leparfum.com.gr/en/niche-perfumes/2847-nish-n#/1-choose-eau_de_parfum/2-bottle-30ml/3-extra_essence-0ml,https://leparfum.com.gr/75258-home_default/2847-nish-n.jpg,1
5114,2846-MIN N,AR609,Niche Perfumes,15,COUNTER PLAY,"2846-MIN Inspired by the fragrance notes of COUNTER PLAY. Unisex perfume with fruity, tropical, floral, woody and sweet notes.",https://leparfum.com.gr/en/niche-perfumes/2846-min-n#/1-choose-eau_de_parfum/2-bottle-30ml/3-extra_essence-0ml,https://leparfum.com.gr/75240-home_default/2846-min-n.jpg,1
5113,2845-LUS,EL473,Elegants Fragrances,10,WE BELIEVE IN GLINDA,"2845-LUS Inspired by the fragrance notes of WE BELIEVE IN GLINDA. Unisex perfume with powdery, floral, violet, vanilla and almond notes.",https://leparfum.com.gr/en/elegants-fragrances/2845-lus#/1-choose-eau_de_parfum/2-bottle-30ml/3-extra_essence-0ml,https://leparfum.com.gr/75222-home_default/2845-lus.jpg,1
5112,2844-LUS,EL472,Elegants Fragrances,10,BLACK PEARL,"2844-LUS Inspired by the fragrance notes of BLACK PEARL. Unisex perfume with aromatic, herbal, floral, resinous and amber notes.",https://leparfum.com.gr/en/elegants-fragrances/2844-lus#/1-choose-eau_de_parfum/2-bottle-30ml/3-extra_essence-0ml,https://leparfum.com.gr/75205-home_default/2844-lus.jpg,1
5111,2843-LEL N,AR608,Niche Perfumes,15,LABDANUM 18,"2843-LEL Inspired by the fragrance notes of LABDANUM 18. Unisex perfume with amber, musky, resinous, vanilla and warm spicy notes.",https://leparfum.com.gr/en/niche-perfumes/2843-lel-n#/1-choose-eau_de_parfum/2-bottle-30ml/3-extra_essence-0ml,https://leparfum.com.gr/75188-home_default/2843-lel-n.jpg,1
5110,2842-KYLJ W,WP883,Fragrances For Women,9,VANILLA DEW,"2842-KYLJ Inspired by the fragrance notes of VANILLA DEW. Women's perfume with creamy, vanilla, milky, floral and almond notes.",https://leparfum.com.gr/en/fragrances-for-women/2842-kylj-w#/1-choose-eau_de_parfum/2-bottle-30ml/3-extra_essence-0ml,https://leparfum.com.gr/75170-home_default/2842-kylj-w.jpg,1
5109,2841-KYLJ W,WP882,Fragrances For Women,9,SWEET ECLAIRE,"2841-KYLJ Inspired by the fragrance notes of SWEET ECLAIRE. Women's perfume with gourmand, chocolate, vanilla, sweet and woody amber notes.",https://leparfum.com.gr/en/fragrances-for-women/2841-kylj-w#/1-choose-eau_de_parfum/2-bottle-30ml/3-extra_essence-0ml,https://leparfum.com.gr/75155-home_default/2841-kylj-w.jpg,1
5108,2840-KYLJ W,WP881,Fragrances For Women,9,CARAMEL CLOUD,"2840-KYLJ Inspired by the fragrance notes of CARAMEL CLOUD. Women's perfume with gourmand, caramel, vanilla, nutty and sweet notes.",https://leparfum.com.gr/en/fragrances-for-women/2840-kylj-w#/1-choose-eau_de_parfum/2-bottle-30ml/3-extra_essence-0ml,https://leparfum.com.gr/75140-home_default/2840-kylj-w.jpg,1
5107,2839-JUL N,AR607,Niche Perfumes,15,POWDER LOVE,"2839-JUL Inspired by the fragrance notes of POWDER LOVE. Unisex perfume with powdery, gourmand, sweet, musky and soft floral notes.",https://leparfum.com.gr/en/niche-perfumes/2839-jul-n#/1-choose-eau_de_parfum/2-bottle-30ml/3-extra_essence-0ml,https://leparfum.com.gr/75125-home_default/2839-jul-n.jpg,1
5106,2838-JIM W,WP880,Fragrances For Women,9,I WANT CHOO WITH LOVE,"2838-JIM Inspired by the fragrance notes of I WANT CHOO WITH LOVE. Women's perfume with floral, fruity, sweet, rosy and musky notes.",https://leparfum.com.gr/en/fragrances-for-women/2838-jim-w#/1-choose-eau_de_parfum/2-bottle-30ml/3-extra_essence-0ml,https://leparfum.com.gr/75107-home_default/2838-jim-w.jpg,1
5105,2837-GUL MP,MP404,Fragrances For Men,9,SCANDAL POUR HOMME ELIXIR,"2837-GUL Inspired by the fragrance notes of SCANDAL POUR HOMME ELIXIR. Men's perfume with fruity, sweet, woody, aromatic and warm spicy notes.",https://leparfum.com.gr/en/fragrances-for-men/2837-gul-mp#/1-choose-eau_de_parfum/2-bottle-30ml/3-extra_essence-0ml,https://leparfum.com.gr/75092-home_default/2837-gul-mp.jpg,1
